Date,Total,Desktop site,Mobile site,Zero site
2008-01-01,495,495,0,0
2008-01-02,660,660,0,0
2008-01-03,362,362,0,0
2008-01-04,697,697,0,0
2008-01-05,795,795,0,0
2008-01-06,452,452,0,0
2008-01-07,507,507,0,0
2008-01-08,460,460,0,0
2008-01-09,572,572,0,0
2008-01-10,635,635,0,0
2008-01-11,541,541,0,0
2008-01-12,568,568,0,0
2008-01-13,715,715,0,0
2008-01-14,718,718,0,0
2008-01-15,749,749,0,0
2008-01-16,607,607,0,0
2008-01-17,917,917,0,0
2008-01-18,841,841,0,0
2008-01-19,1204,1204,0,0
2008-01-20,747,747,0,0
2008-01-21,653,653,0,0
2008-01-22,692,692,0,0
2008-01-23,1019,1019,0,0
2008-01-24,881,881,0,0
2008-01-25,779,779,0,0
2008-01-26,676,676,0,0
2008-01-27,707,707,0,0
2008-01-28,650,650,0,0
2008-01-29,802,802,0,0
2008-01-30,742,742,0,0
2008-01-31,696,696,0,0
2008-02-01,758,758,0,0
2008-02-02,683,683,0,0
2008-02-03,670,670,0,0
2008-02-04,721,721,0,0
2008-02-05,954,954,0,0
2008-02-06,852,852,0,0
2008-02-07,1072,1072,0,0
2008-02-08,777,777,0,0
2008-02-09,1055,1055,0,0
2008-02-10,929,929,0,0
2008-02-11,453,453,0,0
2008-02-12,817,817,0,0
2008-02-13,578,578,0,0
2008-02-14,516,516,0,0
2008-02-15,645,645,0,0
2008-02-16,620,620,0,0
2008-02-17,715,715,0,0
2008-02-18,984,984,0,0
2008-02-19,602,602,0,0
2008-02-20,613,613,0,0
2008-02-21,693,693,0,0
2008-02-22,780,780,0,0
2008-02-23,789,789,0,0
2008-02-24,516,516,0,0
2008-02-25,683,683,0,0
2008-02-26,796,796,0,0
2008-02-27,702,702,0,0
2008-02-28,661,661,0,0
2008-02-29,515,515,0,0
2008-03-01,506,506,0,0
2008-03-02,634,634,0,0
2008-03-05,615,615,0,0
2008-03-06,757,757,0,0
2008-03-07,511,511,0,0
2008-03-08,709,709,0,0
2008-03-09,550,550,0,0
2008-03-10,473,473,0,0
2008-03-11,629,629,0,0
2008-03-12,796,796,0,0
2008-03-13,831,831,0,0
2008-03-14,670,670,0,0
2008-03-15,471,471,0,0
2008-03-16,527,527,0,0
2008-03-17,497,497,0,0
2008-03-18,591,591,0,0
2008-03-19,616,616,0,0
2008-03-20,662,662,0,0
2008-03-21,607,607,0,0
2008-03-22,628,628,0,0
2008-03-23,712,712,0,0
2008-03-24,708,708,0,0
2008-03-25,974,974,0,0
2008-03-26,607,607,0,0
2008-03-27,601,601,0,0
2008-03-28,631,631,0,0
2008-03-29,698,698,0,0
2008-03-30,788,788,0,0
2008-03-31,825,825,0,0
2008-04-01,939,939,0,0
2008-04-02,1250,1250,0,0
2008-04-03,1043,1043,0,0
2008-04-04,966,966,0,0
2008-04-05,915,915,0,0
2008-04-06,1104,1104,0,0
2008-04-07,1910,1910,0,0
2008-04-08,1567,1567,0,0
2008-04-09,1759,1759,0,0
2008-04-10,1136,1136,0,0
2008-04-11,1627,1627,0,0
2008-04-12,781,781,0,0
2008-04-13,913,913,0,0
2008-04-14,745,745,0,0
2008-04-15,821,821,0,0
2008-04-16,1787,1787,0,0
2008-04-17,645,645,0,0
2008-04-18,762,762,0,0
2008-04-19,970,970,0,0
2008-04-20,553,553,0,0
2008-04-21,620,620,0,0
2008-04-22,582,582,0,0
2008-04-23,712,712,0,0
2008-04-24,550,550,0,0
2008-04-25,1013,1013,0,0
2008-04-26,997,997,0,0
2008-04-27,1264,1264,0,0
2008-04-28,882,882,0,0
2008-04-29,871,871,0,0
2008-04-30,782,782,0,0
2008-05-01,954,954,0,0
2008-05-02,1141,1141,0,0
2008-05-03,1409,1409,0,0
2008-05-04,1238,1238,0,0
2008-05-05,1142,1142,0,0
2008-05-06,1132,1132,0,0
2008-05-07,1211,1211,0,0
2008-05-08,1020,1020,0,0
2008-05-09,1262,1262,0,0
2008-05-10,1208,1208,0,0
2008-05-11,1154,1154,0,0
2008-05-12,1193,1193,0,0
2008-05-13,1388,1388,0,0
2008-05-14,829,829,0,0
2008-05-15,1157,1157,0,0
