Date,Total,Desktop site,Mobile site,Zero site
2008-01-01,63481,63481,0,0
2008-01-02,68954,68954,0,0
2008-01-03,64770,64770,0,0
2008-01-04,57731,57731,0,0
2008-01-05,59964,59964,0,0
2008-01-06,64072,64072,0,0
2008-01-07,61025,61025,0,0
2008-01-08,65156,65156,0,0
2008-01-09,62364,62364,0,0
2008-01-10,57858,57858,0,0
2008-01-11,42914,42914,0,0
2008-01-12,45260,45260,0,0
2008-01-13,39037,39037,0,0
2008-01-14,29187,29187,0,0
2008-01-15,42349,42349,0,0
2008-01-16,38403,38403,0,0
2008-01-17,45717,45717,0,0
2008-01-18,72175,72175,0,0
2008-01-19,62200,62200,0,0
2008-01-20,41715,41715,0,0
2008-01-21,54115,54115,0,0
2008-01-22,47816,47816,0,0
2008-01-23,58978,58978,0,0
2008-01-24,47216,47216,0,0
2008-01-25,59893,59893,0,0
2008-01-26,64003,64003,0,0
2008-01-27,45334,45334,0,0
2008-01-28,51804,51804,0,0
2008-01-29,40483,40483,0,0
2008-01-30,54323,54323,0,0
2008-01-31,45995,45995,0,0
2008-02-01,36134,36134,0,0
2008-02-02,27129,27129,0,0
2008-02-03,50339,50339,0,0
2008-02-04,43324,43324,0,0
2008-02-05,38373,38373,0,0
2008-02-06,35897,35897,0,0
2008-02-07,41108,41108,0,0
2008-02-08,44280,44280,0,0
2008-02-09,43903,43903,0,0
2008-02-10,36201,36201,0,0
2008-02-11,22933,22933,0,0
2008-02-12,34181,34181,0,0
2008-02-13,41802,41802,0,0
2008-02-14,47112,47112,0,0
2008-02-15,28290,28290,0,0
2008-02-16,27422,27422,0,0
2008-02-17,30052,30052,0,0
2008-02-18,39891,39891,0,0
2008-02-19,35253,35253,0,0
2008-02-20,47231,47231,0,0
2008-02-21,45181,45181,0,0
2008-02-22,41113,41113,0,0
2008-02-23,37733,37733,0,0
2008-02-24,37438,37438,0,0
2008-02-25,55659,55659,0,0
2008-02-26,54401,54401,0,0
2008-02-27,39402,39402,0,0
2008-02-28,42229,42229,0,0
2008-02-29,32073,32073,0,0
2008-03-01,32826,32826,0,0
2008-03-02,41087,41087,0,0
2008-03-03,20632,20632,0,0
2008-03-04,17111,17111,0,0
2008-03-05,37524,37524,0,0
2008-03-06,35031,35031,0,0
2008-03-07,37740,37740,0,0
2008-03-08,25742,25742,0,0
2008-03-09,47243,47243,0,0
2008-03-10,46068,46068,0,0
2008-03-11,54611,54611,0,0
2008-03-12,50427,50427,0,0
2008-03-13,58048,58048,0,0
2008-03-14,52616,52616,0,0
2008-03-15,68340,68340,0,0
2008-03-16,59463,59463,0,0
2008-03-17,57447,57447,0,0
2008-03-18,69127,69127,0,0
2008-03-19,75737,75737,0,0
2008-03-20,67364,67364,0,0
2008-03-21,39844,39844,0,0
2008-03-22,94182,94182,0,0
2008-03-23,25994,25994,0,0
2008-03-24,62426,62426,0,0
2008-03-25,70408,70408,0,0
2008-03-26,41249,41249,0,0
2008-03-27,43864,43864,0,0
2008-03-28,19872,19872,0,0
2008-03-29,34230,34230,0,0
2008-03-30,36394,36394,0,0
2008-03-31,44954,44954,0,0
2008-04-01,40643,40643,0,0
2008-04-02,65995,65995,0,0
2008-04-03,110523,110523,0,0
2008-04-04,45016,45016,0,0
2008-04-05,33796,33796,0,0
2008-04-06,36865,36865,0,0
2008-04-07,80567,80567,0,0
2008-04-08,82226,82226,0,0
2008-04-09,78793,78793,0,0
2008-04-10,80522,80522,0,0
2008-04-11,77475,77475,0,0
2008-04-12,53075,53075,0,0
2008-04-13,59078,59078,0,0
2008-04-14,46259,46259,0,0
2008-04-15,62573,62573,0,0
2008-04-16,60347,60347,0,0
2008-04-17,75357,75357,0,0
2008-04-18,58241,58241,0,0
2008-04-19,110448,110448,0,0
2008-04-20,70307,70307,0,0
2008-04-21,69580,69580,0,0
2008-04-22,34614,34614,0,0
2008-04-23,50949,50949,0,0
2008-04-24,60774,60774,0,0
2008-04-25,73708,73708,0,0
2008-04-26,96280,96280,0,0
2008-04-27,102107,102107,0,0
2008-04-28,86606,86606,0,0
2008-04-29,47803,47803,0,0
2008-04-30,28662,28662,0,0
2008-05-01,50713,50713,0,0
2008-05-02,62227,62227,0,0
2008-05-03,37131,37131,0,0
2008-05-04,47538,47538,0,0
2008-05-05,68189,68189,0,0
2008-05-06,69770,69770,0,0
2008-05-07,52842,52842,0,0
2008-05-08,54019,54019,0,0
2008-05-09,25781,25781,0,0
2008-05-10,42314,42314,0,0
2008-05-11,50763,50763,0,0
2008-05-12,81655,81655,0,0
2008-05-13,56152,56152,0,0
2008-05-14,34329,34329,0,0
2008-05-15,41148,41148,0,0
2008-05-16,52498,52498,0,0
2008-05-17,49975,49975,0,0
2008-05-18,39943,39943,0,0
2008-05-19,43421,43421,0,0
2008-05-20,50830,50830,0,0
2008-05-21,67886,67886,0,0
2008-05-22,61949,61949,0,0
2008-05-23,41749,41749,0,0
2008-05-24,47693,47693,0,0
2008-05-25,46729,46729,0,0
2008-05-26,42106,42106,0,0
2008-05-27,54215,54215,0,0
