Date,Total,Desktop site,Mobile site,Zero site
2008-01-01,285693,285693,0,0
2008-01-02,365607,365607,0,0
2008-01-03,357104,357104,0,0
2008-01-04,311710,311710,0,0
2008-01-05,314687,314687,0,0
2008-01-06,308417,308417,0,0
2008-01-07,391037,391037,0,0
2008-01-08,385955,385955,0,0
2008-01-09,395559,395559,0,0
2008-01-10,383314,383314,0,0
2008-01-11,324150,324150,0,0
2008-01-12,283703,283703,0,0
2008-01-13,373536,373536,0,0
2008-01-14,343112,343112,0,0
2008-01-15,374700,374700,0,0
2008-01-16,378692,378692,0,0
2008-01-17,382861,382861,0,0
2008-01-18,422624,422624,0,0
2008-01-19,422151,422151,0,0
2008-01-20,407361,407361,0,0
2008-01-21,438929,438929,0,0
2008-01-22,422827,422827,0,0
2008-01-23,427292,427292,0,0
2008-01-24,425816,425816,0,0
2008-01-25,372973,372973,0,0
2008-01-26,371359,371359,0,0
2008-01-27,424536,424536,0,0
2008-01-28,451523,451523,0,0
2008-01-29,382021,382021,0,0
2008-01-30,469602,469602,0,0
2008-01-31,412977,412977,0,0
2008-02-01,301994,301994,0,0
2008-02-02,243479,243479,0,0
2008-02-03,352598,352598,0,0
2008-02-04,388271,388271,0,0
2008-02-05,371814,371814,0,0
2008-02-06,328866,328866,0,0
2008-02-07,332973,332973,0,0
2008-02-08,328771,328771,0,0
2008-02-09,318700,318700,0,0
2008-02-10,350248,350248,0,0
2008-02-11,341792,341792,0,0
2008-02-12,372015,372015,0,0
2008-02-13,368788,368788,0,0
2008-02-14,381433,381433,0,0
2008-02-15,279318,279318,0,0
2008-02-16,249414,249414,0,0
2008-02-17,307304,307304,0,0
2008-02-18,362159,362159,0,0
2008-02-19,407615,407615,0,0
2008-02-20,431722,431722,0,0
2008-02-21,368718,368718,0,0
2008-02-22,314442,314442,0,0
2008-02-23,288107,288107,0,0
2008-02-24,360941,360941,0,0
2008-02-25,392183,392183,0,0
2008-02-26,439887,439887,0,0
2008-02-27,365791,365791,0,0
2008-02-28,382675,382675,0,0
2008-02-29,284965,284965,0,0
2008-03-01,287576,287576,0,0
2008-03-02,351904,351904,0,0
2008-03-03,185669,185669,0,0
2008-03-04,189604,189604,0,0
2008-03-05,401661,401661,0,0
2008-03-06,368427,368427,0,0
2008-03-07,284522,284522,0,0
2008-03-08,226363,226363,0,0
2008-03-09,319093,319093,0,0
2008-03-10,366155,366155,0,0
2008-03-11,397613,397613,0,0
2008-03-12,389222,389222,0,0
2008-03-13,403154,403154,0,0
2008-03-14,360353,360353,0,0
2008-03-15,473323,473323,0,0
2008-03-16,284261,284261,0,0
2008-03-17,308833,308833,0,0
2008-03-18,332432,332432,0,0
2008-03-19,336015,336015,0,0
2008-03-20,245786,245786,0,0
2008-03-21,227441,227441,0,0
2008-03-22,256598,256598,0,0
2008-03-23,195559,195559,0,0
2008-03-24,316061,316061,0,0
2008-03-25,396886,396886,0,0
2008-03-26,357994,357994,0,0
2008-03-27,328933,328933,0,0
2008-03-28,233111,233111,0,0
2008-03-29,236204,236204,0,0
2008-03-30,291160,291160,0,0
2008-03-31,331237,331237,0,0
2008-04-01,348633,348633,0,0
2008-04-02,430863,430863,0,0
2008-04-03,399025,399025,0,0
2008-04-04,279611,279611,0,0
2008-04-05,243060,243060,0,0
2008-04-06,292882,292882,0,0
2008-04-07,435584,435584,0,0
2008-04-08,362044,362044,0,0
2008-04-09,399038,399038,0,0
2008-04-10,320196,320196,0,0
2008-04-11,321901,321901,0,0
2008-04-12,269307,269307,0,0
2008-04-13,317279,317279,0,0
2008-04-14,358473,358473,0,0
2008-04-15,403187,403187,0,0
2008-04-16,376305,376305,0,0
2008-04-17,288871,288871,0,0
2008-04-18,293895,293895,0,0
2008-04-19,270966,270966,0,0
2008-04-20,345656,345656,0,0
2008-04-21,367562,367562,0,0
2008-04-22,295834,295834,0,0
2008-04-23,268733,268733,0,0
2008-04-24,279765,279765,0,0
2008-04-25,343863,343863,0,0
2008-04-26,304871,304871,0,0
2008-04-27,366646,366646,0,0
2008-04-28,414924,414924,0,0
2008-04-29,362730,362730,0,0
2008-04-30,258887,258887,0,0
2008-05-01,288805,288805,0,0
2008-05-02,320122,320122,0,0
2008-05-03,250025,250025,0,0
2008-05-04,345185,345185,0,0
2008-05-05,426751,426751,0,0
2008-05-06,390161,390161,0,0
2008-05-07,397956,397956,0,0
2008-05-08,393154,393154,0,0
2008-05-09,287931,287931,0,0
2008-05-10,316115,316115,0,0
2008-05-11,367963,367963,0,0
2008-05-12,421777,421777,0,0
2008-05-13,437261,437261,0,0
2008-05-14,446990,446990,0,0
2008-05-15,487952,487952,0,0
2008-05-16,367697,367697,0,0
2008-05-17,350949,350949,0,0
2008-05-18,399996,399996,0,0
2008-05-19,410307,410307,0,0
2008-05-20,428542,428542,0,0
2008-05-21,452344,452344,0,0
2008-05-22,406820,406820,0,0
2008-05-23,459432,459432,0,0
2008-05-24,475238,475238,0,0
2008-05-25,447957,447957,0,0
2008-05-26,452034,452034,0,0
2008-05-27,467525,467525,0,0
2008-05-28,446543,446543,0,0
2008-05-29,428738,428738,0,0
2008-05-30,347096,347096,0,0
2008-05-31,402204,402204,0,0
2008-06-01,458243,458243,0,0
2008-06-02,473167,473167,0,0
2008-06-03,404299,404299,0,0
2008-06-04,375033,375033,0,0
2008-06-05,425358,425358,0,0
2008-06-06,371242,371242,0,0
2008-06-07,295690,295690,0,0
2008-06-08,389437,389437,0,0
2008-06-09,432714,432714,0,0
2008-06-10,479556,479556,0,0
2008-06-11,461561,461561,0,0
2008-06-12,425466,425466,0,0
2008-06-13,331909,331909,0,0
2008-06-14,296165,296165,0,0
2008-06-15,332917,332917,0,0
2008-06-16,349454,349454,0,0
2008-06-17,313951,313951,0,0
2008-06-18,256886,256886,0,0
2008-06-19,244743,244743,0,0
2008-06-20,293121,293121,0,0
2008-06-21,255042,255042,0,0
2008-06-22,241459,241459,0,0
2008-06-23,267660,267660,0,0
2008-06-24,255975,255975,0,0
2008-06-25,260649,260649,0,0
2008-06-26,332112,332112,0,0
2008-06-27,292274,292274,0,0
2008-06-28,329782,329782,0,0
2008-06-29,262301,262301,0,0
2008-06-30,280147,280147,0,0
2008-07-01,263139,263139,0,0
2008-07-02,260053,260053,0,0
2008-07-03,251283,251283,0,0
2008-07-04,257681,257681,0,0
2008-07-05,238995,238995,0,0
2008-07-06,248503,248503,0,0
2008-07-07,280426,280426,0,0
2008-07-08,238630,238630,0,0
2008-07-09,236921,236921,0,0
2008-07-10,199096,199096,0,0
2008-07-11,262727,262727,0,0
2008-07-12,195325,195325,0,0
2008-07-13,236262,236262,0,0
2008-07-14,232186,232186,0,0
2008-07-15,216571,216571,0,0
2008-07-16,240835,240835,0,0
2008-07-17,239008,239008,0,0
2008-07-18,206398,206398,0,0
2008-07-19,133052,133052,0,0
2008-07-20,164237,164237,0,0
2008-07-21,220207,220207,0,0
2008-07-22,191420,191420,0,0
2008-07-23,237731,237731,0,0
2008-07-24,233889,233889,0,0
2008-07-25,222740,222740,0,0
2008-07-26,196673,196673,0,0
2008-07-27,202473,202473,0,0
2008-07-28,240960,240960,0,0
2008-07-29,214012,214012,0,0
2008-07-30,208590,208590,0,0
2008-07-31,189218,189218,0,0
2008-08-01,202892,202892,0,0
2008-08-02,209607,209607,0,0
2008-08-03,155359,155359,0,0
2008-08-04,171384,171384,0,0
2008-08-05,222426,222426,0,0
2008-08-06,228128,228128,0,0
2008-08-07,193717,193717,0,0
2008-08-08,173077,173077,0,0
2008-08-09,198209,198209,0,0
2008-08-10,211773,211773,0,0
2008-08-11,233746,233746,0,0
2008-08-12,205963,205963,0,0
2008-08-13,219553,219553,0,0
2008-08-14,238020,238020,0,0
2008-08-15,183686,183686,0,0
2008-08-16,178696,178696,0,0
2008-08-17,223479,223479,0,0
2008-08-18,245867,245867,0,0
2008-08-19,183633,183633,0,0
2008-08-20,191623,191623,0,0
2008-08-21,231404,231404,0,0
2008-08-22,225439,225439,0,0
2008-08-23,198147,198147,0,0
2008-08-24,221514,221514,0,0
2008-08-25,257575,257575,0,0
2008-08-26,278158,278158,0,0
2008-08-27,270414,270414,0,0
2008-08-28,334276,334276,0,0
