Date,Total,Desktop site,Mobile site,Zero site
2008-01-01,118858413,118858413,0,0
2008-01-02,153288558,153288558,0,0
2008-01-03,155104943,155104943,0,0
2008-01-04,151350082,151350082,0,0
2008-01-05,132006344,132006344,0,0
2008-01-06,142714097,142714097,0,0
2008-01-07,162300931,162300931,0,0
2008-01-08,163985712,163985712,0,0
2008-01-09,164747234,164747234,0,0
2008-01-10,164874210,164874210,0,0
2008-01-11,158994258,158994258,0,0
2008-01-12,136013929,136013929,0,0
2008-01-13,149779449,149779449,0,0
2008-01-14,177328838,177328838,0,0
2008-01-15,176052535,176052535,0,0
2008-01-16,174012564,174012564,0,0
2008-01-17,168587371,168587371,0,0
2008-01-18,164197932,164197932,0,0
2008-01-19,140480924,140480924,0,0
2008-01-20,151500189,151500189,0,0
2008-01-21,171108064,171108064,0,0
2008-01-22,173626754,173626754,0,0
2008-01-23,174097655,174097655,0,0
2008-01-24,166761506,166761506,0,0
2008-01-25,157636875,157636875,0,0
2008-01-26,138932147,138932147,0,0
2008-01-27,149459960,149459960,0,0
2008-01-28,181472210,181472210,0,0
2008-01-29,176258305,176258305,0,0
2008-01-30,171565298,171565298,0,0
2008-01-31,167130519,167130519,0,0
2008-02-01,161703761,161703761,0,0
2008-02-02,139600343,139600343,0,0
2008-02-03,150355016,150355016,0,0
2008-02-04,172186729,172186729,0,0
2008-02-05,173992682,173992682,0,0
2008-02-06,176135140,176135140,0,0
2008-02-07,169391853,169391853,0,0
2008-02-08,157834679,157834679,0,0
2008-02-09,139732836,139732836,0,0
2008-02-10,155261832,155261832,0,0
2008-02-11,184075308,184075308,0,0
2008-02-12,179214429,179214429,0,0
2008-02-13,172142918,172142918,0,0
2008-02-14,170339695,170339695,0,0
2008-02-15,160301594,160301594,0,0
2008-02-16,138510856,138510856,0,0
2008-02-17,155420866,155420866,0,0
2008-02-18,183077475,183077475,0,0
2008-02-19,182247506,182247506,0,0
2008-02-20,173997452,173997452,0,0
2008-02-21,179832663,179832663,0,0
2008-02-22,163483763,163483763,0,0
2008-02-23,141476576,141476576,0,0
2008-02-24,157100845,157100845,0,0
2008-02-25,185900112,185900112,0,0
2008-02-26,180318677,180318677,0,0
2008-02-27,179208336,179208336,0,0
2008-02-28,173840197,173840197,0,0
2008-02-29,160438495,160438495,0,0
2008-03-01,139174317,139174317,0,0
2008-03-02,158370003,158370003,0,0
2008-03-03,105928858,105928858,0,0
2008-03-04,79715841,79715841,0,0
2008-03-05,178100044,178100044,0,0
2008-03-06,174580419,174580419,0,0
2008-03-07,162612260,162612260,0,0
2008-03-08,146841588,146841588,0,0
2008-03-09,155399261,155399261,0,0
2008-03-10,185323688,185323688,0,0
2008-03-11,183017141,183017141,0,0
2008-03-12,180895537,180895537,0,0
2008-03-13,179699598,179699598,0,0
2008-03-14,163759149,163759149,0,0
2008-03-15,140669982,140669982,0,0
2008-03-16,158482467,158482467,0,0
2008-03-17,192995854,192995854,0,0
2008-03-18,171858751,171858751,0,0
2008-03-19,172041651,172041651,0,0
2008-03-20,160259039,160259039,0,0
2008-03-21,149405577,149405577,0,0
2008-03-22,134379783,134379783,0,0
2008-03-23,141709063,141709063,0,0
2008-03-24,177155097,177155097,0,0
2008-03-25,177097727,177097727,0,0
2008-03-26,173489295,173489295,0,0
2008-03-27,170918623,170918623,0,0
2008-03-28,161075894,161075894,0,0
2008-03-29,140202656,140202656,0,0
2008-03-30,153958234,153958234,0,0
2008-03-31,188871920,188871920,0,0
2008-04-01,184069013,184069013,0,0
2008-04-02,178716889,178716889,0,0
2008-04-03,175644361,175644361,0,0
2008-04-04,161775421,161775421,0,0
2008-04-05,141706016,141706016,0,0
2008-04-06,160001600,160001600,0,0
2008-04-07,188046943,188046943,0,0
2008-04-08,178857570,178857570,0,0
2008-04-09,179588226,179588226,0,0
2008-04-10,178340893,178340893,0,0
2008-04-11,165922106,165922106,0,0
2008-04-12,143660064,143660064,0,0
2008-04-13,159402419,159402419,0,0
2008-04-14,188144691,188144691,0,0
2008-04-15,187080518,187080518,0,0
2008-04-16,182298494,182298494,0,0
2008-04-17,177666510,177666510,0,0
2008-04-18,165652242,165652242,0,0
2008-04-19,140131272,140131272,0,0
2008-04-20,156473536,156473536,0,0
2008-04-21,188958090,188958090,0,0
2008-04-22,185077415,185077415,0,0
2008-04-23,184803581,184803581,0,0
2008-04-24,176689927,176689927,0,0
2008-04-25,165757796,165757796,0,0
2008-04-26,139739547,139739547,0,0
2008-04-27,159383121,159383121,0,0
2008-04-28,193705937,193705937,0,0
2008-04-29,190998670,190998670,0,0
2008-04-30,187812963,187812963,0,0
2008-05-01,182073293,182073293,0,0
2008-05-02,172266170,172266170,0,0
2008-05-03,148587420,148587420,0,0
2008-05-04,163505560,163505560,0,0
2008-05-05,195394882,195394882,0,0
2008-05-06,194274711,194274711,0,0
2008-05-07,189920623,189920623,0,0
2008-05-08,190746214,190746214,0,0
2008-05-09,177031436,177031436,0,0
2008-05-10,146045898,146045898,0,0
2008-05-11,161577657,161577657,0,0
2008-05-12,198564171,198564171,0,0
2008-05-13,194803663,194803663,0,0
2008-05-14,190055707,190055707,0,0
2008-05-15,187310116,187310116,0,0
2008-05-16,173518489,173518489,0,0
2008-05-17,148965735,148965735,0,0
2008-05-18,169782557,169782557,0,0
2008-05-19,197101769,197101769,0,0
2008-05-20,196698123,196698123,0,0
2008-05-21,190402005,190402005,0,0
2008-05-22,192151849,192151849,0,0
2008-05-23,177380656,177380656,0,0
2008-05-24,153817904,153817904,0,0
2008-05-25,164745469,164745469,0,0
2008-05-26,186255841,186255841,0,0
2008-05-27,206718021,206718021,0,0
2008-05-28,201083069,201083069,0,0
2008-05-29,194402857,194402857,0,0
2008-05-30,182529967,182529967,0,0
2008-05-31,156041242,156041242,0,0
2008-06-01,177054642,177054642,0,0
2008-06-02,205664436,205664436,0,0
2008-06-03,206096029,206096029,0,0
2008-06-04,200466646,200466646,0,0
2008-06-05,193685692,193685692,0,0
