Date,Total,Desktop site,Mobile site,Zero site
2008-01-01,13548,13548,,
2008-01-02,11590,11590,,
2008-01-03,8105,8105,,
2008-01-04,8546,8546,,
2008-01-05,11489,11489,,
2008-01-06,8577,8577,,
2008-01-07,9558,9558,,
2008-01-08,7276,7276,,
2008-01-09,9151,9151,,
2008-01-10,8142,8142,,
2008-01-11,10239,10239,,
2008-01-12,9833,9833,,
2008-01-13,10502,10502,,
2008-01-14,9501,9501,,
2008-01-15,6485,6485,,
2008-01-16,6990,6990,,
2008-01-17,7240,7240,,
2008-01-18,8250,8250,,
2008-01-19,6287,6287,,
2008-01-20,7444,7444,,
2008-01-21,5530,5530,,
2008-01-22,7391,7391,,
2008-01-23,7378,7378,,
2008-01-24,6596,6596,,
2008-01-25,8899,8899,,
2008-01-26,7157,7157,,
2008-01-27,6688,6688,,
2008-01-28,6205,6205,,
2008-01-29,5996,5996,,
2008-01-30,9027,9027,,
2008-01-31,6346,6346,,
2008-02-01,6363,6363,,
2008-02-02,3920,3920,,
2008-02-03,7428,7428,,
2008-02-04,4681,4681,,
2008-02-05,5258,5258,,
2008-02-06,4062,4062,,
2008-02-07,7389,7389,,
2008-02-08,6892,6892,,
2008-02-09,5347,5347,,
2008-02-10,6350,6350,,
2008-02-11,3466,3466,,
2008-02-12,7111,7111,,
2008-02-13,5631,5631,,
2008-02-14,5834,5834,,
2008-02-15,5098,5098,,
2008-02-16,8027,8027,,
2008-02-17,4577,4577,,
2008-02-18,6152,6152,,
2008-02-19,6851,6851,,
2008-02-20,9534,9534,,
2008-02-21,5928,5928,,
2008-02-22,4637,4637,,
2008-02-23,6207,6207,,
2008-02-24,6812,6812,,
2008-02-25,6434,6434,,
2008-02-26,7540,7540,,
2008-02-27,6987,6987,,
2008-02-28,6477,6477,,
2008-02-29,6149,6149,,
2008-03-01,5650,5650,,
2008-03-02,6357,6357,,
2008-03-05,9406,9406,,
2008-03-06,9453,9453,,
2008-03-07,4661,4661,,
2008-03-08,8169,8169,,
2008-03-09,8441,8441,,
2008-03-10,7105,7105,,
2008-03-11,8277,8277,,
2008-03-12,6918,6918,,
2008-03-13,8938,8938,,
2008-03-14,11985,11985,,
2008-03-15,10312,10312,,
2008-03-16,10994,10994,,
2008-03-17,8872,8872,,
2008-03-18,13779,13779,,
2008-03-19,8519,8519,,
2008-03-20,4810,4810,,
2008-03-21,9383,9383,,
2008-03-22,7424,7424,,
2008-03-23,6577,6577,,
2008-03-24,10576,10576,,
2008-03-25,38285,38285,,
2008-03-26,32655,32655,,
2008-03-27,4037,4037,,
2008-03-28,6070,6070,,
2008-03-29,8684,8684,,
2008-03-30,14172,14172,,
2008-03-31,13984,13984,,
2008-04-01,15186,15186,,
2008-04-02,15696,15696,,
2008-04-03,12684,12684,,
2008-04-04,11388,11388,,
2008-04-05,8732,8732,,
2008-04-06,16012,16012,,
2008-04-07,9948,9948,,
2008-04-08,10270,10270,,
2008-04-09,16016,16016,,
2008-04-10,12801,12801,,
2008-04-11,16728,16728,,
2008-04-12,12929,12929,,
2008-04-13,14420,14420,,
2008-04-14,12750,12750,,
2008-04-15,12331,12331,,
2008-04-16,18832,18832,,
2008-04-17,6834,6834,,
2008-04-18,8377,8377,,
2008-04-19,10593,10593,,
2008-04-20,6719,6719,,
2008-04-21,6233,6233,,
2008-04-22,3928,3928,,
2008-04-23,4994,4994,,
2008-04-24,4617,4617,,
2008-04-25,10549,10549,,
2008-04-26,8363,8363,,
2008-04-27,11483,11483,,
2008-04-28,6502,6502,,
2008-04-29,8090,8090,,
2008-04-30,7531,7531,,
2008-05-01,7399,7399,,
2008-05-02,7303,7303,,
2008-05-03,6505,6505,,
2008-05-04,6540,6540,,
2008-05-05,6825,6825,,
2008-05-06,7619,7619,,
2008-05-07,11655,11655,,
2008-05-08,5960,5960,,
2008-05-09,8157,8157,,
2008-05-10,7751,7751,,
2008-05-11,8367,8367,,
2008-05-12,9663,9663,,
2008-05-13,11445,11445,,
2008-05-14,8401,8401,,
2008-05-15,6867,6867,,
2008-05-16,12384,12384,,
2008-05-17,9957,9957,,
2008-05-18,10010,10010,,
2008-05-19,11287,11287,,
2008-05-20,9615,9615,,
