Date,Total,Desktop site,Mobile site,Zero site
2008-01-01,17243,17243,0,0
2008-01-02,12384,12384,0,0
2008-01-03,11172,11172,0,0
2008-01-04,15418,15418,0,0
2008-01-05,15296,15296,0,0
2008-01-06,13900,13900,0,0
2008-01-07,17028,17028,0,0
2008-01-08,15842,15842,0,0
2008-01-09,18932,18932,0,0
2008-01-10,17224,17224,0,0
2008-01-11,20134,20134,0,0
2008-01-12,15268,15268,0,0
2008-01-13,15176,15176,0,0
2008-01-14,10787,10787,0,0
2008-01-15,17299,17299,0,0
2008-01-16,17748,17748,0,0
2008-01-17,12807,12807,0,0
2008-01-18,18288,18288,0,0
2008-01-19,15051,15051,0,0
2008-01-20,18772,18772,0,0
2008-01-21,12861,12861,0,0
2008-01-22,14298,14298,0,0
2008-01-23,19680,19680,0,0
2008-01-24,13740,13740,0,0
2008-01-25,20874,20874,0,0
2008-01-26,14692,14692,0,0
2008-01-27,19421,19421,0,0
2008-01-28,13092,13092,0,0
2008-01-29,14280,14280,0,0
2008-01-30,23176,23176,0,0
2008-01-31,13967,13967,0,0
2008-02-01,10752,10752,0,0
2008-02-02,6653,6653,0,0
2008-02-03,16945,16945,0,0
2008-02-04,8346,8346,0,0
2008-02-05,12847,12847,0,0
2008-02-06,8035,8035,0,0
2008-02-07,13164,13164,0,0
2008-02-08,18074,18074,0,0
2008-02-09,12336,12336,0,0
2008-02-10,16529,16529,0,0
2008-02-11,5496,5496,0,0
2008-02-12,15137,15137,0,0
2008-02-13,13478,13478,0,0
2008-02-14,12847,12847,0,0
2008-02-15,11951,11951,0,0
2008-02-16,8388,8388,0,0
2008-02-17,9002,9002,0,0
2008-02-18,13580,13580,0,0
2008-02-19,13099,13099,0,0
2008-02-20,21467,21467,0,0
2008-02-21,16279,16279,0,0
2008-02-22,15786,15786,0,0
2008-02-23,13906,13906,0,0
2008-02-24,12478,12478,0,0
2008-02-25,15096,15096,0,0
2008-02-26,16991,16991,0,0
2008-02-27,13476,13476,0,0
2008-02-28,13460,13460,0,0
2008-02-29,12096,12096,0,0
2008-03-01,11519,11519,0,0
2008-03-02,12475,12475,0,0
2008-03-03,10305,10305,0,0
2008-03-04,5829,5829,0,0
2008-03-05,18125,18125,0,0
2008-03-06,16566,16566,0,0
2008-03-07,6314,6314,0,0
2008-03-08,10119,10119,0,0
2008-03-09,14609,14609,0,0
2008-03-10,9693,9693,0,0
2008-03-11,17510,17510,0,0
2008-03-12,11940,11940,0,0
2008-03-13,11867,11867,0,0
2008-03-14,17611,17611,0,0
2008-03-15,11260,11260,0,0
2008-03-16,16034,16034,0,0
2008-03-17,13376,13376,0,0
2008-03-18,14818,14818,0,0
2008-03-19,12267,12267,0,0
2008-03-20,6711,6711,0,0
2008-03-21,8309,8309,0,0
2008-03-22,8570,8570,0,0
2008-03-23,5525,5525,0,0
2008-03-24,12058,12058,0,0
2008-03-25,14961,14961,0,0
2008-03-26,12359,12359,0,0
2008-03-27,5000,5000,0,0
2008-03-28,5670,5670,0,0
2008-03-29,10797,10797,0,0
2008-03-30,13474,13474,0,0
2008-03-31,8686,8686,0,0
2008-04-01,15044,15044,0,0
2008-04-02,18057,18057,0,0
2008-04-03,13174,13174,0,0
2008-04-04,11607,11607,0,0
2008-04-05,11915,11915,0,0
2008-04-06,16590,16590,0,0
2008-04-07,16219,16219,0,0
2008-04-08,14269,14269,0,0
2008-04-09,14545,14545,0,0
2008-04-10,12666,12666,0,0
2008-04-11,17031,17031,0,0
2008-04-12,16388,16388,0,0
2008-04-13,15702,15702,0,0
2008-04-14,13895,13895,0,0
2008-04-15,15518,15518,0,0
2008-04-16,16225,16225,0,0
2008-04-17,9495,9495,0,0
2008-04-18,12455,12455,0,0
2008-04-19,18135,18135,0,0
2008-04-20,12296,12296,0,0
2008-04-21,11414,11414,0,0
2008-04-22,7325,7325,0,0
2008-04-23,7201,7201,0,0
2008-04-24,5441,5441,0,0
2008-04-25,17055,17055,0,0
2008-04-26,13562,13562,0,0
2008-04-27,18241,18241,0,0
2008-04-28,12943,12943,0,0
2008-04-29,11998,11998,0,0
2008-04-30,11516,11516,0,0
2008-05-01,15203,15203,0,0
2008-05-02,13627,13627,0,0
2008-05-03,12439,12439,0,0
2008-05-04,12873,12873,0,0
2008-05-05,13245,13245,0,0
2008-05-06,12930,12930,0,0
2008-05-07,19267,19267,0,0
2008-05-08,9709,9709,0,0
2008-05-09,10565,10565,0,0
2008-05-10,16167,16167,0,0
2008-05-11,13459,13459,0,0
2008-05-12,14462,14462,0,0
2008-05-13,19127,19127,0,0
2008-05-14,15014,15014,0,0
