Date,Total,Desktop site,Mobile site,Zero site
2008-01-01,26629,26629,0,0
2008-01-02,25508,25508,0,0
2008-01-03,26322,26322,0,0
2008-01-04,29140,29140,0,0
2008-01-05,31677,31677,0,0
2008-01-06,28950,28950,0,0
2008-01-07,28982,28982,0,0
2008-01-08,28532,28532,0,0
2008-01-09,28104,28104,0,0
2008-01-10,27610,27610,0,0
2008-01-11,23583,23583,0,0
2008-01-12,21979,21979,0,0
2008-01-13,23627,23627,0,0
2008-01-14,22448,22448,0,0
2008-01-15,24226,24226,0,0
2008-01-16,18817,18817,0,0
2008-01-17,21661,21661,0,0
2008-01-18,28576,28576,0,0
2008-01-19,22595,22595,0,0
2008-01-20,19566,19566,0,0
2008-01-21,19880,19880,0,0
2008-01-22,22917,22917,0,0
2008-01-23,25392,25392,0,0
2008-01-24,21642,21642,0,0
2008-01-25,22319,22319,0,0
2008-01-26,21363,21363,0,0
2008-01-27,20710,20710,0,0
2008-01-28,19848,19848,0,0
2008-01-29,19577,19577,0,0
2008-01-30,25682,25682,0,0
2008-01-31,20271,20271,0,0
2008-02-01,17115,17115,0,0
2008-02-02,15852,15852,0,0
2008-02-03,18060,18060,0,0
2008-02-04,15244,15244,0,0
2008-02-05,15524,15524,0,0
2008-02-06,14256,14256,0,0
2008-02-07,16308,16308,0,0
2008-02-08,16702,16702,0,0
2008-02-09,18036,18036,0,0
2008-02-10,17760,17760,0,0
2008-02-11,14611,14611,0,0
2008-02-12,19040,19040,0,0
2008-02-13,18047,18047,0,0
2008-02-14,19370,19370,0,0
2008-02-15,17783,17783,0,0
2008-02-16,16680,16680,0,0
2008-02-17,15545,15545,0,0
2008-02-18,17778,17778,0,0
2008-02-19,21189,21189,0,0
2008-02-20,26372,26372,0,0
2008-02-21,18830,18830,0,0
2008-02-22,17736,17736,0,0
2008-02-23,18310,18310,0,0
2008-02-24,17859,17859,0,0
2008-02-25,20967,20967,0,0
2008-02-26,21619,21619,0,0
2008-02-27,19389,19389,0,0
2008-02-28,17275,17275,0,0
2008-02-29,14647,14647,0,0
2008-03-01,17143,17143,0,0
2008-03-02,18244,18244,0,0
2008-03-03,11424,11424,0,0
2008-03-04,6665,6665,0,0
2008-03-05,17864,17864,0,0
2008-03-06,18339,18339,0,0
2008-03-07,13778,13778,0,0
2008-03-08,17805,17805,0,0
2008-03-09,17382,17382,0,0
2008-03-10,15874,15874,0,0
2008-03-11,38613,38613,0,0
2008-03-12,17355,17355,0,0
2008-03-13,18842,18842,0,0
2008-03-14,19884,19884,0,0
2008-03-15,18136,18136,0,0
2008-03-16,19125,19125,0,0
2008-03-17,14878,14878,0,0
2008-03-18,20792,20792,0,0
2008-03-19,17555,17555,0,0
2008-03-20,15663,15663,0,0
2008-03-21,17438,17438,0,0
2008-03-22,16460,16460,0,0
2008-03-23,14854,14854,0,0
2008-03-24,18598,18598,0,0
2008-03-25,21836,21836,0,0
2008-03-26,30005,30005,0,0
2008-03-27,14304,14304,0,0
2008-03-28,12193,12193,0,0
2008-03-29,14704,14704,0,0
2008-03-30,16442,16442,0,0
2008-03-31,20593,20593,0,0
2008-04-01,23833,23833,0,0
2008-04-02,25548,25548,0,0
2008-04-03,20412,20412,0,0
2008-04-04,17773,17773,0,0
2008-04-05,17700,17700,0,0
2008-04-06,20209,20209,0,0
2008-04-07,21581,21581,0,0
2008-04-08,19974,19974,0,0
2008-04-09,25382,25382,0,0
2008-04-10,26625,26625,0,0
2008-04-11,27912,27912,0,0
2008-04-12,21256,21256,0,0
2008-04-13,22658,22658,0,0
2008-04-14,18493,18493,0,0
2008-04-15,19031,19031,0,0
2008-04-16,19365,19365,0,0
2008-04-17,15407,15407,0,0
2008-04-18,22879,22879,0,0
2008-04-19,18344,18344,0,0
2008-04-20,16237,16237,0,0
2008-04-21,17013,17013,0,0
2008-04-22,17661,17661,0,0
2008-04-23,20814,20814,0,0
2008-04-24,16388,16388,0,0
2008-04-25,22787,22787,0,0
2008-04-26,18747,18747,0,0
2008-04-27,20619,20619,0,0
2008-04-28,17603,17603,0,0
2008-04-29,20362,20362,0,0
2008-04-30,19656,19656,0,0
2008-05-01,18781,18781,0,0
2008-05-02,17596,17596,0,0
2008-05-03,15261,15261,0,0
2008-05-04,16859,16859,0,0
2008-05-05,20465,20465,0,0
2008-05-06,18729,18729,0,0
2008-05-07,18974,18974,0,0
2008-05-08,19719,19719,0,0
2008-05-09,16946,16946,0,0
2008-05-10,16546,16546,0,0
2008-05-11,20270,20270,0,0
2008-05-12,23627,23627,0,0
2008-05-13,21095,21095,0,0
2008-05-14,17512,17512,0,0
2008-05-15,18370,18370,0,0
2008-05-16,20979,20979,0,0
2008-05-17,19577,19577,0,0
2008-05-18,18496,18496,0,0
2008-05-19,20823,20823,0,0
2008-05-20,22447,22447,0,0
2008-05-21,23263,23263,0,0
2008-05-22,22662,22662,0,0
2008-05-23,19759,19759,0,0
2008-05-24,19137,19137,0,0
2008-05-25,21213,21213,0,0
2008-05-26,21038,21038,0,0
2008-05-27,19144,19144,0,0
2008-05-28,20699,20699,0,0
2008-05-29,18710,18710,0,0
2008-05-30,19027,19027,0,0
2008-05-31,18559,18559,0,0
2008-06-01,20884,20884,0,0
2008-06-02,19290,19290,0,0
2008-06-03,18282,18282,0,0
2008-06-04,17970,17970,0,0
2008-06-05,18564,18564,0,0
2008-06-06,18120,18120,0,0
2008-06-07,15466,15466,0,0
2008-06-08,17956,17956,0,0
2008-06-09,15517,15517,0,0
2008-06-10,22898,22898,0,0
2008-06-11,23761,23761,0,0
2008-06-12,19257,19257,0,0
2008-06-13,18358,18358,0,0
