Date,Total,Desktop site,Mobile site,Zero site
2008-01-01,700,700,0,0
2008-01-02,385,385,0,0
2008-01-03,418,418,0,0
2008-01-04,554,554,0,0
2008-01-05,826,826,0,0
2008-01-06,444,444,0,0
2008-01-07,502,502,0,0
2008-01-08,601,601,0,0
2008-01-09,496,496,0,0
2008-01-10,412,412,0,0
2008-01-11,336,336,0,0
2008-01-12,362,362,0,0
2008-01-13,410,410,0,0
2008-01-14,362,362,0,0
2008-01-15,487,487,0,0
2008-01-16,334,334,0,0
2008-01-17,556,556,0,0
2008-01-18,691,691,0,0
2008-01-19,421,421,0,0
2008-01-20,429,429,0,0
2008-01-21,418,418,0,0
2008-01-22,347,347,0,0
2008-01-23,396,396,0,0
2008-01-24,382,382,0,0
2008-01-25,677,677,0,0
2008-01-26,520,520,0,0
2008-01-27,524,524,0,0
2008-01-28,381,381,0,0
2008-01-29,495,495,0,0
2008-01-30,461,461,0,0
2008-01-31,477,477,0,0
2008-02-01,435,435,0,0
2008-02-02,441,441,0,0
2008-02-03,361,361,0,0
2008-02-04,471,471,0,0
2008-02-05,345,345,0,0
2008-02-06,446,446,0,0
2008-02-07,360,360,0,0
2008-02-08,434,434,0,0
2008-02-09,326,326,0,0
2008-02-10,464,464,0,0
2008-02-11,373,373,0,0
2008-02-12,400,400,0,0
2008-02-13,396,396,0,0
2008-02-14,373,373,0,0
2008-02-15,346,346,0,0
2008-02-16,427,427,0,0
2008-02-17,429,429,0,0
2008-02-18,357,357,0,0
2008-02-19,501,501,0,0
2008-02-20,458,458,0,0
2008-02-21,461,461,0,0
2008-02-22,529,529,0,0
2008-02-23,551,551,0,0
2008-02-24,519,519,0,0
2008-02-25,838,838,0,0
2008-02-26,566,566,0,0
2008-02-27,566,566,0,0
2008-02-28,510,510,0,0
2008-02-29,317,317,0,0
2008-03-01,368,368,0,0
2008-03-02,635,635,0,0
2008-03-03,259,259,0,0
2008-03-04,140,140,0,0
2008-03-05,676,676,0,0
2008-03-06,484,484,0,0
2008-03-07,346,346,0,0
2008-03-08,661,661,0,0
2008-03-09,272,272,0,0
2008-03-10,301,301,0,0
2008-03-11,458,458,0,0
2008-03-12,472,472,0,0
2008-03-13,486,486,0,0
2008-03-14,487,487,0,0
2008-03-15,340,340,0,0
2008-03-16,410,410,0,0
2008-03-17,373,373,0,0
2008-03-18,454,454,0,0
2008-03-19,364,364,0,0
2008-03-20,531,531,0,0
2008-03-21,419,419,0,0
2008-03-22,495,495,0,0
2008-03-23,531,531,0,0
2008-03-24,450,450,0,0
2008-03-25,383,383,0,0
2008-03-26,369,369,0,0
2008-03-27,327,327,0,0
2008-03-28,441,441,0,0
2008-03-29,599,599,0,0
2008-03-30,661,661,0,0
2008-03-31,544,544,0,0
2008-04-01,894,894,0,0
2008-04-02,958,958,0,0
2008-04-03,548,548,0,0
2008-04-04,479,479,0,0
2008-04-05,358,358,0,0
2008-04-06,524,524,0,0
2008-04-07,495,495,0,0
2008-04-08,370,370,0,0
2008-04-09,417,417,0,0
2008-04-10,669,669,0,0
2008-04-11,575,575,0,0
2008-04-12,352,352,0,0
2008-04-13,435,435,0,0
2008-04-14,327,327,0,0
2008-04-15,312,312,0,0
2008-04-16,322,322,0,0
2008-04-17,309,309,0,0
2008-04-18,321,321,0,0
2008-04-19,361,361,0,0
2008-04-20,415,415,0,0
2008-04-21,358,358,0,0
2008-04-22,435,435,0,0
2008-04-23,407,407,0,0
2008-04-24,351,351,0,0
2008-04-25,741,741,0,0
2008-04-26,450,450,0,0
2008-04-27,474,474,0,0
2008-04-28,367,367,0,0
2008-04-29,921,921,0,0
2008-04-30,427,427,0,0
2008-05-01,489,489,0,0
2008-05-02,284,284,0,0
2008-05-03,407,407,0,0
2008-05-04,490,490,0,0
2008-05-05,668,668,0,0
2008-05-06,801,801,0,0
2008-05-07,515,515,0,0
2008-05-08,583,583,0,0
2008-05-09,553,553,0,0
2008-05-10,528,528,0,0
2008-05-11,587,587,0,0
2008-05-12,526,526,0,0
2008-05-13,638,638,0,0
2008-05-14,538,538,0,0
2008-05-15,431,431,0,0
2008-05-16,482,482,0,0
2008-05-17,368,368,0,0
2008-05-18,348,348,0,0
2008-05-19,535,535,0,0
2008-05-20,416,416,0,0
2008-05-21,468,468,0,0
2008-05-22,454,454,0,0
2008-05-23,550,550,0,0
2008-05-24,335,335,0,0
2008-05-25,500,500,0,0
2008-05-26,395,395,0,0
2008-05-27,504,504,0,0
2008-05-28,419,419,0,0
2008-05-29,584,584,0,0
2008-05-30,485,485,0,0
2008-05-31,520,520,0,0
2008-06-01,524,524,0,0
2008-06-02,415,415,0,0
2008-06-03,432,432,0,0
2008-06-04,497,497,0,0
2008-06-05,496,496,0,0
2008-06-06,472,472,0,0
2008-06-07,479,479,0,0
2008-06-08,586,586,0,0
2008-06-09,343,343,0,0
2008-06-10,594,594,0,0
2008-06-11,717,717,0,0
2008-06-12,537,537,0,0
2008-06-13,445,445,0,0
2008-06-14,525,525,0,0
2008-06-15,503,503,0,0
2008-06-16,363,363,0,0
2008-06-17,478,478,0,0
2008-06-18,385,385,0,0
2008-06-19,579,579,0,0
2008-06-20,549,549,0,0
2008-06-21,603,603,0,0
2008-06-22,487,487,0,0
2008-06-23,715,715,0,0
2008-06-24,587,587,0,0
2008-06-25,858,858,0,0
2008-06-26,1085,1085,0,0
2008-06-27,792,792,0,0
2008-06-28,851,851,0,0
2008-06-29,798,798,0,0
2008-06-30,749,749,0,0
2008-07-01,694,694,0,0
2008-07-02,556,556,0,0
2008-07-03,457,457,0,0
2008-07-04,679,679,0,0
2008-07-05,490,490,0,0
2008-07-06,748,748,0,0
2008-07-07,529,529,0,0
2008-07-08,497,497,0,0
2008-07-09,593,593,0,0
2008-07-10,396,396,0,0
2008-07-11,510,510,0,0
2008-07-12,399,399,0,0
2008-07-13,389,389,0,0
2008-07-14,406,406,0,0
2008-07-15,363,363,0,0
2008-07-16,355,355,0,0
2008-07-17,473,473,0,0
2008-07-18,380,380,0,0
2008-07-19,267,267,0,0
2008-07-20,373,373,0,0
2008-07-21,282,282,0,0
2008-07-22,383,383,0,0
2008-07-23,557,557,0,0
