Date,Total,Desktop site,Mobile site,Zero site
2008-01-01,999,999,0,0
2008-01-02,1286,1286,0,0
2008-01-03,896,896,0,0
2008-01-04,1357,1357,0,0
2008-01-05,1279,1279,0,0
2008-01-06,1162,1162,0,0
2008-01-07,1032,1032,0,0
2008-01-08,1050,1050,0,0
2008-01-09,1048,1048,0,0
2008-01-10,1089,1089,0,0
2008-01-11,1309,1309,0,0
2008-01-12,854,854,0,0
2008-01-13,944,944,0,0
2008-01-14,895,895,0,0
2008-01-15,1030,1030,0,0
2008-01-16,906,906,0,0
2008-01-17,1354,1354,0,0
2008-01-18,1627,1627,0,0
2008-01-19,1245,1245,0,0
2008-01-20,1354,1354,0,0
2008-01-21,1257,1257,0,0
2008-01-22,1657,1657,0,0
2008-01-23,1374,1374,0,0
2008-01-24,1092,1092,0,0
2008-01-25,1807,1807,0,0
2008-01-26,1522,1522,0,0
2008-01-27,1444,1444,0,0
2008-01-28,1359,1359,0,0
2008-01-29,1188,1188,0,0
2008-01-30,1640,1640,0,0
2008-01-31,1092,1092,0,0
2008-02-01,1354,1354,0,0
2008-02-02,851,851,0,0
2008-02-03,1455,1455,0,0
2008-02-04,1116,1116,0,0
2008-02-05,1345,1345,0,0
2008-02-06,1323,1323,0,0
2008-02-07,1177,1177,0,0
2008-02-08,1236,1236,0,0
2008-02-09,1308,1308,0,0
2008-02-10,1299,1299,0,0
2008-02-11,928,928,0,0
2008-02-12,1333,1333,0,0
2008-02-13,1535,1535,0,0
2008-02-14,1222,1222,0,0
2008-02-15,1442,1442,0,0
2008-02-16,4193,4193,0,0
2008-02-17,1408,1408,0,0
2008-02-18,1217,1217,0,0
2008-02-19,1239,1239,0,0
2008-02-20,2091,2091,0,0
2008-02-21,2077,2077,0,0
2008-02-22,1390,1390,0,0
2008-02-23,2935,2935,0,0
2008-02-24,1194,1194,0,0
2008-02-25,1589,1589,0,0
2008-02-26,1796,1796,0,0
2008-02-27,1470,1470,0,0
2008-02-28,1934,1934,0,0
2008-02-29,1328,1328,0,0
2008-03-01,1409,1409,0,0
2008-03-02,1552,1552,0,0
2008-03-03,1128,1128,0,0
2008-03-04,563,563,0,0
2008-03-05,1216,1216,0,0
2008-03-06,1618,1618,0,0
2008-03-07,1396,1396,0,0
2008-03-08,2527,2527,0,0
2008-03-09,1183,1183,0,0
2008-03-10,1218,1218,0,0
2008-03-11,1352,1352,0,0
2008-03-12,2033,2033,0,0
2008-03-13,1182,1182,0,0
2008-03-14,2174,2174,0,0
2008-03-15,1221,1221,0,0
2008-03-16,1229,1229,0,0
2008-03-17,1039,1039,0,0
2008-03-18,1388,1388,0,0
2008-03-19,936,936,0,0
2008-03-20,1217,1217,0,0
2008-03-21,1026,1026,0,0
2008-03-22,977,977,0,0
2008-03-23,1054,1054,0,0
2008-03-24,1239,1239,0,0
2008-03-25,1018,1018,0,0
2008-03-26,1947,1947,0,0
2008-03-27,1039,1039,0,0
2008-03-28,1151,1151,0,0
2008-03-29,902,902,0,0
2008-03-30,1292,1292,0,0
2008-03-31,988,988,0,0
2008-04-01,1512,1512,0,0
2008-04-02,1553,1553,0,0
2008-04-03,1602,1602,0,0
2008-04-04,1258,1258,0,0
2008-04-05,1234,1234,0,0
2008-04-06,1827,1827,0,0
2008-04-07,1588,1588,0,0
2008-04-08,1293,1293,0,0
2008-04-09,1301,1301,0,0
2008-04-10,2210,2210,0,0
2008-04-11,1995,1995,0,0
2008-04-12,1456,1456,0,0
2008-04-13,1466,1466,0,0
2008-04-14,1412,1412,0,0
2008-04-15,1308,1308,0,0
2008-04-16,1114,1114,0,0
2008-04-17,952,952,0,0
2008-04-18,1144,1144,0,0
2008-04-19,1072,1072,0,0
2008-04-20,1183,1183,0,0
2008-04-21,1063,1063,0,0
2008-04-22,967,967,0,0
2008-04-23,1422,1422,0,0
2008-04-24,1223,1223,0,0
2008-04-25,1342,1342,0,0
2008-04-26,2380,2380,0,0
2008-04-27,1730,1730,0,0
2008-04-28,1173,1173,0,0
2008-04-29,1447,1447,0,0
2008-04-30,1215,1215,0,0
2008-05-01,1950,1950,0,0
2008-05-02,989,989,0,0
2008-05-03,1768,1768,0,0
2008-05-04,1373,1373,0,0
2008-05-05,1514,1514,0,0
2008-05-06,1496,1496,0,0
2008-05-07,1308,1308,0,0
2008-05-08,1717,1717,0,0
2008-05-09,1977,1977,0,0
2008-05-10,1371,1371,0,0
2008-05-11,1711,1711,0,0
2008-05-12,1857,1857,0,0
2008-05-13,1435,1435,0,0
2008-05-14,2057,2057,0,0
2008-05-15,1405,1405,0,0
2008-05-16,1217,1217,0,0
2008-05-17,1310,1310,0,0
2008-05-18,1175,1175,0,0
2008-05-19,1200,1200,0,0
2008-05-20,1583,1583,0,0
2008-05-21,2221,2221,0,0
2008-05-22,2002,2002,0,0
2008-05-23,1044,1044,0,0
2008-05-24,1351,1351,0,0
2008-05-25,1438,1438,0,0
2008-05-26,1430,1430,0,0
2008-05-27,1136,1136,0,0
2008-05-28,1282,1282,0,0
2008-05-29,1006,1006,0,0
2008-05-30,1384,1384,0,0
2008-05-31,1550,1550,0,0
2008-06-01,1138,1138,0,0
2008-06-02,1224,1224,0,0
2008-06-03,1217,1217,0,0
2008-06-04,1255,1255,0,0
2008-06-05,3337,3337,0,0
2008-06-06,3097,3097,0,0
2008-06-07,1596,1596,0,0
2008-06-08,1470,1470,0,0
2008-06-09,1068,1068,0,0
2008-06-10,1872,1872,0,0
2008-06-11,1273,1273,0,0
2008-06-12,3648,3648,0,0
2008-06-13,1039,1039,0,0
2008-06-14,1531,1531,0,0
2008-06-15,1114,1114,0,0
2008-06-16,1587,1587,0,0
2008-06-17,987,987,0,0
2008-06-18,1049,1049,0,0
2008-06-19,1378,1378,0,0
2008-06-20,852,852,0,0
2008-06-21,1334,1334,0,0
2008-06-22,1241,1241,0,0
2008-06-23,3219,3219,0,0
2008-06-24,1376,1376,0,0
2008-06-25,1133,1133,0,0
2008-06-26,1289,1289,0,0
2008-06-27,1400,1400,0,0
2008-06-28,1483,1483,0,0
2008-06-29,1391,1391,0,0
2008-06-30,1604,1604,0,0
2008-07-01,1346,1346,0,0
2008-07-02,1242,1242,0,0
2008-07-03,1143,1143,0,0
2008-07-04,1483,1483,0,0
2008-07-05,1298,1298,0,0
2008-07-06,1387,1387,0,0
2008-07-07,1335,1335,0,0
2008-07-08,1800,1800,0,0
2008-07-09,1843,1843,0,0
