Date,Total,Desktop site,Mobile site,Zero site
2008-01-01,770,770,0,0
2008-01-02,908,908,0,0
2008-01-03,1027,1027,0,0
2008-01-04,1082,1082,0,0
2008-01-05,1077,1077,0,0
2008-01-06,1051,1051,0,0
2008-01-07,1249,1249,0,0
2008-01-08,807,807,0,0
2008-01-09,767,767,0,0
2008-01-10,989,989,0,0
2008-01-11,1070,1070,0,0
2008-01-12,940,940,0,0
2008-01-13,1023,1023,0,0
2008-01-14,866,866,0,0
2008-01-15,994,994,0,0
2008-01-16,913,913,0,0
2008-01-17,1055,1055,0,0
2008-01-18,1159,1159,0,0
2008-01-19,1104,1104,0,0
2008-01-20,1020,1020,0,0
2008-01-21,884,884,0,0
2008-01-22,944,944,0,0
2008-01-23,1041,1041,0,0
2008-01-24,589,589,0,0
2008-01-25,1418,1418,0,0
2008-01-26,884,884,0,0
2008-01-27,855,855,0,0
2008-01-28,680,680,0,0
2008-01-29,774,774,0,0
2008-01-30,980,980,0,0
2008-01-31,945,945,0,0
2008-02-01,1117,1117,0,0
2008-02-02,882,882,0,0
2008-02-03,855,855,0,0
2008-02-04,792,792,0,0
2008-02-05,835,835,0,0
2008-02-06,884,884,0,0
2008-02-07,800,800,0,0
2008-02-08,910,910,0,0
2008-02-09,1041,1041,0,0
2008-02-10,842,842,0,0
2008-02-11,720,720,0,0
2008-02-12,769,769,0,0
2008-02-13,744,744,0,0
2008-02-14,725,725,0,0
2008-02-15,630,630,0,0
2008-02-16,676,676,0,0
2008-02-17,653,653,0,0
2008-02-18,674,674,0,0
2008-02-19,720,720,0,0
2008-02-20,772,772,0,0
2008-02-21,727,727,0,0
2008-02-22,764,764,0,0
2008-02-23,754,754,0,0
2008-02-24,664,664,0,0
2008-02-25,570,570,0,0
2008-02-26,583,583,0,0
2008-02-27,749,749,0,0
2008-02-28,698,698,0,0
2008-02-29,610,610,0,0
2008-03-01,648,648,0,0
2008-03-02,627,627,0,0
2008-03-03,410,410,0,0
2008-03-04,178,178,0,0
2008-03-05,529,529,0,0
2008-03-06,763,763,0,0
2008-03-07,465,465,0,0
2008-03-08,796,796,0,0
2008-03-09,563,563,0,0
2008-03-10,599,599,0,0
2008-03-11,515,515,0,0
2008-03-12,502,502,0,0
2008-03-13,565,565,0,0
2008-03-14,639,639,0,0
2008-03-15,445,445,0,0
2008-03-16,582,582,0,0
2008-03-17,523,523,0,0
2008-03-18,530,530,0,0
2008-03-19,551,551,0,0
2008-03-20,610,610,0,0
2008-03-21,576,576,0,0
2008-03-22,566,566,0,0
2008-03-23,747,747,0,0
2008-03-24,569,569,0,0
2008-03-25,539,539,0,0
2008-03-26,457,457,0,0
2008-03-27,556,556,0,0
2008-03-28,722,722,0,0
2008-03-29,954,954,0,0
2008-03-30,877,877,0,0
2008-03-31,1077,1077,0,0
2008-04-01,699,699,0,0
2008-04-02,936,936,0,0
2008-04-03,669,669,0,0
2008-04-04,702,702,0,0
2008-04-05,761,761,0,0
