Date,Total,Desktop site,Mobile site,Zero site
2008-01-01,59076,59076,0,0
2008-01-02,51885,51885,0,0
2008-01-03,51721,51721,0,0
2008-01-04,58751,58751,0,0
2008-01-05,61068,61068,0,0
2008-01-06,65963,65963,0,0
2008-01-07,58713,58713,0,0
2008-01-08,57607,57607,0,0
2008-01-09,65293,65293,0,0
2008-01-10,62574,62574,0,0
2008-01-11,57770,57770,0,0
2008-01-12,47554,47554,0,0
2008-01-13,54266,54266,0,0
2008-01-14,43113,43113,0,0
2008-01-15,64997,64997,0,0
2008-01-16,58506,58506,0,0
2008-01-17,54145,54145,0,0
2008-01-18,68229,68229,0,0
2008-01-19,60030,60030,0,0
2008-01-20,88953,88953,0,0
2008-01-21,53732,53732,0,0
2008-01-22,59842,59842,0,0
2008-01-23,61732,61732,0,0
2008-01-24,58325,58325,0,0
2008-01-25,64473,64473,0,0
2008-01-26,53203,53203,0,0
2008-01-27,62182,62182,0,0
2008-01-28,55663,55663,0,0
2008-01-29,62812,62812,0,0
2008-01-30,81529,81529,0,0
2008-01-31,57397,57397,0,0
2008-02-01,46095,46095,0,0
2008-02-02,41522,41522,0,0
2008-02-03,53642,53642,0,0
2008-02-04,44292,44292,0,0
2008-02-05,44819,44819,0,0
2008-02-06,38302,38302,0,0
2008-02-07,46713,46713,0,0
2008-02-08,47185,47185,0,0
2008-02-09,41613,41613,0,0
2008-02-10,53641,53641,0,0
2008-02-11,40206,40206,0,0
2008-02-12,54363,54363,0,0
2008-02-13,48738,48738,0,0
2008-02-14,49768,49768,0,0
2008-02-15,43057,43057,0,0
2008-02-16,40151,40151,0,0
2008-02-17,53441,53441,0,0
2008-02-18,58144,58144,0,0
2008-02-19,57776,57776,0,0
2008-02-20,60491,60491,0,0
2008-02-21,47834,47834,0,0
2008-02-22,46681,46681,0,0
2008-02-23,50381,50381,0,0
2008-02-24,48418,48418,0,0
2008-02-25,58063,58063,0,0
2008-02-26,63828,63828,0,0
2008-02-27,50130,50130,0,0
2008-02-28,51978,51978,0,0
2008-02-29,45975,45975,0,0
2008-03-01,42357,42357,0,0
2008-03-02,46794,46794,0,0
2008-03-03,31228,31228,0,0
2008-03-04,23679,23679,0,0
2008-03-05,53972,53972,0,0
2008-03-06,53846,53846,0,0
2008-03-07,39088,39088,0,0
2008-03-08,40286,40286,0,0
2008-03-09,48511,48511,0,0
2008-03-10,50394,50394,0,0
2008-03-11,57212,57212,0,0
2008-03-12,55105,55105,0,0
2008-03-13,48814,48814,0,0
2008-03-14,53574,53574,0,0
2008-03-15,41806,41806,0,0
2008-03-16,52833,52833,0,0
2008-03-17,55762,55762,0,0
2008-03-18,52529,52529,0,0
2008-03-19,59265,59265,0,0
2008-03-20,43524,43524,0,0
2008-03-21,44486,44486,0,0
2008-03-22,44715,44715,0,0
2008-03-23,37207,37207,0,0
2008-03-24,53166,53166,0,0
2008-03-25,143312,143312,0,0
2008-03-26,105081,105081,0,0
2008-03-27,42082,42082,0,0
2008-03-28,32977,32977,0,0
2008-03-29,39861,39861,0,0
2008-03-30,42405,42405,0,0
2008-03-31,53471,53471,0,0
2008-04-01,62609,62609,0,0
2008-04-02,68532,68532,0,0
2008-04-03,61560,61560,0,0
2008-04-04,41713,41713,0,0
2008-04-05,54941,54941,0,0
2008-04-06,47738,47738,0,0
