Date,Total,Desktop site,Mobile site,Zero site
2008-01-01,40576,40576,0,0
2008-01-02,35249,35249,0,0
2008-01-03,27021,27021,0,0
2008-01-04,30879,30879,0,0
2008-01-05,30711,30711,0,0
2008-01-06,32861,32861,0,0
2008-01-07,32706,32706,0,0
2008-01-08,32991,32991,0,0
2008-01-09,36872,36872,0,0
2008-01-10,36050,36050,0,0
2008-01-11,45372,45372,0,0
2008-01-12,27732,27732,0,0
2008-01-13,31622,31622,0,0
2008-01-14,20029,20029,0,0
2008-01-15,38060,38060,0,0
2008-01-16,35534,35534,0,0
2008-01-17,36538,36538,0,0
2008-01-18,48558,48558,0,0
2008-01-19,38575,38575,0,0
2008-01-20,40802,40802,0,0
2008-01-21,31752,31752,0,0
2008-01-22,35754,35754,0,0
2008-01-23,42586,42586,0,0
2008-01-24,36685,36685,0,0
2008-01-25,50085,50085,0,0
2008-01-26,30053,30053,0,0
2008-01-27,38528,38528,0,0
2008-01-28,32874,32874,0,0
2008-01-29,30841,30841,0,0
2008-01-30,52491,52491,0,0
2008-01-31,35621,35621,0,0
2008-02-01,28534,28534,0,0
2008-02-02,18257,18257,0,0
2008-02-03,36061,36061,0,0
2008-02-04,17167,17167,0,0
2008-02-05,23749,23749,0,0
2008-02-06,14845,14845,0,0
2008-02-07,25709,25709,0,0
2008-02-08,32342,32342,0,0
2008-02-09,26773,26773,0,0
2008-02-10,34133,34133,0,0
2008-02-11,15908,15908,0,0
2008-02-12,29275,29275,0,0
2008-02-13,33434,33434,0,0
2008-02-14,29170,29170,0,0
2008-02-15,21170,21170,0,0
2008-02-16,17931,17931,0,0
2008-02-17,16749,16749,0,0
2008-02-18,28004,28004,0,0
2008-02-19,27717,27717,0,0
2008-02-20,44516,44516,0,0
2008-02-21,32248,32248,0,0
2008-02-22,25303,25303,0,0
2008-02-23,28350,28350,0,0
2008-02-24,32906,32906,0,0
2008-02-25,34600,34600,0,0
2008-02-26,37786,37786,0,0
2008-02-27,28860,28860,0,0
2008-02-28,30219,30219,0,0
2008-02-29,29644,29644,0,0
2008-03-01,28260,28260,0,0
2008-03-02,27140,27140,0,0
2008-03-03,22433,22433,0,0
2008-03-04,11845,11845,0,0
2008-03-05,26693,26693,0,0
2008-03-06,42334,42334,0,0
2008-03-07,18289,18289,0,0
2008-03-08,19756,19756,0,0
2008-03-09,30254,30254,0,0
2008-03-10,33720,33720,0,0
2008-03-11,66496,66496,0,0
2008-03-12,43086,43086,0,0
2008-03-13,32396,32396,0,0
2008-03-14,40715,40715,0,0
2008-03-15,30332,30332,0,0
2008-03-16,31409,31409,0,0
2008-03-17,38624,38624,0,0
2008-03-18,29149,29149,0,0
2008-03-19,35527,35527,0,0
2008-03-20,24295,24295,0,0
2008-03-21,18340,18340,0,0
2008-03-22,26771,26771,0,0
2008-03-23,15998,15998,0,0
2008-03-24,31698,31698,0,0
2008-03-25,122329,122329,0,0
2008-03-26,85844,85844,0,0
2008-03-27,28058,28058,0,0
2008-03-28,22212,22212,0,0
2008-03-29,26057,26057,0,0
2008-03-30,27026,27026,0,0
2008-03-31,32170,32170,0,0
2008-04-01,34484,34484,0,0
2008-04-02,45349,45349,0,0
2008-04-03,35576,35576,0,0
2008-04-04,20187,20187,0,0
2008-04-05,40200,40200,0,0
2008-04-06,28022,28022,0,0
2008-04-07,43902,43902,0,0
2008-04-08,33148,33148,0,0
2008-04-09,33089,33089,0,0
2008-04-10,23097,23097,0,0
2008-04-11,37384,37384,0,0
2008-04-12,30916,30916,0,0
2008-04-13,27975,27975,0,0
2008-04-14,35747,35747,0,0
2008-04-15,30967,30967,0,0
2008-04-16,28175,28175,0,0
2008-04-17,17149,17149,0,0
2008-04-18,33827,33827,0,0
2008-04-19,35816,35816,0,0
2008-04-20,37787,37787,0,0
2008-04-21,27414,27414,0,0
2008-04-22,19981,19981,0,0
2008-04-23,17659,17659,0,0
2008-04-24,18152,18152,0,0
2008-04-25,47834,47834,0,0
2008-04-26,27211,27211,0,0
2008-04-27,31841,31841,0,0
2008-04-28,31683,31683,0,0
2008-04-29,29821,29821,0,0
2008-04-30,21558,21558,0,0
2008-05-01,32260,32260,0,0
2008-05-02,25421,25421,0,0
2008-05-03,23695,23695,0,0
2008-05-04,23329,23329,0,0
2008-05-05,23810,23810,0,0
2008-05-06,25503,25503,0,0
2008-05-07,29772,29772,0,0
2008-05-08,20855,20855,0,0
2008-05-09,18586,18586,0,0
2008-05-10,27291,27291,0,0
2008-05-11,24353,24353,0,0
2008-05-12,29175,29175,0,0
2008-05-13,34712,34712,0,0
2008-05-14,26795,26795,0,0
2008-05-15,25940,25940,0,0
2008-05-16,34012,34012,0,0
2008-05-17,26878,26878,0,0
2008-05-18,30104,30104,0,0
2008-05-19,35912,35912,0,0
2008-05-20,27164,27164,0,0
2008-05-21,28119,28119,0,0
2008-05-22,31345,31345,0,0
2008-05-23,31724,31724,0,0
2008-05-24,27891,27891,0,0
2008-05-25,34779,34779,0,0
2008-05-26,35065,35065,0,0
2008-05-27,28178,28178,0,0
2008-05-28,30802,30802,0,0
2008-05-29,27169,27169,0,0
2008-05-30,28707,28707,0,0
2008-05-31,26302,26302,0,0
2008-06-01,32441,32441,0,0
2008-06-02,37672,37672,0,0
2008-06-03,22773,22773,0,0
2008-06-04,26706,26706,0,0
2008-06-05,26843,26843,0,0
2008-06-06,26366,26366,0,0
2008-06-07,17973,17973,0,0
2008-06-08,27529,27529,0,0
2008-06-09,22830,22830,0,0
2008-06-10,36484,36484,0,0
2008-06-11,34870,34870,0,0
2008-06-12,32599,32599,0,0
2008-06-13,24663,24663,0,0
2008-06-14,28338,28338,0,0
2008-06-15,30955,30955,0,0
2008-06-16,24476,24476,0,0
2008-06-17,23952,23952,0,0
2008-06-18,23866,23866,0,0
2008-06-19,24927,24927,0,0
2008-06-20,37762,37762,0,0
2008-06-21,27840,27840,0,0
2008-06-22,25041,25041,0,0
2008-06-23,28992,28992,0,0
2008-06-24,27194,27194,0,0
2008-06-25,26018,26018,0,0
2008-06-26,24232,24232,0,0
2008-06-27,43348,43348,0,0
2008-06-28,25987,25987,0,0
2008-06-29,39029,39029,0,0
2008-06-30,31563,31563,0,0
2008-07-01,34008,34008,0,0
2008-07-02,24203,24203,0,0
2008-07-03,22804,22804,0,0
2008-07-04,29186,29186,0,0
2008-07-05,27647,27647,0,0
2008-07-06,28707,28707,0,0
2008-07-07,22840,22840,0,0
2008-07-08,33590,33590,0,0
2008-07-09,28087,28087,0,0
2008-07-10,19335,19335,0,0
2008-07-11,25007,25007,0,0
2008-07-12,21352,21352,0,0
2008-07-13,19303,19303,0,0
2008-07-14,22177,22177,0,0
2008-07-15,23420,23420,0,0
2008-07-16,24459,24459,0,0
2008-07-17,27871,27871,0,0
2008-07-18,20933,20933,0,0
2008-07-19,11548,11548,0,0
2008-07-20,21124,21124,0,0
2008-07-21,13203,13203,0,0
2008-07-22,17611,17611,0,0
2008-07-23,25028,25028,0,0
2008-07-24,26218,26218,0,0
2008-07-25,23421,23421,0,0
2008-07-26,22759,22759,0,0
2008-07-27,26640,26640,0,0
2008-07-28,31170,31170,0,0
2008-07-29,23427,23427,0,0
2008-07-30,22577,22577,0,0
2008-07-31,17269,17269,0,0
2008-08-01,22439,22439,0,0
2008-08-02,21565,21565,0,0
2008-08-03,15399,15399,0,0
2008-08-04,20053,20053,0,0
2008-08-05,21949,21949,0,0
2008-08-06,20233,20233,0,0
2008-08-07,22087,22087,0,0
2008-08-08,15002,15002,0,0
2008-08-09,29475,29475,0,0
2008-08-10,24290,24290,0,0
2008-08-11,23906,23906,0,0
2008-08-12,20917,20917,0,0
2008-08-13,21325,21325,0,0
2008-08-14,23654,23654,0,0
2008-08-15,23004,23004,0,0
2008-08-16,16459,16459,0,0
2008-08-17,21769,21769,0,0
2008-08-18,23170,23170,0,0
2008-08-19,24866,24866,0,0
2008-08-20,15756,15756,0,0
2008-08-21,30925,30925,0,0
2008-08-22,24201,24201,0,0
2008-08-23,16704,16704,0,0
2008-08-24,18810,18810,0,0
2008-08-25,23616,23616,0,0
2008-08-26,24302,24302,0,0
2008-08-27,27547,27547,0,0
2008-08-28,37346,37346,0,0
2008-08-29,27487,27487,0,0
2008-08-30,18462,18462,0,0
2008-08-31,19427,19427,0,0
2008-09-01,21890,21890,0,0
2008-09-02,22185,22185,0,0
2008-09-03,14872,14872,0,0
2008-09-04,23139,23139,0,0
2008-09-05,22060,22060,0,0
2008-09-06,16040,16040,0,0
2008-09-07,12923,12923,0,0
2008-09-08,19576,19576,0,0
2008-09-09,19455,19455,0,0
2008-09-10,17618,17618,0,0
2008-09-11,18027,18027,0,0
2008-09-12,27465,27465,0,0
2008-09-13,28925,28925,0,0
2008-09-14,24937,24937,0,0
2008-09-15,24669,24669,0,0
2008-09-16,21160,21160,0,0
2008-09-17,24138,24138,0,0
2008-09-18,29325,29325,0,0
2008-09-19,26123,26123,0,0
2008-09-20,15846,15846,0,0
2008-09-21,23481,23481,0,0
2008-09-22,21661,21661,0,0
2008-09-23,16879,16879,0,0
2008-09-24,21020,21020,0,0
2008-09-25,26137,26137,0,0
2008-09-26,17648,17648,0,0
2008-09-27,19445,19445,0,0
2008-09-28,15536,15536,0,0
2008-09-29,15724,15724,0,0
2008-09-30,23242,23242,0,0
2008-10-01,21897,21897,0,0
2008-10-02,12087,12087,0,0
2008-10-03,23466,23466,0,0
2008-10-04,23756,23756,0,0
2008-10-05,23246,23246,0,0
2008-10-06,32182,32182,0,0
2008-10-07,30798,30798,0,0
2008-10-08,26292,26292,0,0
2008-10-09,22061,22061,0,0
2008-10-10,22265,22265,0,0
2008-10-11,23730,23730,0,0
2008-10-12,28544,28544,0,0
2008-10-13,26682,26682,0,0
2008-10-14,27816,27816,0,0
2008-10-15,21756,21756,0,0
2008-10-16,17197,17197,0,0
2008-10-17,22463,22463,0,0
2008-10-18,27807,27807,0,0
2008-10-19,26228,26228,0,0
2008-10-20,27409,27409,0,0
2008-10-23,20077,20077,0,0
2008-10-24,23284,23284,0,0
2008-10-25,26858,26858,0,0
2008-10-26,13162,13162,0,0
2008-10-27,14265,14265,0,0
2008-10-28,15365,15365,0,0
2008-10-29,27570,27570,0,0
2008-10-30,26959,26959,0,0
2008-10-31,21939,21939,0,0
2008-11-01,22681,22681,0,0
2008-11-02,29333,29333,0,0
2008-11-03,27417,27417,0,0
2008-11-04,19901,19901,0,0
2008-11-05,14329,14329,0,0
2008-11-06,27565,27565,0,0
2008-11-07,16425,16425,0,0
2008-11-08,32590,32590,0,0
2008-11-09,28977,28977,0,0
2008-11-10,26131,26131,0,0
2008-11-11,24419,24419,0,0
2008-11-12,44084,44084,0,0
2008-11-13,30331,30331,0,0
2008-11-14,33670,33670,0,0
2008-11-15,20861,20861,0,0
2008-11-16,28298,28298,0,0
2008-11-17,21608,21608,0,0
2008-11-18,27607,27607,0,0
2008-11-19,21855,21855,0,0
2008-11-20,26427,26427,0,0
2008-11-21,30173,30173,0,0
2008-11-22,26474,26474,0,0
2008-11-23,26559,26559,0,0
2008-11-24,21828,21828,0,0
2008-11-25,17587,17587,0,0
2008-11-26,29185,29185,0,0
2008-11-27,35307,35307,0,0
2008-11-28,28899,28899,0,0
2008-11-29,18963,18963,0,0
2008-11-30,29730,29730,0,0
2008-12-01,14638,14638,0,0
2008-12-02,28544,28544,0,0
2008-12-03,29230,29230,0,0
2008-12-04,23808,23808,0,0
2008-12-05,24201,24201,0,0
2008-12-06,18994,18994,0,0
2008-12-07,25016,25016,0,0
2008-12-08,17131,17131,0,0
2008-12-09,26156,26156,0,0
2008-12-10,24970,24970,0,0
2008-12-11,21507,21507,0,0
2008-12-12,18267,18267,0,0
2008-12-13,13832,13832,0,0
2008-12-14,31507,31507,0,0
2008-12-15,35662,35662,0,0
2008-12-16,22954,22954,0,0
2008-12-17,30671,30671,0,0
2008-12-18,29663,29663,0,0
2008-12-19,24682,24682,0,0
2008-12-20,32358,32358,0,0
2008-12-21,20354,20354,0,0
2008-12-22,36667,36667,0,0
2008-12-23,18110,18110,0,0
2008-12-24,30990,30990,0,0
2008-12-25,21291,21291,0,0
2008-12-26,19534,19534,0,0
2008-12-27,24947,24947,0,0
2008-12-28,23563,23563,0,0
2008-12-29,25993,25993,0,0
2008-12-30,27642,27642,0,0
2008-12-31,27522,27522,0,0
2009-01-01,21786,21786,0,0
2009-01-02,21454,21454,0,0
2009-01-03,21389,21389,0,0
2009-01-04,19736,19736,0,0
2009-01-05,20953,20953,0,0
2009-01-06,21665,21665,0,0
2009-01-07,21214,21214,0,0
2009-01-08,20063,20063,0,0
2009-01-09,20440,20440,0,0
2009-01-10,17612,17612,0,0
2009-01-11,17162,17162,0,0
2009-01-12,23472,23472,0,0
2009-01-13,21885,21885,0,0
2009-01-14,20080,20080,0,0
2009-01-15,27321,27321,0,0
2009-01-16,24623,24623,0,0
2009-01-17,21803,21803,0,0
2009-01-18,24039,24039,0,0
2009-01-19,29000,29000,0,0
2009-01-20,40710,40710,0,0
2009-01-21,22476,22476,0,0
2009-01-22,23713,23713,0,0
2009-01-23,22169,22169,0,0
2009-01-24,43617,43617,0,0
2009-01-25,41667,41667,0,0
2009-01-26,23923,23923,0,0
2009-01-27,21863,21863,0,0
2009-01-28,24696,24696,0,0
2009-01-29,19764,19764,0,0
2009-01-30,23664,23664,0,0
2009-01-31,16139,16139,0,0
2009-02-01,21803,21803,0,0
2009-02-02,20956,20956,0,0
2009-02-03,23979,23979,0,0
2009-02-04,25973,25973,0,0
2009-02-05,16127,16127,0,0
2009-02-06,17598,17598,0,0
2009-02-07,24985,24985,0,0
2009-02-08,22630,22630,0,0
2009-02-09,24912,24912,0,0
2009-02-10,13056,13056,0,0
2009-02-11,28721,28721,0,0
2009-02-12,12859,12859,0,0
2009-02-13,19405,19405,0,0
2009-02-14,14544,14544,0,0
2009-02-15,19519,19519,0,0
2009-02-16,24468,24468,0,0
2009-02-17,22855,22855,0,0
2009-02-18,24361,24361,0,0
2009-02-19,19060,19060,0,0
2009-02-20,24672,24672,0,0
2009-02-21,20541,20541,0,0
2009-02-22,12916,12916,0,0
2009-02-23,23615,23615,0,0
2009-02-24,26306,26306,0,0
2009-02-25,26386,26386,0,0
2009-02-26,19446,19446,0,0
2009-02-27,20839,20839,0,0
2009-02-28,23411,23411,0,0
2009-03-01,23451,23451,0,0
2009-03-02,27032,27032,0,0
2009-03-03,24734,24734,0,0
2009-03-04,16733,16733,0,0
2009-03-05,21712,21712,0,0
2009-03-06,22949,22949,0,0
2009-03-07,22409,22409,0,0
2009-03-08,20242,20242,0,0
2009-03-09,25347,25347,0,0
2009-03-10,27615,27615,0,0
2009-03-11,20109,20109,0,0
2009-03-12,25682,25682,0,0
2009-03-13,21293,21293,0,0
2009-03-14,29379,29379,0,0
2009-03-15,24803,24803,0,0
2009-03-16,22718,22718,0,0
2009-03-17,24083,24083,0,0
2009-03-18,33674,33674,0,0
2009-03-19,22382,22382,0,0
2009-03-20,24485,24485,0,0
2009-03-21,24999,24999,0,0
2009-03-22,29169,29169,0,0
2009-03-23,29286,29286,0,0
2009-03-24,21840,21840,0,0
2009-03-25,19289,19289,0,0
2009-03-26,22315,22315,0,0
2009-03-27,22503,22503,0,0
2009-03-28,20724,20724,0,0
2009-03-29,23818,23818,0,0
2009-03-30,26628,26628,0,0
2009-03-31,30082,30082,0,0
2009-04-01,33817,33817,0,0
2009-04-02,29995,29995,0,0
