Date,Total,Desktop site,Mobile site,Zero site
2008-01-01,1045,1045,0,0
2008-01-02,414,414,0,0
2008-01-03,455,455,0,0
2008-01-04,632,632,0,0
2008-01-05,652,652,0,0
2008-01-06,613,613,0,0
2008-01-07,655,655,0,0
2008-01-08,594,594,0,0
2008-01-09,598,598,0,0
2008-01-10,533,533,0,0
2008-01-11,418,418,0,0
2008-01-12,550,550,0,0
2008-01-13,421,421,0,0
2008-01-14,488,488,0,0
2008-01-15,508,508,0,0
2008-01-16,563,563,0,0
2008-01-17,528,528,0,0
2008-01-18,700,700,0,0
2008-01-19,540,540,0,0
2008-01-20,614,614,0,0
2008-01-21,510,510,0,0
2008-01-22,886,886,0,0
2008-01-23,594,594,0,0
2008-01-24,882,882,0,0
2008-01-25,673,673,0,0
2008-01-26,596,596,0,0
2008-01-27,480,480,0,0
2008-01-28,435,435,0,0
2008-01-29,575,575,0,0
2008-01-30,713,713,0,0
2008-01-31,744,744,0,0
2008-02-01,446,446,0,0
2008-02-02,739,739,0,0
2008-02-03,763,763,0,0
2008-02-04,488,488,0,0
2008-02-05,512,512,0,0
2008-02-06,431,431,0,0
2008-02-07,657,657,0,0
2008-02-08,495,495,0,0
2008-02-09,448,448,0,0
2008-02-10,852,852,0,0
2008-02-11,1244,1244,0,0
2008-02-12,1738,1738,0,0
2008-02-13,648,648,0,0
2008-02-14,471,471,0,0
2008-02-15,596,596,0,0
2008-02-16,2685,2685,0,0
2008-02-17,625,625,0,0
2008-02-18,514,514,0,0
2008-02-19,510,510,0,0
2008-02-20,797,797,0,0
2008-02-21,611,611,0,0
2008-02-22,738,738,0,0
2008-02-23,1056,1056,0,0
2008-02-24,542,542,0,0
2008-02-25,696,696,0,0
2008-02-26,736,736,0,0
2008-02-27,565,565,0,0
2008-02-28,1006,1006,0,0
2008-02-29,605,605,0,0
2008-03-01,652,652,0,0
2008-03-02,989,989,0,0
2008-03-03,317,317,0,0
2008-03-04,229,229,0,0
2008-03-05,574,574,0,0
2008-03-06,567,567,0,0
2008-03-07,481,481,0,0
2008-03-08,976,976,0,0
2008-03-09,520,520,0,0
2008-03-10,463,463,0,0
2008-03-11,522,522,0,0
2008-03-12,527,527,0,0
2008-03-13,601,601,0,0
2008-03-14,609,609,0,0
2008-03-15,466,466,0,0
2008-03-16,651,651,0,0
2008-03-17,444,444,0,0
2008-03-18,600,600,0,0
2008-03-19,478,478,0,0
2008-03-20,575,575,0,0
2008-03-21,511,511,0,0
2008-03-22,709,709,0,0
2008-03-23,998,998,0,0
2008-03-24,1053,1053,0,0
2008-03-25,934,934,0,0
2008-03-26,1074,1074,0,0
2008-03-27,843,843,0,0
2008-03-28,1028,1028,0,0
2008-03-29,910,910,0,0
2008-03-30,665,665,0,0
2008-03-31,569,569,0,0
