Date,Total,Desktop site,Mobile site,Zero site
2008-01-01,25695,25695,,
2008-01-02,20514,20514,,
2008-01-03,17147,17147,,
2008-01-04,21439,21439,,
2008-01-05,24223,24223,,
2008-01-06,23015,23015,,
2008-01-07,22253,22253,,
2008-01-08,24563,24563,,
2008-01-09,26218,26218,,
2008-01-10,25148,25148,,
2008-01-11,30799,30799,,
2008-01-12,22032,22032,,
2008-01-13,27405,27405,,
2008-01-14,13912,13912,,
2008-01-15,32491,32491,,
2008-01-16,28388,28388,,
2008-01-17,28705,28705,,
2008-01-18,35918,35918,,
2008-01-19,29285,29285,,
2008-01-20,38588,38588,,
2008-01-21,33999,33999,,
2008-01-22,30148,30148,,
2008-01-23,40568,40568,,
2008-01-24,27691,27691,,
2008-01-25,42301,42301,,
2008-01-26,25516,25516,,
2008-01-27,33692,33692,,
2008-01-28,27150,27150,,
2008-01-29,25219,25219,,
2008-01-30,37313,37313,,
2008-01-31,36997,36997,,
2008-02-01,23618,23618,,
2008-02-02,9810,9810,,
2008-02-03,35469,35469,,
2008-02-04,13822,13822,,
2008-02-05,24905,24905,,
2008-02-06,12022,12022,,
2008-02-07,28930,28930,,
2008-02-08,36016,36016,,
2008-02-09,30794,30794,,
2008-02-10,40301,40301,,
2008-02-11,14827,14827,,
2008-02-12,29921,29921,,
2008-02-13,40747,40747,,
2008-02-14,27107,27107,,
2008-02-15,15304,15304,,
2008-02-16,18576,18576,,
2008-02-17,13397,13397,,
2008-02-18,23599,23599,,
2008-02-19,32825,32825,,
2008-02-20,40998,40998,,
2008-02-21,28107,28107,,
2008-02-22,23231,23231,,
2008-02-23,26288,26288,,
2008-02-24,26983,26983,,
2008-02-25,33309,33309,,
2008-02-26,38503,38503,,
2008-02-27,25694,25694,,
2008-02-28,30537,30537,,
2008-02-29,34167,34167,,
2008-03-01,25301,25301,,
2008-03-02,24126,24126,,
2008-03-05,26947,26947,,
2008-03-06,45134,45134,,
2008-03-07,13246,13246,,
2008-03-08,16237,16237,,
2008-03-09,28291,28291,,
2008-03-10,33267,33267,,
2008-03-11,37213,37213,,
2008-03-12,37402,37402,,
2008-03-13,26213,26213,,
2008-03-14,47224,47224,,
2008-03-15,30103,30103,,
2008-03-16,30811,30811,,
2008-03-17,38518,38518,,
2008-03-18,29305,29305,,
2008-03-19,24415,24415,,
2008-03-20,23692,23692,,
2008-03-21,12830,12830,,
2008-03-22,24292,24292,,
2008-03-23,9597,9597,,
2008-03-24,23696,23696,,
2008-03-25,29951,29951,,
2008-03-26,31291,31291,,
2008-03-27,9087,9087,,
2008-03-28,8144,8144,,
2008-03-29,23164,23164,,
2008-03-30,22502,22502,,
2008-03-31,29971,29971,,
2008-04-01,27746,27746,,
2008-04-02,38949,38949,,
2008-04-03,33728,33728,,
2008-04-04,13741,13741,,
2008-04-05,20583,20583,,
2008-04-06,75356,75356,,
2008-04-07,53620,53620,,
2008-04-08,30628,30628,,
2008-04-09,27518,27518,,
2008-04-10,29484,29484,,
2008-04-11,31748,31748,,
2008-04-12,27136,27136,,
2008-04-13,23515,23515,,
2008-04-14,32850,32850,,
2008-04-15,29457,29457,,
2008-04-16,23416,23416,,
2008-04-17,9113,9113,,
2008-04-18,27408,27408,,
2008-04-19,30333,30333,,
2008-04-20,25386,25386,,
2008-04-21,20057,20057,,
2008-04-22,17193,17193,,
2008-04-23,12855,12855,,
2008-04-24,10861,10861,,
2008-04-25,42187,42187,,
2008-04-26,25874,25874,,
2008-04-27,29459,29459,,
2008-04-28,39247,39247,,
2008-04-29,25700,25700,,
2008-04-30,15532,15532,,
2008-05-01,33556,33556,,
2008-05-02,25365,25365,,
2008-05-03,25576,25576,,
2008-05-04,23731,23731,,
2008-05-05,21027,21027,,
2008-05-06,24687,24687,,
2008-05-07,26064,26064,,
2008-05-08,17310,17310,,
2008-05-09,11509,11509,,
2008-05-10,24761,24761,,
2008-05-11,26085,26085,,
2008-05-12,23238,23238,,
2008-05-13,27169,27169,,
2008-05-14,24578,24578,,
2008-05-15,21839,21839,,
2008-05-16,32417,32417,,
2008-05-17,22649,22649,,
2008-05-18,27007,27007,,
2008-05-19,31229,31229,,
2008-05-20,20628,20628,,
2008-05-21,22330,22330,,
2008-05-22,22020,22020,,
2008-05-23,28663,28663,,
2008-05-24,22383,22383,,
2008-05-25,19332,19332,,
2008-05-26,28418,28418,,
2008-05-27,21265,21265,,
2008-05-28,21067,21067,,
2008-05-29,19928,19928,,
2008-05-30,22710,22710,,
2008-05-31,24133,24133,,
2008-06-01,27445,27445,,
2008-06-02,25395,25395,,
2008-06-03,12915,12915,,
2008-06-04,18483,18483,,
2008-06-05,27130,27130,,
2008-06-06,23181,23181,,
2008-06-07,11407,11407,,
2008-06-08,23911,23911,,
2008-06-09,21669,21669,,
2008-06-10,26896,26896,,
2008-06-11,31023,31023,,
2008-06-12,32216,32216,,
2008-06-13,21950,21950,,
2008-06-14,21938,21938,,
2008-06-15,25368,25368,,
2008-06-16,22461,22461,,
2008-06-17,17898,17898,,
2008-06-18,14040,14040,,
2008-06-19,17836,17836,,
