Date,Total,Desktop site,Mobile site,Zero site
2008-01-01,582,582,0,0
2008-01-02,663,663,0,0
2008-01-03,716,716,0,0
2008-01-04,754,754,0,0
2008-01-05,822,822,0,0
2008-01-06,717,717,0,0
2008-01-07,1042,1042,0,0
2008-01-08,745,745,0,0
2008-01-09,756,756,0,0
2008-01-10,980,980,0,0
2008-01-11,603,603,0,0
2008-01-12,561,561,0,0
2008-01-13,606,606,0,0
2008-01-14,692,692,0,0
2008-01-15,690,690,0,0
2008-01-16,799,799,0,0
2008-01-17,927,927,0,0
2008-01-18,858,858,0,0
2008-01-19,748,748,0,0
2008-01-20,651,651,0,0
2008-01-21,647,647,0,0
2008-01-22,769,769,0,0
2008-01-23,630,630,0,0
2008-01-24,1191,1191,0,0
2008-01-25,999,999,0,0
2008-01-26,787,787,0,0
2008-01-27,888,888,0,0
2008-01-28,694,694,0,0
2008-01-29,596,596,0,0
2008-01-30,1136,1136,0,0
2008-01-31,929,929,0,0
2008-02-01,620,620,0,0
2008-02-02,646,646,0,0
2008-02-03,728,728,0,0
2008-02-04,843,843,0,0
2008-02-05,498,498,0,0
2008-02-06,866,866,0,0
2008-02-07,603,603,0,0
2008-02-08,728,728,0,0
2008-02-09,520,520,0,0
2008-02-10,600,600,0,0
2008-02-11,492,492,0,0
2008-02-12,646,646,0,0
2008-02-13,585,585,0,0
2008-02-14,563,563,0,0
2008-02-15,574,574,0,0
2008-02-16,669,669,0,0
2008-02-17,570,570,0,0
2008-02-18,678,678,0,0
2008-02-19,674,674,0,0
2008-02-20,906,906,0,0
2008-02-21,654,654,0,0
2008-02-22,717,717,0,0
2008-02-23,963,963,0,0
2008-02-24,744,744,0,0
2008-02-25,1118,1118,0,0
2008-02-26,873,873,0,0
2008-02-27,877,877,0,0
2008-02-28,1055,1055,0,0
2008-02-29,912,912,0,0
2008-03-01,1017,1017,0,0
2008-03-02,782,782,0,0
2008-03-03,517,517,0,0
2008-03-04,386,386,0,0
2008-03-05,903,903,0,0
2008-03-06,927,927,0,0
2008-03-07,701,701,0,0
2008-03-08,1251,1251,0,0
2008-03-09,629,629,0,0
2008-03-10,706,706,0,0
2008-03-11,743,743,0,0
2008-03-12,862,862,0,0
2008-03-13,929,929,0,0
2008-03-14,994,994,0,0
2008-03-15,641,641,0,0
2008-03-16,673,673,0,0
2008-03-17,579,579,0,0
2008-03-18,918,918,0,0
2008-03-19,710,710,0,0
2008-03-20,849,849,0,0
2008-03-21,703,703,0,0
2008-03-22,872,872,0,0
2008-03-23,1057,1057,0,0
2008-03-24,986,986,0,0
2008-03-25,1023,1023,0,0
2008-03-26,1471,1471,0,0
2008-03-27,680,680,0,0
2008-03-28,1243,1243,0,0
2008-03-29,1070,1070,0,0
2008-03-30,1087,1087,0,0
2008-03-31,846,846,0,0
2008-04-01,1253,1253,0,0
2008-04-02,2405,2405,0,0
2008-04-03,853,853,0,0
2008-04-04,1066,1066,0,0
2008-04-05,865,865,0,0
2008-04-06,892,892,0,0
2008-04-07,1011,1011,0,0
2008-04-08,811,811,0,0
2008-04-09,842,842,0,0
2008-04-10,2052,2052,0,0
2008-04-11,1126,1126,0,0
2008-04-12,773,773,0,0
2008-04-13,804,804,0,0
2008-04-14,858,858,0,0
2008-04-15,730,730,0,0
2008-04-16,772,772,0,0
2008-04-17,718,718,0,0
2008-04-18,1018,1018,0,0
2008-04-19,715,715,0,0
2008-04-20,821,821,0,0
2008-04-21,703,703,0,0
2008-04-22,645,645,0,0
2008-04-23,838,838,0,0
2008-04-24,581,581,0,0
2008-04-25,1005,1005,0,0
2008-04-26,749,749,0,0
2008-04-27,831,831,0,0
2008-04-28,636,636,0,0
2008-04-29,1187,1187,0,0
2008-04-30,2235,2235,0,0
2008-05-01,721,721,0,0
2008-05-02,662,662,0,0
2008-05-03,651,651,0,0
2008-05-04,903,903,0,0
2008-05-05,901,901,0,0
2008-05-06,917,917,0,0
2008-05-07,876,876,0,0
2008-05-08,1007,1007,0,0
2008-05-09,1043,1043,0,0
2008-05-10,912,912,0,0
2008-05-11,1011,1011,0,0
2008-05-12,831,831,0,0
2008-05-13,810,810,0,0
2008-05-14,788,788,0,0
2008-05-15,773,773,0,0
2008-05-16,764,764,0,0
2008-05-17,846,846,0,0
2008-05-18,668,668,0,0
2008-05-19,726,726,0,0
2008-05-20,1284,1284,0,0
2008-05-21,770,770,0,0
2008-05-22,1150,1150,0,0
2008-05-23,673,673,0,0
2008-05-24,630,630,0,0
2008-05-25,840,840,0,0
2008-05-26,677,677,0,0
2008-05-27,735,735,0,0
2008-05-28,955,955,0,0
2008-05-29,705,705,0,0
2008-05-30,743,743,0,0
2008-05-31,908,908,0,0
2008-06-01,542,542,0,0
2008-06-02,808,808,0,0
2008-06-03,712,712,0,0
2008-06-04,743,743,0,0
2008-06-05,2253,2253,0,0
2008-06-06,637,637,0,0
2008-06-07,716,716,0,0
2008-06-08,819,819,0,0
2008-06-09,671,671,0,0
2008-06-10,938,938,0,0
2008-06-11,965,965,0,0
2008-06-12,698,698,0,0
2008-06-13,1310,1310,0,0
2008-06-14,1568,1568,0,0
2008-06-15,818,818,0,0
2008-06-16,1293,1293,0,0
