Date,Total,Desktop site,Mobile site,Zero site
2008-01-01,5781,5781,,
2008-01-02,6534,6534,,
2008-01-03,6527,6527,,
2008-01-04,6310,6310,,
2008-01-05,7071,7071,,
2008-01-06,7640,7640,,
2008-01-07,8558,8558,,
2008-01-08,10776,10776,,
2008-01-09,11434,11434,,
2008-01-10,10643,10643,,
2008-01-11,10793,10793,,
2008-01-12,9145,9145,,
2008-01-13,10319,10319,,
2008-01-14,9866,9866,,
2008-01-15,9732,9732,,
2008-01-16,6570,6570,,
2008-01-17,7472,7472,,
2008-01-18,7746,7746,,
2008-01-19,6831,6831,,
2008-01-20,6287,6287,,
2008-01-21,6210,6210,,
2008-01-22,6838,6838,,
2008-01-23,7168,7168,,
2008-01-24,6625,6625,,
2008-01-25,7349,7349,,
2008-01-26,6404,6404,,
2008-01-27,6332,6332,,
2008-01-28,6964,6964,,
2008-01-29,6716,6716,,
2008-01-30,8898,8898,,
2008-01-31,6956,6956,,
2008-02-01,5478,5478,,
2008-02-02,5161,5161,,
2008-02-03,6080,6080,,
2008-02-04,5753,5753,,
2008-02-05,5747,5747,,
2008-02-06,4826,4826,,
2008-02-07,6036,6036,,
2008-02-08,6082,6082,,
2008-02-09,5231,5231,,
2008-02-10,6033,6033,,
2008-02-11,6141,6141,,
2008-02-12,6922,6922,,
2008-02-13,5675,5675,,
2008-02-14,6058,6058,,
2008-02-15,7083,7083,,
2008-02-16,6029,6029,,
2008-02-17,5275,5275,,
2008-02-18,9410,9410,,
2008-02-19,8156,8156,,
2008-02-20,9704,9704,,
2008-02-21,7469,7469,,
2008-02-22,8384,8384,,
2008-02-23,6047,6047,,
2008-02-24,5641,5641,,
2008-02-25,9161,9161,,
2008-02-26,9227,9227,,
2008-02-27,5996,5996,,
2008-02-28,6615,6615,,
2008-02-29,5375,5375,,
2008-03-01,5989,5989,,
2008-03-02,7873,7873,,
2008-03-03,4198,4198,,
2008-03-04,2266,2266,,
2008-03-05,6576,6576,,
2008-03-06,6359,6359,,
2008-03-07,4798,4798,,
2008-03-08,7654,7654,,
2008-03-09,8813,8813,,
2008-03-10,6008,6008,,
2008-03-11,30743,30743,,
2008-03-12,6257,6257,,
2008-03-13,5897,5897,,
2008-03-14,6207,6207,,
2008-03-15,7911,7911,,
2008-03-16,5660,5660,,
2008-03-17,4792,4792,,
2008-03-18,8478,8478,,
2008-03-19,5157,5157,,
2008-03-20,25825,25825,,
2008-03-21,5708,5708,,
2008-03-22,4535,4535,,
2008-03-23,4145,4145,,
2008-03-24,6145,6145,,
2008-03-25,61950,61950,,
2008-03-26,29904,29904,,
2008-03-27,4687,4687,,
2008-03-28,3981,3981,,
