Date,Total,Desktop site,Mobile site,Zero site
2008-01-01,5317,5317,,
2008-01-02,7767,7767,,
2008-01-03,6301,6301,,
2008-01-04,6431,6431,,
2008-01-05,7381,7381,,
2008-01-06,6160,6160,,
2008-01-07,7477,7477,,
2008-01-08,6972,6972,,
2008-01-09,8050,8050,,
2008-01-10,6777,6777,,
2008-01-11,6624,6624,,
2008-01-12,6102,6102,,
2008-01-13,6543,6543,,
2008-01-14,7447,7447,,
2008-01-15,7619,7619,,
2008-01-16,8670,8670,,
2008-01-17,9149,9149,,
2008-01-18,7985,7985,,
2008-01-19,6580,6580,,
2008-01-20,6680,6680,,
2008-01-21,6429,6429,,
2008-01-22,6970,6970,,
2008-01-23,7990,7990,,
2008-01-24,12003,12003,,
2008-01-25,9060,9060,,
2008-01-26,5925,5925,,
2008-01-27,5975,5975,,
2008-01-28,6335,6335,,
2008-01-29,5816,5816,,
2008-01-30,8510,8510,,
2008-01-31,5818,5818,,
2008-02-01,5688,5688,,
2008-02-02,4064,4064,,
2008-02-03,6333,6333,,
2008-02-04,5104,5104,,
2008-02-05,5075,5075,,
2008-02-06,4378,4378,,
2008-02-07,4811,4811,,
2008-02-08,6353,6353,,
2008-02-09,4585,4585,,
2008-02-10,5352,5352,,
2008-02-11,3936,3936,,
2008-02-12,6550,6550,,
2008-02-13,6132,6132,,
2008-02-14,6462,6462,,
2008-02-15,7449,7449,,
2008-02-16,5735,5735,,
2008-02-17,6252,6252,,
2008-02-18,7269,7269,,
2008-02-19,7506,7506,,
2008-02-20,10335,10335,,
2008-02-21,9726,9726,,
2008-02-22,10262,10262,,
2008-02-23,8979,8979,,
2008-02-24,7352,7352,,
2008-02-25,9410,9410,,
2008-02-26,10705,10705,,
2008-02-27,7019,7019,,
2008-02-28,7859,7859,,
2008-02-29,6186,6186,,
2008-03-01,6202,6202,,
2008-03-02,7130,7130,,
2008-03-03,6694,6694,,
2008-03-04,1667,1667,,
2008-03-05,7525,7525,,
2008-03-06,8107,8107,,
2008-03-07,4825,4825,,
2008-03-08,6994,6994,,
2008-03-09,8122,8122,,
2008-03-10,8197,8197,,
2008-03-11,7708,7708,,
2008-03-12,8771,8771,,
2008-03-13,7626,7626,,
2008-03-14,8234,8234,,
2008-03-15,9827,9827,,
2008-03-16,12907,12907,,
2008-03-17,7279,7279,,
2008-03-18,9572,9572,,
2008-03-19,7901,7901,,
2008-03-20,7827,7827,,
2008-03-21,7126,7126,,
2008-03-22,5284,5284,,
2008-03-23,5148,5148,,
2008-03-24,8714,8714,,
2008-03-25,42775,42775,,
2008-03-26,31868,31868,,
2008-03-27,6857,6857,,
2008-03-28,5851,5851,,
2008-03-29,4899,4899,,
2008-03-30,6786,6786,,
2008-03-31,6055,6055,,
2008-04-01,9244,9244,,
2008-04-02,10525,10525,,
2008-04-03,8469,8469,,
2008-04-04,6503,6503,,
2008-04-05,6138,6138,,
2008-04-06,7613,7613,,
2008-04-07,9115,9115,,
2008-04-08,8868,8868,,
2008-04-09,9965,9965,,
2008-04-10,19542,19542,,
2008-04-11,10832,10832,,
2008-04-12,8490,8490,,
2008-04-13,8874,8874,,
2008-04-14,8944,8944,,
2008-04-15,9217,9217,,
2008-04-16,9717,9717,,
2008-04-17,7724,7724,,
2008-04-18,6862,6862,,
2008-04-19,7148,7148,,
2008-04-20,6469,6469,,
2008-04-21,7619,7619,,
2008-04-22,8802,8802,,
2008-04-23,8817,8817,,
2008-04-24,7672,7672,,
2008-04-25,9700,9700,,
2008-04-26,7602,7602,,
2008-04-27,8502,8502,,
2008-04-28,7257,7257,,
2008-04-29,9257,9257,,
2008-04-30,9231,9231,,
2008-05-01,8282,8282,,
2008-05-02,7427,7427,,
2008-05-03,7008,7008,,
2008-05-04,7287,7287,,
2008-05-05,8993,8993,,
2008-05-06,8183,8183,,
2008-05-07,9352,9352,,
2008-05-08,8760,8760,,
2008-05-09,7319,7319,,
2008-05-10,6323,6323,,
2008-05-11,8035,8035,,
2008-05-12,10589,10589,,
2008-05-13,10754,10754,,
2008-05-14,10264,10264,,
2008-05-15,12163,12163,,
2008-05-16,8148,8148,,
2008-05-17,6164,6164,,
2008-05-18,6829,6829,,
2008-05-19,8388,8388,,
2008-05-20,8102,8102,,
2008-05-21,8131,8131,,
2008-05-22,7601,7601,,
2008-05-23,7260,7260,,
2008-05-24,6827,6827,,
2008-05-25,6664,6664,,
2008-05-26,7058,7058,,
2008-05-27,6907,6907,,
2008-05-28,6554,6554,,
2008-05-29,6059,6059,,
2008-05-30,6629,6629,,
2008-05-31,5734,5734,,
2008-06-01,5542,5542,,
2008-06-02,5535,5535,,
2008-06-03,4971,4971,,
2008-06-04,14539,14539,,
2008-06-05,6938,6938,,
2008-06-06,8639,8639,,
2008-06-07,5260,5260,,
2008-06-08,6542,6542,,
2008-06-09,5545,5545,,
2008-06-10,7234,7234,,
2008-06-11,8469,8469,,
2008-06-12,6830,6830,,
2008-06-13,6247,6247,,
2008-06-14,7117,7117,,
2008-06-15,5899,5899,,
2008-06-16,5311,5311,,
2008-06-17,6058,6058,,
2008-06-18,7511,7511,,
2008-06-19,6257,6257,,
2008-06-20,7367,7367,,
2008-06-21,6551,6551,,
2008-06-22,5869,5869,,
2008-06-23,9329,9329,,
2008-06-24,6549,6549,,
2008-06-25,5680,5680,,
2008-06-26,6591,6591,,
2008-06-27,35997,35997,,
2008-06-28,6099,6099,,
2008-06-29,6000,6000,,
2008-06-30,7042,7042,,
2008-07-01,6727,6727,,
2008-07-02,6239,6239,,
2008-07-03,13543,13543,,
2008-07-04,11943,11943,,
2008-07-05,5563,5563,,
2008-07-06,8416,8416,,
2008-07-07,9785,9785,,
2008-07-08,7179,7179,,
2008-07-09,5676,5676,,
2008-07-10,5069,5069,,
2008-07-11,5164,5164,,
2008-07-12,4665,4665,,
2008-07-13,4973,4973,,
2008-07-14,5317,5317,,
2008-07-15,5771,5771,,
2008-07-16,6700,6700,,
2008-07-17,7735,7735,,
2008-07-18,5044,5044,,
2008-07-19,4123,4123,,
2008-07-20,4891,4891,,
2008-07-21,4215,4215,,
2008-07-22,5714,5714,,
2008-07-23,6063,6063,,
2008-07-24,5964,5964,,
2008-07-25,5712,5712,,
2008-07-26,5861,5861,,
2008-07-27,5379,5379,,
2008-07-28,5499,5499,,
2008-07-29,5833,5833,,
2008-07-30,5110,5110,,
2008-07-31,4064,4064,,
2008-08-01,4958,4958,,
2008-08-02,5648,5648,,
2008-08-03,4557,4557,,
2008-08-04,5228,5228,,
2008-08-05,5393,5393,,
2008-08-06,5090,5090,,
2008-08-07,5198,5198,,
2008-08-08,5247,5247,,
2008-08-09,5906,5906,,
2008-08-10,5272,5272,,
2008-08-11,5857,5857,,
2008-08-12,5566,5566,,
2008-08-13,6617,6617,,
2008-08-14,6716,6716,,
2008-08-15,7729,7729,,
2008-08-16,4795,4795,,
2008-08-17,6543,6543,,
2008-08-18,6627,6627,,
2008-08-19,6859,6859,,
2008-08-20,4892,4892,,
2008-08-21,7770,7770,,
2008-08-22,6100,6100,,
2008-08-23,5454,5454,,
2008-08-24,9646,9646,,
2008-08-25,8657,8657,,
2008-08-26,7607,7607,,
2008-08-27,6919,6919,,
2008-08-28,7778,7778,,
2008-08-29,6646,6646,,
2008-08-30,6078,6078,,
2008-08-31,6468,6468,,
2008-09-01,6272,6272,,
2008-09-02,8233,8233,,
2008-09-03,6429,6429,,
2008-09-04,7039,7039,,
2008-09-05,6937,6937,,
2008-09-06,5859,5859,,
2008-09-07,8390,8390,,
2008-09-08,12845,12845,,
2008-09-09,7073,7073,,
2008-09-10,7006,7006,,
2008-09-11,7473,7473,,
2008-09-12,8861,8861,,
2008-09-13,7868,7868,,
2008-09-14,8181,8181,,
2008-09-15,7414,7414,,
2008-09-16,9221,9221,,
2008-09-17,9890,9890,,
2008-09-18,9816,9816,,
2008-09-19,9089,9089,,
2008-09-20,6729,6729,,
2008-09-21,8472,8472,,
2008-09-22,8210,8210,,
2008-09-23,7994,7994,,
2008-09-24,9519,9519,,
2008-09-25,10893,10893,,
2008-09-26,9519,9519,,
2008-09-27,7500,7500,,
2008-09-28,8187,8187,,
2008-09-29,8648,8648,,
2008-09-30,10904,10904,,
2008-10-01,10243,10243,,
2008-10-02,8525,8525,,
2008-10-03,10250,10250,,
2008-10-04,10387,10387,,
2008-10-05,7131,7131,,
2008-10-06,10430,10430,,
2008-10-07,10653,10653,,
2008-10-08,14674,14674,,
2008-10-09,9671,9671,,
2008-10-10,9663,9663,,
2008-10-11,7382,7382,,
2008-10-12,8808,8808,,
2008-10-13,9368,9368,,
2008-10-14,9934,9934,,
2008-10-15,9505,9505,,
2008-10-16,10572,10572,,
2008-10-17,7081,7081,,
2008-10-18,8491,8491,,
2008-10-19,8368,8368,,
2008-10-20,8976,8976,,
2008-10-21,6336,6336,,
2008-10-22,4802,4802,,
2008-10-23,8450,8450,,
2008-10-24,8737,8737,,
2008-10-25,8440,8440,,
2008-10-26,6955,6955,,
2008-10-27,8136,8136,,
2008-10-28,9825,9825,,
2008-10-29,11889,11889,,
2008-10-30,18388,18388,,
2008-10-31,22433,22433,,
2008-11-01,9058,9058,,
2008-11-02,9306,9306,,
2008-11-03,11918,11918,,
2008-11-04,10746,10746,,
2008-11-05,9484,9484,,
2008-11-06,10963,10963,,
2008-11-07,8289,8289,,
2008-11-08,11279,11279,,
2008-11-09,9927,9927,,
2008-11-10,11498,11498,,
2008-11-11,10486,10486,,
2008-11-12,10499,10499,,
2008-11-13,12140,12140,,
2008-11-14,11902,11902,,
2008-11-15,12556,12556,,
2008-11-16,12230,12230,,
2008-11-17,12069,12069,,
2008-11-18,13644,13644,,
2008-11-19,15174,15174,,
2008-11-20,11577,11577,,
2008-11-21,11304,11304,,
2008-11-22,12394,12394,,
2008-11-23,11488,11488,,
2008-11-24,12816,12816,,
2008-11-25,11321,11321,,
2008-11-26,12928,12928,,
2008-11-27,11684,11684,,
2008-11-28,11373,11373,,
2008-11-29,10541,10541,,
2008-11-30,13659,13659,,
2008-12-01,12705,12705,,
2008-12-02,11522,11522,,
2008-12-03,12417,12417,,
2008-12-04,13733,13733,,
2008-12-05,10409,10409,,
2008-12-06,9210,9210,,
2008-12-07,12454,12454,,
2008-12-08,11535,11535,,
2008-12-09,12940,12940,,
2008-12-10,12274,12274,,
2008-12-11,11338,11338,,
2008-12-12,10747,10747,,
2008-12-13,10194,10194,,
2008-12-14,14530,14530,,
2008-12-15,14178,14178,,
