Date,Total,Desktop site,Mobile site,Zero site
2008-01-01,303,303,,
2008-01-02,304,304,,
2008-01-03,464,464,,
2008-01-04,379,379,,
2008-01-05,456,456,,
2008-01-06,308,308,,
2008-01-07,364,364,,
2008-01-08,283,283,,
2008-01-09,398,398,,
2008-01-10,483,483,,
2008-01-11,445,445,,
2008-01-12,481,481,,
2008-01-13,410,410,,
2008-01-14,393,393,,
2008-01-15,559,559,,
2008-01-16,468,468,,
2008-01-17,701,701,,
2008-01-18,573,573,,
2008-01-19,558,558,,
2008-01-20,523,523,,
2008-01-21,522,522,,
2008-01-22,474,474,,
2008-01-23,354,354,,
2008-01-24,312,312,,
2008-01-25,507,507,,
2008-01-26,478,478,,
2008-01-27,454,454,,
2008-01-28,297,297,,
2008-01-29,382,382,,
2008-01-30,489,489,,
2008-01-31,491,491,,
2008-02-01,520,520,,
2008-02-02,525,525,,
2008-02-03,427,427,,
2008-02-04,379,379,,
2008-02-05,421,421,,
2008-02-06,442,442,,
2008-02-07,408,408,,
2008-02-08,3999,3999,,
2008-02-09,2753,2753,,
2008-02-10,4223,4223,,
2008-02-11,5089,5089,,
2008-02-12,5783,5783,,
2008-02-13,3338,3338,,
2008-02-14,2335,2335,,
2008-02-15,1798,1798,,
2008-02-16,2856,2856,,
2008-02-17,3256,3256,,
2008-02-18,3208,3208,,
2008-02-19,2506,2506,,
2008-02-20,2218,2218,,
2008-02-21,5302,5302,,
2008-02-22,5166,5166,,
2008-02-23,4129,4129,,
2008-02-24,5104,5104,,
2008-02-25,4979,4979,,
2008-02-26,7453,7453,,
2008-02-27,6180,6180,,
2008-02-28,4310,4310,,
2008-02-29,5081,5081,,
2008-03-01,6784,6784,,
2008-03-02,5234,5234,,
2008-03-03,4307,4307,,
2008-03-04,9776,9776,,
2008-03-05,16985,16985,,
2008-03-06,282,282,,
2008-03-07,222,222,,
2008-03-08,429,429,,
2008-03-09,322,322,,
2008-03-10,231,231,,
2008-03-11,284,284,,
2008-03-12,337,337,,
2008-03-13,377,377,,
2008-03-14,349,349,,
2008-03-15,308,308,,
2008-03-16,383,383,,
2008-03-17,306,306,,
2008-03-18,361,361,,
2008-03-19,233,233,,
2008-03-20,281,281,,
2008-03-21,366,366,,
2008-03-22,278,278,,
2008-03-23,400,400,,
2008-03-24,385,385,,
2008-03-25,406,406,,
2008-03-26,320,320,,
2008-03-27,331,331,,
2008-03-28,444,444,,
2008-03-29,585,585,,
2008-03-30,581,581,,
2008-03-31,614,614,,
2008-04-01,754,754,,
2008-04-02,894,894,,
2008-04-03,313,313,,
2008-04-04,466,466,,
2008-04-05,479,479,,
2008-04-06,379,379,,
2008-04-07,405,405,,
2008-04-08,379,379,,
2008-04-09,463,463,,
2008-04-10,1075,1075,,
2008-04-11,521,521,,
2008-04-12,350,350,,
2008-04-13,405,405,,
2008-04-14,427,427,,
2008-04-15,490,490,,
2008-04-16,396,396,,
2008-04-17,276,276,,
2008-04-18,325,325,,
2008-04-19,353,353,,
2008-04-20,335,335,,
2008-04-21,341,341,,
2008-04-22,356,356,,
2008-04-23,412,412,,
2008-04-24,303,303,,
2008-04-25,534,534,,
2008-04-26,550,550,,
2008-04-27,480,480,,
2008-04-28,348,348,,
2008-04-29,626,626,,
2008-04-30,465,465,,
2008-05-01,442,442,,
2008-05-02,430,430,,
2008-05-03,421,421,,
2008-05-04,481,481,,
2008-05-05,570,570,,
2008-05-06,521,521,,
2008-05-07,454,454,,
2008-05-08,624,624,,
2008-05-09,580,580,,
2008-05-10,588,588,,
2008-05-11,542,542,,
2008-05-12,347,347,,
2008-05-13,451,451,,
2008-05-14,408,408,,
2008-05-15,308,308,,
2008-05-16,333,333,,
2008-05-17,309,309,,
2008-05-18,395,395,,
2008-05-19,274,274,,
2008-05-20,365,365,,
2008-05-21,427,427,,
2008-05-22,321,321,,
2008-05-23,439,439,,
2008-05-24,1056,1056,,
2008-05-25,773,773,,
2008-05-26,865,865,,
2008-05-27,898,898,,
2008-05-28,1090,1090,,
2008-05-29,644,644,,
2008-05-30,789,789,,
2008-05-31,698,698,,
2008-06-01,680,680,,
2008-06-02,960,960,,
2008-06-03,655,655,,
2008-06-04,705,705,,
2008-06-05,2866,2866,,
2008-06-06,553,553,,
2008-06-07,546,546,,
2008-06-08,746,746,,
2008-06-09,775,775,,
2008-06-10,860,860,,
2008-06-11,1012,1012,,
2008-06-12,819,819,,
2008-06-13,686,686,,
2008-06-14,683,683,,
2008-06-15,770,770,,
2008-06-16,2113,2113,,
2008-06-17,541,541,,
2008-06-18,565,565,,
2008-06-19,831,831,,
2008-06-20,533,533,,
2008-06-21,589,589,,
2008-06-22,602,602,,
2008-06-23,767,767,,
2008-06-24,639,639,,
2008-06-25,650,650,,
2008-06-26,706,706,,
2008-06-27,826,826,,
2008-06-28,622,622,,
2008-06-29,634,634,,
2008-06-30,740,740,,
2008-07-01,1103,1103,,
2008-07-02,578,578,,
2008-07-03,536,536,,
2008-07-04,735,735,,
2008-07-05,565,565,,
2008-07-06,701,701,,
2008-07-07,567,567,,
2008-07-08,447,447,,
2008-07-09,232,232,,
2008-07-10,160,160,,
2008-07-11,218,218,,
2008-07-12,222,222,,
2008-07-13,150,150,,
2008-07-14,200,200,,
2008-07-15,193,193,,
2008-07-16,165,165,,
2008-07-17,216,216,,
2008-07-18,188,188,,
2008-07-19,159,159,,
2008-07-20,175,175,,
2008-07-21,135,135,,
2008-07-22,308,308,,
2008-07-23,233,233,,
2008-07-24,259,259,,
2008-07-25,688,688,,
2008-07-26,248,248,,
2008-07-27,204,204,,
2008-07-28,160,160,,
2008-07-29,273,273,,
