Date,Total,Desktop site,Mobile site,Zero site
2008-01,0,0,,
2008-02,0,0,,
2008-03,0,0,,
2008-04,0,0,,
2008-05,3929,3929,,
2008-06,8003,8003,,
2008-07,8263,8263,,
2008-08,10428,10428,,
2008-09,9488,9488,,
2008-10,7472,7472,,
2008-11,5317,5317,,
2008-12,4976,4976,,
2009-01,5451,5451,,
2009-02,3909,3909,,
2009-03,4802,4802,,
2009-04,3991,3991,,
2009-05,7080,7080,,
2009-06,6303,6303,,
2009-07,5696,5696,,
2009-08,4628,4628,,
2009-09,5254,5254,,
2009-10,5495,5495,,
2009-11,5114,5114,,
2010-07,3000,3000,,
2010-08,3913,3913,,
2010-09,2570,2570,,
2010-10,2967,2967,,
2010-11,3514,3514,,
2010-12,5280,5280,,
2011-01,4689,4689,,
2011-02,5108,5108,,
2011-03,5597,5597,,
2011-04,3995,3995,,
2011-05,2913,2913,,
2011-06,3621,3621,,
2011-07,3787,3787,,
2011-08,6666,6666,,
2011-09,4137,4137,,
2011-10,5453,5453,,
2011-11,5297,5297,,
2011-12,5892,5892,,
2012-01,3815,3815,,
2012-02,4121,4121,,
2012-03,5383,5383,,
2012-04,5756,5756,,
2012-05,10098,10098,,
2012-06,5449,5449,,
2012-07,5782,5782,,
2012-08,4867,4867,,
2012-09,6151,6151,,
2012-10,6014,6014,,
2012-11,5212,5212,,
2012-12,4740,4740,,
2013-01,6472,6472,,
2013-02,5995,5995,,
2013-03,5547,5547,,
2013-04,4404,4404,,
2013-05,4838,4838,,
2013-06,6444,6444,,
2013-07,6872,6872,,
2013-08,3481,3481,,
2013-09,3402,3402,,
2013-10,4273,4273,,
2013-11,4412,4412,,
2013-12,4499,4499,,
2014-01,4518,4518,,
2014-02,4808,4808,,
2014-03,7357,7357,,
2014-04,6564,6564,,
2014-05,7129,7129,,
2014-06,4500,4500,,
2014-07,7493,7493,,
2014-08,9756,9756,,
2014-09,11214,11016,742,0
2014-10,7844,7381,462,0
2014-11,5745,5230,515,0
2014-12,5823,5276,547,0
