Date,Total,Desktop site,Mobile site,Zero site
2008-01,0,0,,
2008-02,0,0,,
2008-03,0,0,,
2008-04,0,0,,
2008-05,3586,3586,,
2008-06,9604,9604,,
2008-07,8733,8733,,
2008-08,9903,9903,,
2008-09,9628,9628,,
2008-10,9458,9458,,
2008-11,4787,4787,,
2008-12,5460,5460,,
2009-01,4956,4956,,
2009-02,3607,3607,,
2009-03,4934,4934,,
2009-04,3585,3585,,
2009-05,3507,3507,,
2009-06,3545,3545,,
2009-07,3896,3896,,
2009-08,4477,4477,,
2009-09,3763,3763,,
2009-10,2927,2927,,
2009-11,3007,3007,,
2010-07,2352,2352,,
2010-08,1942,1942,,
2010-09,1849,1849,,
2010-10,1972,1972,,
2010-11,2446,2446,,
2010-12,4227,4227,,
2011-01,3293,3293,,
2011-02,4482,4482,,
2011-03,6176,6176,,
2011-04,5475,5475,,
2011-05,3237,3237,,
2011-06,4182,4182,,
2011-07,4774,4774,,
2011-08,4441,4441,,
2011-09,3203,3203,,
2011-10,3788,3788,,
2011-11,4412,4412,,
2011-12,4678,4678,,
2012-01,3989,3989,,
2012-02,4181,4181,,
2012-03,5417,5417,,
2012-04,5431,5431,,
2012-05,6458,6458,,
2012-06,7444,7444,,
2012-07,6589,6589,,
2012-08,6487,6487,,
2012-09,5598,5598,,
2012-10,5387,5387,,
2012-11,7265,7265,,
2012-12,6091,6091,,
2013-01,7373,7373,,
2013-02,6141,6141,,
2013-03,6684,6684,,
2013-04,6496,6496,,
2013-05,6825,6825,,
2013-06,7275,7275,,
2013-07,7130,7130,,
2013-08,4423,4423,,
2013-09,3916,3916,,
2013-10,3599,3599,,
2013-11,4282,4282,,
2013-12,4903,4903,,
2014-01,4173,4173,,
2014-02,5430,5430,,
2014-03,7475,7475,,
2014-04,6432,6432,,
2014-05,5680,5680,,
2014-06,5226,5226,,
2014-07,9568,9568,,
2014-08,5658,5658,,
2014-09,9699,7873,1826,0
2014-10,6364,5096,1268,0
2014-11,10099,8876,1221,2
2014-12,7632,6037,1594,1
2015-01,7156,5947,1209,0
2015-02,8082,6847,1235,0
2015-03,14022,12934,1088,0
