Date,Total,Desktop site,Mobile site,Zero site
2008-01,17215,17215,,
2008-02,17185,17185,,
2008-03,19721,19721,,
2008-04,21749,21749,,
2008-05,28001,28001,,
2008-06,32848,32848,,
2008-07,24413,24413,,
2008-08,25092,25092,,
2008-09,23103,23103,,
2008-10,25774,25774,,
2008-11,36414,36414,,
2008-12,33476,33476,,
2009-01,38280,38280,,
2009-02,32500,32500,,
2009-03,37860,37860,,
2009-04,35338,35338,,
2009-05,33308,33308,,
2009-06,37288,37288,,
2009-07,39789,39789,,
2009-08,46071,46071,,
2009-09,46407,46407,,
2009-10,57624,57624,,
2009-11,55861,55861,,
2010-07,60534,60534,,
2010-08,53490,53490,,
2010-09,63613,63613,,
2010-10,59423,59423,,
2010-11,60768,60768,,
2010-12,83785,83785,,
2011-01,67519,67519,,
2011-02,68317,68317,,
2011-03,72206,72206,,
2011-04,67539,67539,,
2011-05,62730,62730,,
2011-06,64683,64683,,
2011-07,71330,71330,,
2011-08,85130,85130,,
2011-09,83120,83120,,
2011-10,76883,76883,,
2011-11,71013,71013,,
2011-12,86512,86512,,
2012-01,80921,80921,,
2012-02,95079,95079,,
2012-03,126127,126127,,
2012-04,84715,84715,,
2012-05,103870,103870,,
2012-06,90529,90529,,
2012-07,93399,93399,,
2012-08,99956,99956,,
2012-09,96065,96065,,
2012-10,108394,108394,,
2012-11,99037,99037,,
2012-12,126426,126426,,
2013-01,112326,112326,,
2013-02,241793,241793,,
2013-03,98464,98464,,
2013-04,91792,91792,,
2013-05,91988,91988,,
2013-06,103162,103162,,
2013-07,98940,98940,,
2013-08,117748,117748,,
2013-09,90257,90257,,
2013-10,100382,100382,,
2013-11,81525,81525,,
2013-12,87906,87906,,
2014-01,85434,85434,,
2014-02,96090,96090,,
2014-03,102675,102675,,
2014-04,103757,103757,,
2014-05,99234,99234,,
2014-06,114850,114850,,
2014-07,116774,116774,,
2014-08,126737,126737,,
2014-09,154252,125580,28631,41
2014-10,131947,116865,15056,26
2014-11,114260,100263,13924,73
2014-12,118181,98975,19117,89
2015-01,125034,112453,12540,41
2015-02,164236,150426,13779,31
