Date,Total,Desktop site,Mobile site,Zero site
2008-01,0,0,,
2008-02,0,0,,
2008-03,0,0,,
2008-04,0,0,,
2008-05,4048,4048,,
2008-06,10457,10457,,
2008-07,10143,10143,,
2008-08,10010,10010,,
2008-09,8525,8525,,
2008-10,7117,7117,,
2008-11,4727,4727,,
2008-12,5044,5044,,
2009-01,5240,5240,,
2009-02,4269,4269,,
2009-03,4681,4681,,
2009-04,3692,3692,,
2009-05,3923,3923,,
2009-06,3789,3789,,
2009-07,4463,4463,,
2009-08,4738,4738,,
2009-09,4550,4550,,
2009-10,6355,6355,,
2009-11,5622,5622,,
2010-07,2208,2208,,
2010-08,2074,2074,,
2010-09,2048,2048,,
2010-10,1920,1920,,
2010-11,2188,2188,,
2010-12,3324,3324,,
2011-01,3175,3175,,
2011-02,4373,4373,,
2011-03,4214,4214,,
2011-04,3927,3927,,
2011-05,3140,3140,,
2011-06,3296,3296,,
2011-07,3581,3581,,
2011-08,4643,4643,,
2011-09,3538,3538,,
2011-10,3397,3397,,
2011-11,3696,3696,,
2011-12,3650,3650,,
2012-01,5132,5132,,
2012-02,5682,5682,,
2012-03,23771,23771,,
2012-04,7494,7494,,
2012-05,6610,6610,,
2012-06,7202,7202,,
2012-07,5143,5143,,
2012-08,5145,5145,,
2012-09,5181,5181,,
2012-10,5430,5430,,
2012-11,7851,7851,,
2012-12,7192,7192,,
2013-01,8023,8023,,
2013-02,7299,7299,,
2013-03,10223,10223,,
2013-04,8348,8348,,
2013-05,7599,7599,,
2013-06,10573,10573,,
2013-07,7070,7070,,
2013-08,6465,6465,,
2013-09,6348,6348,,
2013-10,5563,5563,,
2013-11,4002,4002,,
2013-12,5187,5187,,
2014-01,4985,4985,,
2014-02,5709,5709,,
2014-03,6231,6231,,
2014-04,4767,4767,,
2014-05,4730,4730,,
2014-06,6445,6445,,
2014-07,8334,8334,,
2014-08,5529,5529,,
2014-09,8987,8530,457,0
2014-10,6460,6070,390,0
2014-11,8765,8226,539,0
2014-12,5229,4634,595,0
2015-01,6675,6068,607,0
2015-02,6098,5628,470,0
2015-03,21114,20656,458,0
2015-04,5613,5101,512,0
2015-05,6785,6297,488,0
