Date,Total,Desktop site,Mobile site,Zero site
2008-01,92933,92933,,
2008-02,85878,85878,,
2008-03,106176,106176,,
2008-04,115581,115581,,
2008-05,110904,110904,,
2008-06,113945,113945,,
2008-07,90294,90294,,
2008-08,85484,85484,,
2008-09,86962,86962,,
2008-10,87200,87200,,
2008-11,89264,89264,,
2008-12,98088,98088,,
2009-01,99874,99874,,
2009-02,85656,85656,,
2009-03,111054,111054,,
2009-04,97212,97212,,
2009-05,78251,78251,,
2009-06,86590,86590,,
2009-07,72382,72382,,
2009-08,80954,80954,,
2009-09,89896,89896,,
2009-10,102699,102699,,
2009-11,105098,105098,,
2010-07,100428,100428,,
2010-08,98135,98135,,
2010-09,97391,97391,,
2010-10,102811,102811,,
2010-11,121748,121748,,
2010-12,146418,146418,,
2011-01,224687,224687,,
2011-02,288595,288595,,
2011-03,205223,205223,,
2011-04,152905,152905,,
2011-05,141055,141055,,
2011-06,161536,161536,,
2011-07,180330,180330,,
2011-08,208205,208205,,
2011-09,177171,177171,,
2011-10,264603,264603,,
2011-11,166803,166803,,
2011-12,181508,181508,,
2012-01,192663,192663,,
2012-02,213777,213777,,
2012-03,180938,180938,,
2012-04,176634,176634,,
2012-05,198386,198386,,
2012-06,185027,185027,,
2012-07,197000,197000,,
2012-08,218481,218481,,
2012-09,219772,219772,,
2012-10,215571,215571,,
2012-11,213893,213893,,
2012-12,250128,250128,,
2013-01,261424,261424,,
2013-02,231453,231453,,
2013-03,272987,272987,,
2013-04,232728,232728,,
2013-05,253248,253248,,
2013-06,261778,261778,,
2013-07,294075,294075,,
2013-08,414187,414187,,
2013-09,337042,337042,,
2013-10,374767,374767,,
2013-11,350831,350831,,
2013-12,414620,414620,,
2014-01,433693,433693,,
2014-02,503047,503047,,
2014-03,518016,518016,,
2014-04,520834,520834,,
2014-05,459879,459879,,
2014-06,599786,599786,,
2014-07,637423,637423,,
2014-08,686874,686874,,
2014-09,747091,651448,95036,607
2014-10,620692,552280,67963,449
2014-11,585858,503773,81313,772
2014-12,675084,563844,110703,537
2015-01,762492,661182,100697,613
2015-02,866724,775213,90757,754
