Date,Total,Desktop site,Mobile site,Zero site
2008-01,0,0,,
2008-02,0,0,,
2008-03,0,0,,
2008-04,0,0,,
2008-05,56,56,,
2008-06,160,160,,
2008-07,180,180,,
2008-08,151,151,,
2008-09,171,171,,
2008-10,218,218,,
2008-11,177,177,,
2008-12,130,130,,
2009-01,141,141,,
2009-02,180,180,,
2009-03,196,196,,
2009-04,179,179,,
2009-05,195,195,,
2009-06,255,255,,
2009-07,190,190,,
2009-08,287,287,,
2009-09,271,271,,
2009-10,562,562,,
2009-11,497,497,,
2010-07,276,276,,
2010-08,220,220,,
2010-09,157,157,,
2010-10,162,162,,
2010-11,161,161,,
2010-12,198,198,,
2011-01,195,195,,
2011-02,226,226,,
2011-03,268,268,,
2011-04,41801,41801,,
2011-05,52079,52079,,
2011-06,40071,40071,,
2011-07,40457,40457,,
2011-08,45975,45975,,
2011-09,51432,51432,,
2011-10,61439,61439,,
2011-11,50374,50374,,
2011-12,50143,50143,,
2012-01,57466,57466,,
2012-02,57700,57700,,
2012-03,63186,63186,,
2012-04,58310,58310,,
2012-05,63312,63312,,
2012-06,87138,87138,,
2012-07,62303,62303,,
2012-08,80358,80358,,
2012-09,92122,92122,,
2012-10,75556,75556,,
2012-11,87380,87380,,
2012-12,89411,89411,,
2013-01,99150,99150,,
2013-02,83116,83116,,
2013-03,95492,95492,,
2013-04,97368,97368,,
2013-05,111754,111754,,
2013-06,105651,105651,,
2013-07,122645,122645,,
2013-08,106613,106613,,
2013-09,75510,75510,,
2013-10,85551,85551,,
2013-11,96988,96988,,
2013-12,81666,81666,,
2014-01,79422,79422,,
2014-02,85483,85483,,
2014-03,72158,72158,,
2014-04,55572,55572,,
2014-05,67479,67479,,
2014-06,59411,59411,,
2014-07,55208,55208,,
2014-08,80456,80456,,
2014-09,78136,69204,8932,0
2014-10,66202,53244,12958,0
2014-11,78317,62230,16087,0
2014-12,77574,60156,17418,0
