Date,Total,Desktop site,Mobile site,Zero site
2008-01,0,0,,
2008-02,0,0,,
2008-03,0,0,,
2008-04,0,0,,
2008-05,996067,996067,,
2008-06,2200459,2200459,,
2008-07,1812769,1812769,,
2008-08,1683883,1683883,,
2008-09,2033183,2033183,,
2008-10,2317036,2317036,,
2008-11,1950306,1950306,,
2008-12,2043952,2043952,,
2009-01,2383270,2383270,,
2009-02,2210526,2210526,,
2009-03,2286875,2286875,,
2009-04,2127045,2127045,,
2009-05,2290073,2290073,,
2009-06,2491568,2491568,,
2009-07,2227965,2227965,,
2009-08,2598062,2598062,,
2009-09,3078912,3078912,,
2009-10,3302225,3302225,,
2009-11,3286634,3286634,,
2010-07,1518732,1518732,,
2010-08,1584071,1584071,,
2010-09,2215373,2215373,,
2010-10,2215051,2215051,,
2010-11,2535794,2535794,,
2010-12,2258935,2258935,,
2011-01,2199555,2199555,,
2011-02,2618005,2618005,,
2011-03,2797397,2797397,,
2011-04,2523394,2523394,,
2011-05,2588530,2588530,,
2011-06,3177114,3177114,,
2011-07,3342091,3342091,,
2011-08,2510724,2510724,,
2011-09,2784497,2784497,,
2011-10,3524715,3524715,,
2011-11,2938820,2938820,,
2011-12,2592580,2592580,,
2012-01,2597154,2597154,,
2012-02,2914222,2914222,,
2012-03,3087223,3087223,,
2012-04,2226192,2226192,,
2012-05,2203258,2203258,,
2012-06,2302248,2302248,,
2012-07,2146726,2146726,,
2012-08,2182600,2182600,,
2012-09,2401718,2401718,,
2012-10,2753170,2753170,,
2012-11,2740394,2740394,,
2012-12,2596181,2596181,,
2013-01,2942068,2942068,,
2013-02,2858551,2858551,,
2013-03,2993581,2993581,,
2013-04,3267460,3267460,,
2013-05,2716683,2716683,,
2013-06,2875563,2875563,,
2013-07,2678402,2678402,,
2013-08,2475880,2475880,,
2013-09,2956917,2956917,,
2013-10,2978251,2978251,,
2013-11,2815015,2815015,,
2013-12,2552390,2552390,,
2014-01,2730137,2730137,,
2014-02,3259834,3259834,,
2014-03,2626495,2626495,,
2014-04,2817797,2817797,,
2014-05,2772104,2772104,,
2014-06,2441220,2441220,,
2014-07,2087337,2087337,,
2014-08,2223356,2223356,,
2014-09,2995009,2838513,586860,0
2014-10,3439776,2932423,507351,1
