Date,Total,Desktop site,Mobile site,Zero site
2008-01,553239,553239,,
2008-02,425704,425704,,
2008-03,518234,518234,,
2008-04,504953,504953,,
2008-05,466254,466254,,
2008-06,436078,436078,,
2008-07,387424,387424,,
2008-08,381257,381257,,
2008-09,350705,350705,,
2008-10,397959,397959,,
2008-11,357861,357861,,
2008-12,413765,413765,,
2009-01,375376,375376,,
2009-02,312703,312703,,
2009-03,381218,381218,,
2009-04,376128,376128,,
2009-05,279789,279789,,
2009-06,342373,342373,,
2009-07,379485,379485,,
2009-08,399443,399443,,
2009-09,422098,422098,,
2009-10,471122,471122,,
2009-11,433242,433242,,
2010-07,499932,499932,,
2010-08,478056,478056,,
2010-09,469145,469145,,
2010-10,467358,467358,,
2010-11,520304,520304,,
2010-12,575067,575067,,
2011-01,509103,509103,,
2011-02,609831,609831,,
2011-03,741640,741640,,
2011-04,575585,575585,,
2011-05,557226,557226,,
2011-06,614013,614013,,
2011-07,533827,533827,,
2011-08,687366,687366,,
2011-09,631600,631600,,
2011-10,737184,737184,,
2011-11,683530,683530,,
2011-12,873534,873534,,
2012-01,871768,871768,,
2012-02,757586,757586,,
2012-03,775311,775311,,
2012-04,697064,697064,,
2012-05,753529,753529,,
2012-06,1066983,1066983,,
2012-07,1180368,1180368,,
2012-08,832939,832939,,
2012-09,702368,702368,,
2012-10,837877,837877,,
2012-11,760724,760724,,
2012-12,753265,753265,,
2013-01,714729,714729,,
2013-02,676928,676928,,
2013-03,562765,562765,,
2013-04,456198,456198,,
2013-05,510827,510827,,
2013-06,553206,553206,,
2013-07,549324,549324,,
2013-08,628565,628565,,
2013-09,808758,808758,,
2013-10,1240834,1240834,,
2013-11,498167,498167,,
2013-12,497250,497250,,
2014-01,567388,567388,,
2014-02,672459,672459,,
2014-03,909189,909189,,
2014-04,888748,888748,,
2014-05,738934,738934,,
2014-06,792229,792229,,
2014-07,812282,812282,,
2014-08,879403,879403,,
2014-09,968174,899497,68471,206
2014-10,1143592,1056764,86564,264
2014-11,895381,790542,104707,132
2014-12,828359,695557,132477,325
2015-01,900750,806917,93657,176
