Date,Total,Desktop site,Mobile site,Zero site
2008-01,0,0,,
2008-02,0,0,,
2008-03,0,0,,
2008-04,0,0,,
2008-05,13196,13196,,
2008-06,28890,28890,,
2008-07,25466,25466,,
2008-08,25541,25541,,
2008-09,25611,25611,,
2008-10,36973,36973,,
2008-11,48811,48811,,
2008-12,45079,45079,,
2009-01,60290,60290,,
2009-02,45645,45645,,
2009-03,47831,47831,,
2009-04,34472,34472,,
2009-05,45135,45135,,
2009-06,29627,29627,,
2009-07,19965,19965,,
2009-08,25996,25996,,
2009-09,40856,40856,,
2009-10,59241,59241,,
2009-11,71283,71283,,
2010-07,17676,17676,,
2010-08,20337,20337,,
2010-09,32539,32539,,
2010-10,45320,45320,,
2010-11,61221,61221,,
2010-12,65191,65191,,
2011-01,82036,82036,,
2011-02,74152,74152,,
2011-03,65086,65086,,
2011-04,50349,50349,,
2011-05,43328,43328,,
2011-06,25876,25876,,
2011-07,25593,25593,,
2011-08,22731,22731,,
2011-09,36213,36213,,
2011-10,62980,62980,,
2011-11,85727,85727,,
2011-12,81984,81984,,
2012-01,125886,125886,,
2012-02,91411,91411,,
2012-03,104183,104183,,
2012-04,70196,70196,,
2012-05,73665,73665,,
2012-06,52571,52571,,
2012-07,39210,39210,,
2012-08,35747,35747,,
2012-09,54876,54876,,
2012-10,109768,109768,,
2012-11,87686,87686,,
2012-12,62784,62784,,
2013-01,66135,66135,,
2013-02,62495,62495,,
2013-03,69634,69634,,
2013-04,73080,73080,,
2013-05,70680,70680,,
2013-06,55547,55547,,
2013-07,40621,40621,,
2013-08,31169,31169,,
2013-09,72405,72405,,
2013-10,43734,43734,,
2013-11,51126,51126,,
2013-12,39315,39315,,
2014-01,44083,44083,,
2014-02,54072,54072,,
2014-03,55934,55934,,
2014-04,42135,42135,,
2014-05,48650,48650,,
2014-06,43425,43425,,
2014-07,39754,39754,,
2014-08,32838,32838,,
2014-09,66699,53537,13162,0
2014-10,52636,43760,8876,0
2014-11,64265,50953,13312,0
2014-12,50130,38759,11371,0
2015-01,72765,52646,20119,0
2015-02,79337,60443,18894,0
