Date,Total,Desktop site,Mobile site,Zero site
2008-01,0,0,,
2008-02,0,0,,
2008-03,0,0,,
2008-04,0,0,,
2008-05,8712,8712,,
2008-06,17099,17099,,
2008-07,14756,14756,,
2008-08,16115,16115,,
2008-09,10729,10729,,
2008-10,12623,12623,,
2008-11,9355,9355,,
2008-12,11338,11338,,
2009-01,12901,12901,,
2009-02,21512,21512,,
2009-03,24372,24372,,
2009-04,20537,20537,,
2009-05,25303,25303,,
2009-06,23738,23738,,
2009-07,22743,22743,,
2009-08,26573,26573,,
2009-09,30931,30931,,
2009-10,33585,33585,,
2009-11,34226,34226,,
2010-07,7710,7710,,
2010-08,12995,12995,,
2010-09,8138,8138,,
2010-10,9821,9821,,
2010-11,10604,10604,,
2010-12,13329,13329,,
2011-01,11371,11371,,
2011-02,12936,12936,,
2011-03,13675,13675,,
2011-04,13943,13943,,
2011-05,12479,12479,,
2011-06,15656,15656,,
2011-07,16127,16127,,
2011-08,23613,23613,,
2011-09,22952,22952,,
2011-10,34153,34153,,
2011-11,22135,22135,,
2011-12,22054,22054,,
2012-01,21720,21720,,
2012-02,22595,22595,,
2012-03,24186,24186,,
2012-04,23220,23220,,
2012-05,34711,34711,,
2012-06,33515,33515,,
2012-07,25952,25952,,
2012-08,21805,21805,,
2012-09,22304,22304,,
2012-10,24110,24110,,
2012-11,23392,23392,,
2012-12,22718,22718,,
2013-01,23693,23693,,
2013-02,23485,23485,,
2013-03,24878,24878,,
2013-04,22724,22724,,
2013-05,22332,22332,,
2013-06,28271,28271,,
2013-07,23757,23757,,
2013-08,18177,18177,,
2013-09,18949,18949,,
2013-10,21256,21256,,
2013-11,18005,18005,,
2013-12,17401,17401,,
2014-01,18108,18108,,
2014-02,20395,20395,,
2014-03,20302,20302,,
2014-04,20524,20524,,
2014-05,19024,19024,,
2014-06,22300,22300,,
2014-07,28276,28276,,
2014-08,27924,27924,,
2014-09,41927,34881,7046,0
2014-10,28216,25588,2628,0
2014-11,26336,22024,4312,0
2014-12,25258,20334,4917,7
2015-01,28461,20312,8149,0
