Date,Total,Desktop site,Mobile site,Zero site
2008-01,2076116,2076116,,
2008-02,1892165,1892165,,
2008-03,2245069,2245069,,
2008-04,1951925,1951925,,
2008-05,2062309,2062309,,
2008-06,1832611,1832611,,
2008-07,1389189,1389189,,
2008-08,1493701,1493701,,
2008-09,1989349,1989349,,
2008-10,2365483,2365483,,
2008-11,2379740,2379740,,
2008-12,2133195,2133195,,
2009-01,2332720,2332720,,
2009-02,2232348,2232348,,
2009-03,2233679,2233679,,
2009-04,1956648,1956648,,
2009-05,1963663,1963663,,
2009-06,1709987,1709987,,
2009-07,1583913,1583913,,
2009-08,1613184,1613184,,
2009-09,1978006,1978006,,
2009-10,2172208,2172208,,
2009-11,2430520,2430520,,
2010-07,1658124,1658124,,
2010-08,1733865,1733865,,
2010-09,2133932,2133932,,
2010-10,2457634,2457634,,
2010-11,2673673,2673673,,
2010-12,2879152,2879152,,
2011-01,2773752,2773752,,
2011-02,3321622,3321622,,
2011-03,3076088,3076088,,
2011-04,2740678,2740678,,
2011-05,2917233,2917233,,
2011-06,2534328,2534328,,
2011-07,2066021,2066021,,
2011-08,2620842,2620842,,
2011-09,2796977,2796977,,
2011-10,3677513,3677513,,
2011-11,3607606,3607606,,
2011-12,3700524,3700524,,
2012-01,3800644,3800644,,
2012-02,3972996,3972996,,
2012-03,3713467,3713467,,
2012-04,3685940,3685940,,
2012-05,3780024,3780024,,
2012-06,3104940,3104940,,
2012-07,2543793,2543793,,
2012-08,2604890,2604890,,
2012-09,3465734,3465734,,
2012-10,4533468,4533468,,
2012-11,4922556,4922556,,
2012-12,4252582,4252582,,
2013-01,5234750,5234750,,
2013-02,5438242,5438242,,
2013-03,4866780,4866780,,
2013-04,4561089,4561089,,
2013-05,4724640,4724640,,
2013-06,3686859,3686859,,
2013-07,3337735,3337735,,
2013-08,2946556,2946556,,
2013-09,4267811,4267811,,
2013-10,5132887,5132887,,
2013-11,4321306,4321306,,
2013-12,3732991,3732991,,
2014-01,3853192,3853192,,
2014-02,4225675,4225675,,
2014-03,4456606,4456606,,
2014-04,4519738,4519738,,
2014-05,4335989,4335989,,
2014-06,3776509,3776509,,
2014-07,3163853,3163853,,
2014-08,2730162,2730162,,
2014-09,5220357,4077571,1141260,1526
2014-10,5507723,4315044,1192074,605
2014-11,6068634,4602072,1466091,471
2014-12,4988213,3761452,1225728,1033
2015-01,5888183,4452630,1434683,870
2015-02,5768379,4197043,1570655,681
2015-03,5920827,4377018,1543220,589
2015-04,5913280,4433630,1478564,1086
