Date,Total,Desktop site,Mobile site,Zero site
2008-01,0,0,,
2008-02,0,0,,
2008-03,0,0,,
2008-04,0,0,,
2008-05,113301,113301,,
2008-06,244095,244095,,
2008-07,194951,194951,,
2008-08,197586,197586,,
2008-09,159846,159846,,
2008-10,192285,192285,,
2008-11,189513,189513,,
2008-12,174258,174258,,
2009-01,148757,148757,,
2009-02,167371,167371,,
2009-03,192438,192438,,
2009-04,123937,123937,,
2009-05,132749,132749,,
2009-06,169852,169852,,
2009-07,154736,154736,,
2009-08,182290,182290,,
2009-09,212925,212925,,
2009-10,323418,323418,,
2009-11,311045,311045,,
2010-07,92160,92160,,
2010-08,66164,66164,,
2010-09,87013,87013,,
2010-10,95352,95352,,
2010-11,117047,117047,,
2010-12,105692,105692,,
2011-01,118185,118185,,
2011-02,127516,127516,,
2011-03,92790,92790,,
2011-04,92688,92688,,
2011-05,109835,109835,,
2011-06,104623,104623,,
2011-07,82110,82110,,
2011-08,99388,99388,,
2011-09,102689,102689,,
2011-10,167864,167864,,
2011-11,137992,137992,,
2011-12,117590,117590,,
2012-01,138560,138560,,
2012-02,125733,125733,,
2012-03,127164,127164,,
2012-04,135434,135434,,
2012-05,149495,149495,,
2012-06,124303,124303,,
2012-07,103265,103265,,
2012-08,96658,96658,,
2012-09,128428,128428,,
2012-10,164572,164572,,
2012-11,151071,151071,,
2012-12,137203,137203,,
2013-01,162818,162818,,
2013-02,181624,181624,,
2013-03,160673,160673,,
2013-04,167340,167340,,
2013-05,153970,153970,,
2013-06,133655,133655,,
2013-07,119468,119468,,
2013-08,103852,103852,,
2013-09,120154,120154,,
2013-10,140660,140660,,
2013-11,122070,122070,,
2013-12,112318,112318,,
2014-01,125808,125808,,
2014-02,123169,123169,,
2014-03,108115,108115,,
2014-04,100298,100298,,
2014-05,100766,100766,,
2014-06,131206,131206,,
2014-07,98924,98924,,
2014-08,102346,102346,,
2014-09,194183,177126,63963,0
2014-10,164234,124651,39575,6
2014-11,235736,180172,55563,1
2014-12,152545,108904,43631,8
