Date,Total,Desktop site,Mobile site,Zero site
2008-01,105310,105310,,
2008-02,95976,95976,,
2008-03,93842,93842,,
2008-04,91518,91518,,
2008-05,114403,114403,,
2008-06,114961,114961,,
2008-07,89522,89522,,
2008-08,89669,89669,,
2008-09,85636,85636,,
2008-10,88922,88922,,
2008-11,86273,86273,,
2008-12,90714,90714,,
2009-01,87134,87134,,
2009-02,78831,78831,,
2009-03,101058,101058,,
2009-04,92783,92783,,
2009-05,69873,69873,,
2009-06,85999,85999,,
2009-07,88012,88012,,
2009-08,83880,83880,,
2009-09,81101,81101,,
2009-10,92617,92617,,
2009-11,92394,92394,,
2010-07,74190,74190,,
2010-08,73801,73801,,
2010-09,86706,86706,,
2010-10,83794,83794,,
2010-11,89045,89045,,
2010-12,97072,97072,,
2011-01,106826,106826,,
2011-02,94401,94401,,
2011-03,95901,95901,,
2011-04,97374,97374,,
2011-05,86332,86332,,
2011-06,94174,94174,,
2011-07,101997,101997,,
2011-08,112559,112559,,
2011-09,125440,125440,,
2011-10,127410,127410,,
2011-11,115283,115283,,
2011-12,134352,134352,,
2012-01,127857,127857,,
2012-02,146735,146735,,
2012-03,136301,136301,,
2012-04,116210,116210,,
2012-05,135010,135010,,
2012-06,159448,159448,,
2012-07,145957,145957,,
2012-08,146808,146808,,
2012-09,186221,186221,,
2012-10,222498,222498,,
2012-11,222141,222141,,
2012-12,238153,238153,,
2013-01,215439,215439,,
2013-02,173944,173944,,
2013-03,155290,155290,,
2013-04,160822,160822,,
2013-05,176589,176589,,
2013-06,167530,167530,,
2013-07,171722,171722,,
2013-08,220612,220612,,
2013-09,184435,184435,,
2013-10,189768,189768,,
2013-11,176546,176546,,
2013-12,168615,168615,,
2014-01,191372,191372,,
2014-02,222437,222437,,
2014-03,259660,259660,,
2014-04,240466,240466,,
2014-05,214220,214220,,
2014-06,257212,257212,,
2014-07,266190,266190,,
2014-08,261643,261643,,
2014-09,284464,275659,32928,90
2014-10,283908,259346,24349,212
