Date,Total,Desktop site,Mobile site,Zero site
2008W01,4915,4915,,
2008W02,4149,4149,,
2008W03,6755,6755,,
2008W04,5911,5911,,
2008W05,5305,5305,,
2008W06,5376,5376,,
2008W07,5350,5350,,
2008W08,6090,6090,,
2008W09,5845,5845,,
2008W10,5755,5755,,
2008W11,5038,5038,,
2008W12,5371,5371,,
2008W13,5094,5094,,
2008W14,5109,5109,,
2008W15,5616,5616,,
2008W16,4161,4161,,
2008W17,5615,5615,,
2008W18,8843,8843,,
2008W19,5532,5532,,
2008W20,5054,5054,,
2008W21,5906,5906,,
2008W22,4424,4424,,
2008W23,4844,4844,,
2008W24,5093,5093,,
2008W25,5729,5729,,
2008W26,5224,5224,,
2008W27,5122,5122,,
2008W28,4100,4100,,
2008W29,6368,6368,,
2008W30,7276,7276,,
2008W31,3970,3970,,
2008W32,5162,5162,,
2008W33,6396,6396,,
2008W34,7039,7039,,
2008W35,6493,6493,,
2008W36,5141,5141,,
2008W37,5178,5178,,
2008W38,5278,5278,,
2008W39,4484,4484,,
2008W40,9567,9567,,
2008W41,8291,8291,,
2008W42,9982,9982,,
2008W43,5303,5303,,
2008W44,4797,4797,,
2008W45,6156,6156,,
2008W46,9989,9989,,
2008W47,10479,10479,,
2008W48,6664,6664,,
2008W49,6919,6919,,
2008W50,5797,5797,,
2008W51,10155,10155,,
2008W52,6244,6244,,
2009W01,6656,6656,,
2009W02,6742,6742,,
2009W03,8215,8215,,
2009W04,17180,17180,,
2009W05,11852,11852,,
2009W06,7457,7457,,
2009W07,11895,11895,,
2009W08,7346,7346,,
2009W09,9420,9420,,
2009W10,12302,12302,,
2009W11,22621,22621,,
2009W12,8753,8753,,
2009W13,8414,8414,,
2009W14,12634,12634,,
2009W15,7392,7392,,
2009W16,8046,8046,,
2009W17,8751,8751,,
2009W18,7539,7539,,
2009W19,11125,11125,,
2009W20,6455,6455,,
2009W21,6306,6306,,
2009W22,7051,7051,,
2009W23,8586,8586,,
2009W24,13716,13716,,
2009W25,13733,13733,,
2009W26,31548,31548,,
2009W27,9364,9364,,
2009W28,7469,7469,,
2009W29,8926,8926,,
2009W30,8576,8576,,
2009W31,9142,9142,,
2009W32,7476,7476,,
2009W33,10867,10867,,
2009W34,14373,14373,,
2009W35,9033,9033,,
2009W36,12584,12584,,
2009W37,8265,8265,,
2009W38,8997,8997,,
2009W39,9036,9036,,
2009W40,9488,9488,,
2009W41,9517,9517,,
2009W42,9563,9563,,
2009W43,9745,9745,,
2009W44,12421,12421,,
2009W45,13369,13369,,
2009W46,12834,12834,,
2009W47,12498,12498,,
2010W30,34988,34988,,
2010W31,30074,30074,,
2010W32,29909,29909,,
2010W33,34075,34075,,
2010W34,27982,27982,,
2010W35,47668,47668,,
2010W36,32564,32564,,
2010W37,36510,36510,,
2010W38,43899,43899,,
2010W39,32557,32557,,
2010W40,30564,30564,,
2010W41,38040,38040,,
2010W42,28007,28007,,
2010W43,34472,34472,,
2010W44,32370,32370,,
2010W45,28161,28161,,
2010W46,33848,33848,,
2010W47,28899,28899,,
2010W48,43960,43960,,
2010W49,39330,39330,,
2010W50,39283,39283,,
2010W51,37781,37781,,
2010W52,38667,38667,,
2011W01,35918,35918,,
2011W02,45867,45867,,
2011W03,38610,38610,,
2011W04,41865,41865,,
2011W05,46755,46755,,
2011W06,51603,51603,,
2011W07,53436,53436,,
2011W08,47444,47444,,
2011W09,46039,46039,,
2011W10,43076,43076,,
2011W11,47236,47236,,
2011W12,45586,45586,,
2011W13,46398,46398,,
2011W14,53770,53770,,
2011W15,38475,38475,,
2011W16,40147,40147,,
2011W17,47742,47742,,
2011W18,53707,53707,,
2011W19,47614,47614,,
2011W20,77637,77637,,
2011W21,45601,45601,,
2011W22,45646,45646,,
2011W23,41989,41989,,
2011W24,49789,49789,,
2011W25,47257,47257,,
2011W26,50959,50959,,
2011W27,40077,40077,,
2011W28,46237,46237,,
2011W29,51472,51472,,
2011W30,50371,50371,,
2011W31,48882,48882,,
2011W32,51378,51378,,
2011W33,54330,54330,,
2011W34,43900,43900,,
2011W35,55682,55682,,
2011W36,40258,40258,,
2011W37,49496,49496,,
2011W38,50810,50810,,
2011W39,47219,47219,,
2011W40,46811,46811,,
2011W41,53428,53428,,
2011W42,119483,119483,,
2011W43,44713,44713,,
2011W44,40499,40499,,
2011W45,34552,34552,,
2011W46,50180,50180,,
2011W47,40081,40081,,
2011W48,42956,42956,,
2011W49,41453,41453,,
2011W50,48021,48021,,
2011W51,57183,57183,,
2011W52,42830,42830,,
2012W01,43577,43577,,
2012W02,54515,54515,,
2012W03,48204,48204,,
2012W04,41296,41296,,
2012W05,42507,42507,,
2012W06,44653,44653,,
2012W07,47179,47179,,
2012W08,58359,58359,,
2012W09,57665,57665,,
2012W10,63676,63676,,
2012W11,51331,51331,,
2012W12,61105,61105,,
2012W13,72433,72433,,
2012W14,45028,45028,,
2012W15,44657,44657,,
2012W16,44043,44043,,
2012W17,49852,49852,,
2012W18,66576,66576,,
2012W19,56688,56688,,
2012W20,50641,50641,,
2012W21,55443,55443,,
2012W22,59429,59429,,
2012W23,55971,55971,,
2012W24,58545,58545,,
2012W25,50230,50230,,
2012W26,48836,48836,,
2012W27,54871,54871,,
2012W28,53314,53314,,
2012W29,45014,45014,,
2012W30,46697,46697,,
2012W31,51919,51919,,
2012W32,51831,51831,,
2012W33,47502,47502,,
2012W34,128755,128755,,
2012W35,48274,48274,,
2012W36,47903,47903,,
2012W37,44973,44973,,
2012W38,42810,42810,,
2012W39,42037,42037,,
2012W40,42881,42881,,
2012W41,37293,37293,,
2012W42,44918,44918,,
2012W43,36360,36360,,
2012W44,42132,42132,,
2012W45,48385,48385,,
2012W46,44155,44155,,
2012W47,44343,44343,,
2012W48,55209,55209,,
2012W49,47651,47651,,
2012W50,61435,61435,,
2012W51,52087,52087,,
2012W52,47627,47627,,
2013W01,50672,50672,,
2013W02,62139,62139,,
2013W03,54731,54731,,
2013W04,56427,56427,,
2013W05,60651,60651,,
2013W06,50313,50313,,
2013W07,49072,49072,,
2013W08,50711,50711,,
2013W09,48962,48962,,
2013W10,67688,67688,,
2013W11,57205,57205,,
2013W12,44586,44586,,
2013W13,38163,38163,,
2013W14,40483,40483,,
2013W15,43223,43223,,
2013W16,55423,55423,,
2013W17,69011,69011,,
2013W18,63901,63901,,
2013W19,45955,45955,,
2013W20,52945,52945,,
2013W21,54754,54754,,
2013W22,45146,45146,,
2013W23,43257,43257,,
2013W24,49259,49259,,
2013W25,51485,51485,,
2013W26,44592,44592,,
2013W27,47908,47908,,
2013W28,42433,42433,,
2013W29,43810,43810,,
2013W30,41412,41412,,
2013W31,50468,50468,,
2013W32,55113,55113,,
2013W33,55651,55651,,
2013W34,51478,51478,,
2013W35,46567,46567,,
2013W36,38594,38594,,
2013W37,42625,42625,,
2013W38,40911,40911,,
2013W39,38713,38713,,
2013W40,37779,37779,,
2013W41,43299,43299,,
2013W42,42765,42765,,
2013W43,40777,40777,,
2013W44,63090,63090,,
2013W45,47177,47177,,
2013W46,39603,39603,,
2013W47,40252,40252,,
2013W48,43581,43581,,
2013W49,43120,43120,,
2013W50,53502,53502,,
2013W51,48110,48110,,
2013W52,36669,36669,,
2014W01,38923,38923,,
2014W02,38398,38398,,
2014W03,41341,41341,,
2014W04,41307,41307,,
2014W05,47269,47269,,
2014W06,54715,54715,,
2014W07,55433,55433,,
2014W08,51288,51288,,
2014W09,55854,55854,,
2014W10,50311,50311,,
