Date,Total,Desktop site,Mobile site,Zero site
2008W01,0,0,,
2008W02,0,0,,
2008W03,0,0,,
2008W04,0,0,,
2008W05,0,0,,
2008W06,0,0,,
2008W07,0,0,,
2008W08,0,0,,
2008W09,0,0,,
2008W10,0,0,,
2008W11,0,0,,
2008W12,0,0,,
2008W13,0,0,,
2008W14,0,0,,
2008W15,0,0,,
2008W16,0,0,,
2008W17,0,0,,
2008W18,0,0,,
2008W19,0,0,,
2008W20,19262,19262,,
2008W21,88146,88146,,
2008W22,82905,82905,,
2008W23,79321,79321,,
2008W24,83649,83649,,
2008W25,73865,73865,,
2008W26,71369,71369,,
2008W27,62216,62216,,
2008W28,57007,57007,,
2008W29,52674,52674,,
2008W30,55035,55035,,
2008W31,49111,49111,,
2008W32,52789,52789,,
2008W33,53770,53770,,
2008W34,53590,53590,,
2008W35,56398,56398,,
2008W36,57014,57014,,
2008W37,44029,44029,,
2008W38,49862,49862,,
2008W39,50464,50464,,
2008W40,53772,53772,,
2008W41,52779,52779,,
2008W42,56476,56476,,
2008W43,52080,52080,,
2008W44,54599,54599,,
2008W45,48215,48215,,
2008W46,44749,44749,,
2008W47,43665,43665,,
2008W48,50223,50223,,
2008W49,44738,44738,,
2008W50,49186,49186,,
2008W51,53260,53260,,
2008W52,49341,49341,,
2009W01,51957,51957,,
2009W02,45042,45042,,
2009W03,49909,49909,,
2009W04,49549,49549,,
2009W05,69748,69748,,
2009W06,88209,88209,,
2009W07,67871,67871,,
2009W08,56610,56610,,
2009W09,55800,55800,,
2009W10,61125,61125,,
2009W11,60499,60499,,
2009W12,57500,57500,,
2009W13,60937,60937,,
2009W14,51202,51202,,
2009W15,60090,60090,,
2009W16,53392,53392,,
2009W17,42897,42897,,
2009W18,46041,46041,,
2009W19,49747,49747,,
2009W20,57591,57591,,
2009W21,56003,56003,,
2009W22,59400,59400,,
2009W23,58207,58207,,
2009W24,66376,66376,,
2009W25,51527,51527,,
2009W26,54042,54042,,
2009W27,47697,47697,,
2009W28,46148,46148,,
2009W29,52492,52492,,
2009W30,51949,51949,,
2009W31,49509,49509,,
2009W32,49774,49774,,
2009W33,83634,83634,,
2009W34,108049,108049,,
2009W35,84991,84991,,
2009W36,85544,85544,,
2009W37,78458,78458,,
2009W38,105287,105287,,
2009W39,112448,112448,,
2009W40,135462,135462,,
2009W41,130044,130044,,
2009W42,131941,131941,,
2009W43,136211,136211,,
2009W44,136707,136707,,
2009W45,124450,124450,,
2009W46,123590,123590,,
2009W47,112203,112203,,
2010W30,37157,37157,,
2010W31,36347,36347,,
2010W32,31913,31913,,
2010W33,39299,39299,,
2010W34,33405,33405,,
2010W35,42870,42870,,
2010W36,51475,51475,,
2010W37,41373,41373,,
2010W38,44645,44645,,
2010W39,36056,36056,,
2010W40,38229,38229,,
2010W41,40759,40759,,
2010W42,38171,38171,,
2010W43,87412,87412,,
2010W44,54647,54647,,
2010W45,49359,49359,,
2010W46,44467,44467,,
2010W47,46429,46429,,
2010W48,50228,50228,,
2010W49,50867,50867,,
2010W50,60154,60154,,
2010W51,38351,38351,,
2010W52,37143,37143,,
2011W01,40309,40309,,
2011W02,38333,38333,,
2011W03,34945,34945,,
2011W04,31747,31747,,
2011W05,46667,46667,,
2011W06,46490,46490,,
2011W07,49445,49445,,
2011W08,36160,36160,,
2011W09,41426,41426,,
2011W10,45887,45887,,
2011W11,58649,58649,,
2011W12,39807,39807,,
2011W13,39740,39740,,
2011W14,40405,40405,,
2011W15,40900,40900,,
2011W16,39746,39746,,
2011W17,42922,42922,,
2011W18,46621,46621,,
2011W19,40580,40580,,
2011W20,40625,40625,,
2011W21,38469,38469,,
2011W22,40688,40688,,
2011W23,41585,41585,,
2011W24,46625,46625,,
2011W25,48989,48989,,
2011W26,39133,39133,,
2011W27,39867,39867,,
2011W28,41679,41679,,
2011W29,43485,43485,,
2011W30,48943,48943,,
2011W31,39570,39570,,
2011W32,41185,41185,,
2011W33,48141,48141,,
2011W34,38504,38504,,
2011W35,41482,41482,,
2011W36,47933,47933,,
2011W37,56057,56057,,
2011W38,49219,49219,,
2011W39,51666,51666,,
2011W40,77512,77512,,
2011W41,68895,68895,,
2011W42,71013,71013,,
2011W43,65691,65691,,
2011W44,58724,58724,,
2011W45,65483,65483,,
2011W46,61244,61244,,
2011W47,53264,53264,,
2011W48,49837,49837,,
2011W49,56216,56216,,
2011W50,53879,53879,,
2011W51,52202,52202,,
2011W52,49515,49515,,
2012W01,57982,57982,,
2012W02,47919,47919,,
2012W03,54544,54544,,
2012W04,50584,50584,,
2012W05,59993,59993,,
2012W06,54309,54309,,
2012W07,58324,58324,,
2012W08,55637,55637,,
2012W09,58861,58861,,
2012W10,94505,94505,,
2012W11,72053,72053,,
2012W12,96932,96932,,
2012W13,127607,127607,,
2012W14,79543,79543,,
2012W15,71635,71635,,
2012W16,57722,57722,,
2012W17,60531,60531,,
2012W18,84652,84652,,
2012W19,69130,69130,,
2012W20,67635,67635,,
2012W21,67819,67819,,
2012W22,74117,74117,,
2012W23,75094,75094,,
2012W24,81889,81889,,
2012W25,68955,68955,,
2012W26,89143,89143,,
2012W27,72532,72532,,
2012W28,72565,72565,,
2012W29,68312,68312,,
2012W30,87325,87325,,
2012W31,74416,74416,,
2012W32,67649,67649,,
2012W33,55784,55784,,
2012W34,78440,78440,,
2012W35,71786,71786,,
2012W36,84341,84341,,
2012W37,82827,82827,,
2012W38,87465,87465,,
2012W39,95659,95659,,
2012W40,88610,88610,,
2012W41,83437,83437,,
2012W42,119929,119929,,
2012W43,113791,113791,,
2012W44,116928,116928,,
2012W45,103571,103571,,
2012W46,104749,104749,,
2012W47,99411,99411,,
2012W48,95846,95846,,
2012W49,100667,100667,,
2012W50,102888,102888,,
2012W51,98395,98395,,
2012W52,106910,106910,,
2013W01,84576,84576,,
2013W02,97013,97013,,
2013W03,91783,91783,,
2013W04,96143,96143,,
2013W05,95147,95147,,
2013W06,86347,86347,,
2013W07,89448,89448,,
2013W08,91181,91181,,
2013W09,105306,105306,,
2013W10,109739,109739,,
2013W11,90480,90480,,
2013W12,118234,118234,,
2013W13,122730,122730,,
2013W14,108989,108989,,
2013W15,104433,104433,,
2013W16,97692,97692,,
2013W17,108973,108973,,
2013W18,107356,107356,,
2013W19,108382,108382,,
2013W20,123526,123526,,
2013W21,124825,124825,,
2013W22,108702,108702,,
2013W23,106579,106579,,
2013W24,117972,117972,,
2013W25,112315,112315,,
2013W26,115163,115163,,
2013W27,131311,131311,,
2013W28,136808,136808,,
2013W29,136470,136470,,
2013W30,124020,124020,,
2013W31,118971,118971,,
2013W32,118057,118057,,
2013W33,122755,122755,,
2013W34,98083,98083,,
2013W35,88540,88540,,
2013W36,100163,100163,,
2013W37,93134,93134,,
2013W38,93829,93829,,
2013W39,97003,97003,,
2013W40,95449,95449,,
2013W41,95290,95290,,
2013W42,103698,103698,,
2013W43,87270,87270,,
2013W44,104749,104749,,
2013W45,103683,103683,,
2013W46,88762,88762,,
2013W47,89949,89949,,
2013W48,81197,81197,,
2013W49,96919,96919,,
2013W50,92128,92128,,
2013W51,84484,84484,,
2013W52,69480,69480,,
2014W01,64517,64517,,
2014W02,72284,72284,,
2014W03,74532,74532,,
2014W04,75863,75863,,
2014W05,72725,72725,,
2014W06,75168,75168,,
2014W07,85633,85633,,
2014W08,77001,77001,,
2014W09,72888,72888,,
2014W10,83755,83755,,
2014W11,95582,95582,,
2014W12,93310,93310,,
2014W13,76466,76466,,
2014W14,80222,80222,,
2014W15,79927,79927,,
2014W16,61644,61644,,
2014W17,69230,69230,,
2014W18,89237,89237,,
2014W19,81705,81705,,
2014W20,61904,61904,,
2014W21,70414,70414,,
2014W22,68061,68061,,
2014W23,75159,75159,,
2014W24,70230,70230,,
2014W25,67285,67285,,
2014W26,68943,68943,,
2014W27,73393,73393,,
2014W28,100226,100226,,
2014W29,82259,82259,,
2014W30,188666,188666,,
2014W31,80367,80367,,
2014W32,64777,64777,,
2014W33,85112,85112,,
2014W34,71388,71388,,
2014W35,84809,84809,,
2014W36,77345,77345,,
2014W37,63503,63503,,
2014W38,59884,59884,,
2014W39,95862,84002,11860,0
2014W40,79409,63903,15506,0
2014W41,74947,63551,11396,0
2014W42,66501,56707,9794,0
2014W43,63412,54863,8549,0
2014W44,76143,65724,10419,0
2014W45,58105,49202,8903,0
2014W46,61470,54636,6834,0
2014W47,76751,65889,10862,0
2014W48,56750,46272,10478,0
2014W49,67228,56541,10687,0
2014W50,70876,58540,12336,0
2014W51,56887,47046,9841,0
2014W52,63673,55102,8571,0
2015W01,78433,62983,15450,0
2015W02,84910,62577,22333,0
2015W03,76455,59587,16868,0
2015W04,77535,61172,16363,0
2015W05,83971,66240,17731,0
2015W06,85591,71910,13681,0
2015W07,75499,62470,13029,0
2015W08,70198,59336,10862,0
2015W09,79285,70210,9075,0
2015W10,96978,88463,8515,0
2015W11,81213,71490,9723,0
2015W12,83115,72926,10189,0
2015W13,74408,64677,9731,0
2015W14,63509,54733,8776,0
2015W15,77824,66681,11143,0
2015W16,86881,71444,15437,0
2015W17,112031,99222,12809,0
2015W18,73694,63307,10387,0
2015W19,188605,175494,13111,0
2015W20,104132,93447,10685,0
2015W21,80019,69550,10469,0
2015W22,72229,63742,8487,0
2015W23,92093,80342,11751,0
2015W24,96155,76492,19663,0
2015W26,58733,53427,5306,0
2015W28,57618,52997,4621,0
2015W29,73146,65142,8004,0
2015W30,74439,66701,7738,0
2015W32,65527,58314,7213,0
2015W33,65254,58748,6506,0
2015W34,71520,65421,6099,0
2015W35,107092,101577,5515,0
2015W37,133134,124734,8400,0
2015W38,71721,63880,7841,0
2015W39,81855,73731,8124,0
2015W41,77307,68241,9066,0
2015W42,82794,73362,9432,0
2015W43,72842,64334,8508,0
2015W45,88994,81210,7784,0
2015W46,76632,68515,8117,0
2015W47,84607,75876,8731,0
2015W48,66503,58355,8148,0
2015W50,87876,74019,13857,0
2015W51,116541,89040,27501,0
2015W52,106036,89753,16283,0
2016W01,106001,91017,14984,0
2016W02,98016,85119,12897,0
