Date,Total,Desktop site,Mobile site,Zero site
2008W01,0,0,,
2008W02,0,0,,
2008W03,0,0,,
2008W04,0,0,,
2008W05,0,0,,
2008W06,0,0,,
2008W07,0,0,,
2008W08,0,0,,
2008W09,0,0,,
2008W10,0,0,,
2008W11,0,0,,
2008W12,0,0,,
2008W13,0,0,,
2008W14,0,0,,
2008W15,0,0,,
2008W16,0,0,,
2008W17,0,0,,
2008W18,0,0,,
2008W19,0,0,,
2008W20,860,860,,
2008W21,3019,3019,,
2008W22,2707,2707,,
2008W23,2187,2187,,
2008W24,3248,3248,,
2008W25,3377,3377,,
2008W26,5049,5049,,
2008W27,5185,5185,,
2008W28,3671,3671,,
2008W29,2952,2952,,
2008W30,3014,3014,,
2008W31,3357,3357,,
2008W32,3229,3229,,
2008W33,2284,2284,,
2008W34,2294,2294,,
2008W35,2264,2264,,
2008W36,1540,1540,,
2008W37,3058,3058,,
2008W38,3138,3138,,
2008W39,1883,1883,,
2008W40,2065,2065,,
2008W41,2819,2819,,
2008W42,3520,3520,,
2008W43,2235,2235,,
2008W44,2121,2121,,
2008W45,2021,2021,,
2008W46,2222,2222,,
2008W47,2296,2296,,
2008W48,2875,2875,,
2008W49,2868,2868,,
2008W50,1999,1999,,
2008W51,3075,3075,,
2008W52,2522,2522,,
2009W01,2262,2262,,
2009W02,1616,1616,,
2009W03,1832,1832,,
2009W04,1869,1869,,
2009W05,1909,1909,,
2009W06,1731,1731,,
2009W07,1748,1748,,
2009W08,1533,1533,,
2009W09,1790,1790,,
2009W10,1810,1810,,
2009W11,1921,1921,,
2009W12,1885,1885,,
2009W13,1793,1793,,
2009W14,1567,1567,,
2009W15,1254,1254,,
2009W16,1183,1183,,
2009W17,1016,1016,,
2009W18,1236,1236,,
2009W19,1234,1234,,
2009W20,1845,1845,,
2009W21,1491,1491,,
2009W22,1516,1516,,
2009W23,1965,1965,,
2009W24,1536,1536,,
2009W25,1528,1528,,
2009W26,1628,1628,,
2009W27,1449,1449,,
2009W28,1106,1106,,
2009W29,1269,1269,,
2009W30,1173,1173,,
2009W31,1305,1305,,
2009W32,1432,1432,,
2009W33,2112,2112,,
2009W34,2422,2422,,
2009W35,2243,2243,,
2009W36,2732,2732,,
2009W37,1583,1583,,
2009W38,1504,1504,,
2009W39,1456,1456,,
2009W40,3668,3668,,
2009W41,3006,3006,,
2009W42,3360,3360,,
2009W43,3979,3979,,
2009W44,3874,3874,,
2009W45,3570,3570,,
2009W46,3839,3839,,
2009W47,3269,3269,,
2010W30,1087,1087,,
2010W31,1065,1065,,
2010W32,1433,1433,,
2010W33,2273,2273,,
2010W34,1418,1418,,
2010W35,1323,1323,,
2010W36,1793,1793,,
2010W37,1429,1429,,
2010W38,1082,1082,,
2010W39,1476,1476,,
2010W40,961,961,,
2010W41,1268,1268,,
2010W42,2503,2503,,
2010W43,1409,1409,,
2010W44,1532,1532,,
2010W45,1399,1399,,
2010W46,2323,2323,,
2010W47,2221,2221,,
2010W48,2494,2494,,
2010W49,3070,3070,,
2010W50,2180,2180,,
2010W51,2154,2154,,
2010W52,1732,1732,,
2011W01,1191,1191,,
2011W02,3025,3025,,
2011W03,1901,1901,,
2011W04,1820,1820,,
2011W05,2441,2441,,
2011W06,4235,4235,,
2011W07,3461,3461,,
2011W08,2881,2881,,
2011W09,3962,3962,,
2011W10,4490,4490,,
2011W11,2931,2931,,
2011W12,2061,2061,,
2011W13,2460,2460,,
2011W14,2311,2311,,
2011W15,1895,1895,,
2011W16,3456,3456,,
2011W17,4415,4415,,
2011W18,2119,2119,,
2011W19,2027,2027,,
2011W20,2059,2059,,
2011W21,2741,2741,,
2011W22,3145,3145,,
2011W23,3143,3143,,
2011W24,3745,3745,,
2011W25,2629,2629,,
2011W26,2092,2092,,
2011W27,2632,2632,,
2011W28,2189,2189,,
2011W29,2975,2975,,
2011W30,2564,2564,,
2011W31,5399,5399,,
2011W32,3014,3014,,
2011W33,6531,6531,,
2011W34,5965,5965,,
2011W35,5012,5012,,
2011W36,5926,5926,,
2011W37,5091,5091,,
2011W38,3777,3777,,
2011W39,3363,3363,,
2011W40,4263,4263,,
2011W41,6541,6541,,
2011W42,5474,5474,,
2011W43,6177,6177,,
2011W44,4762,4762,,
2011W45,4928,4928,,
2011W46,4883,4883,,
2011W47,4762,4762,,
2011W48,5801,5801,,
2011W49,4919,4919,,
2011W50,5183,5183,,
2011W51,4410,4410,,
2011W52,3431,3431,,
2012W01,6150,6150,,
2012W02,4539,4539,,
2012W03,4352,4352,,
2012W04,4698,4698,,
2012W05,3578,3578,,
2012W06,6852,6852,,
2012W07,5388,5388,,
2012W08,5052,5052,,
2012W09,5151,5151,,
2012W10,6679,6679,,
2012W11,5607,5607,,
2012W12,5036,5036,,
2012W13,46164,46164,,
2012W14,5775,5775,,
2012W15,8806,8806,,
2012W16,5318,5318,,
2012W17,5205,5205,,
2012W18,5149,5149,,
2012W19,6328,6328,,
2012W20,5676,5676,,
2012W21,10825,10825,,
2012W22,6626,6626,,
2012W23,7702,7702,,
2012W24,6796,6796,,
2012W25,6176,6176,,
2012W26,9132,9132,,
2012W27,4804,4804,,
2012W28,5235,5235,,
2012W29,5521,5521,,
2012W30,10212,10212,,
2012W31,6938,6938,,
2012W32,8923,8923,,
2012W33,6570,6570,,
2012W34,6337,6337,,
2012W35,7131,7131,,
2012W36,9876,9876,,
2012W37,11319,11319,,
2012W38,5658,5658,,
2012W39,5212,5212,,
2012W40,5566,5566,,
2012W41,6394,6394,,
2012W42,7555,7555,,
2012W43,7519,7519,,
2012W44,8427,8427,,
2012W45,8592,8592,,
2012W46,10097,10097,,
2012W47,7003,7003,,
2012W48,7150,7150,,
2012W49,6878,6878,,
2012W50,6480,6480,,
2012W51,7277,7277,,
2012W52,10951,10951,,
2013W01,13035,13035,,
2013W02,11626,11626,,
2013W03,16079,16079,,
2013W04,14108,14108,,
2013W05,14643,14643,,
2013W06,10926,10926,,
2013W07,10811,10811,,
2013W08,11242,11242,,
2013W09,9243,9243,,
2013W10,10647,10647,,
2013W11,7111,7111,,
2013W12,10498,10498,,
2013W13,8150,8150,,
2013W14,9036,9036,,
2013W15,6573,6573,,
2013W16,7952,7952,,
2013W17,8902,8902,,
2013W18,18806,18806,,
2013W19,7117,7117,,
2013W20,9546,9546,,
2013W21,8057,8057,,
2013W22,8324,8324,,
2013W23,10596,10596,,
2013W24,10282,10282,,
2013W25,6643,6643,,
2013W26,10176,10176,,
2013W27,7722,7722,,
2013W28,9247,9247,,
2013W29,6444,6444,,
2013W30,4275,4275,,
2013W31,5049,5049,,
2013W32,5411,5411,,
2013W33,5815,5815,,
2013W34,6340,6340,,
2013W35,4978,4978,,
2013W36,7112,7112,,
2013W37,4768,4768,,
2013W38,4765,4765,,
2013W39,6809,6809,,
2013W40,7387,7387,,
2013W41,6005,6005,,
2013W42,6810,6810,,
2013W43,5539,5539,,
2013W44,7897,7897,,
2013W45,9229,9229,,
2013W46,8637,8637,,
2013W47,7006,7006,,
2013W48,6466,6466,,
2013W49,5728,5728,,
2013W50,5083,5083,,
2013W51,7281,7281,,
2013W52,4707,4707,,
2014W01,5288,5288,,
2014W02,6112,6112,,
2014W03,7386,7386,,
2014W04,4994,4994,,
2014W05,6315,6315,,
2014W06,7078,7078,,
2014W07,9427,9427,,
2014W08,6646,6646,,
2014W09,6587,6587,,
2014W10,6169,6169,,
2014W11,9766,9766,,
2014W12,4686,4686,,
2014W13,7830,7830,,
2014W14,6258,6258,,
2014W15,6394,6394,,
2014W16,5432,5432,,
2014W17,9047,9047,,
2014W18,5138,5138,,
2014W19,4989,4989,,
2014W20,5905,5905,,
2014W21,10028,10028,,
2014W22,5726,5726,,
2014W23,6603,6603,,
2014W24,5107,5107,,
2014W25,4995,4995,,
2014W26,3937,3937,,
2014W27,4659,4659,,
2014W28,12175,12175,,
2014W29,6615,6615,,
2014W30,5126,5126,,
2014W31,4512,4512,,
2014W32,5766,5766,,
2014W33,6360,6360,,
2014W34,8485,8485,,
2014W35,9202,9202,,
2014W36,10215,10215,,
2014W37,5928,5928,,
2014W38,5390,5390,,
2014W39,12555,10446,2109,0
2014W40,7469,5814,1655,0
2014W41,8256,6973,1283,0
2014W42,7221,6074,1147,0
2014W43,6253,5408,845,0
2014W44,5075,3954,1121,0
2014W45,6576,5533,1043,0
2014W46,7983,6801,1182,0
2014W47,8495,6852,1643,0
2014W48,7059,4877,2182,0
2014W49,10058,6610,3448,0
2014W50,10674,7614,3060,0
2014W51,9169,7402,1767,0
2014W52,6100,4856,1244,0
2015W01,6124,4179,1945,0
2015W02,6236,4381,1855,0
2015W03,9650,7915,1735,0
2015W04,25215,21950,3265,0
2015W05,14542,12391,2151,0
2015W06,7607,5906,1701,0
2015W07,6587,5274,1313,0
2015W08,7671,6177,1494,0
2015W09,8921,7235,1686,0
2015W10,12063,10486,1577,0
2015W11,8100,6734,1366,0
2015W12,11110,9749,1361,0
2015W13,9764,8436,1328,0
2015W14,13080,11437,1643,0
2015W15,12326,9808,2518,0
2015W16,8385,6633,1752,0
2015W17,7886,6265,1621,0
2015W18,8953,7408,1545,0
2015W19,10123,7969,2154,0
2015W20,8297,6595,1702,0
2015W21,8533,6573,1960,0
2015W22,6649,5680,969,0
2015W23,8005,6997,1008,0
2015W24,9759,8162,1597,0
2015W26,5657,4588,1069,0
2015W28,9062,8290,772,0
2015W29,9289,7161,2128,0
2015W30,7743,5892,1851,0
2015W32,10855,9050,1805,0
2015W33,10240,8353,1887,0
2015W34,10053,9179,874,0
2015W35,5332,4799,533,0
2015W37,8626,7714,912,0
2015W38,21420,15055,6365,0
2015W39,7092,6403,689,0
2015W41,7130,6460,670,0
2015W42,23747,18670,5077,0
2015W43,9352,8380,972,0
2015W45,12278,7293,4985,0
2015W46,14814,13636,1178,0
