Date,Total,Desktop site,Mobile site,Zero site
2008W01,0,0,,
2008W02,0,0,,
2008W03,0,0,,
2008W04,0,0,,
2008W05,0,0,,
2008W06,0,0,,
2008W07,0,0,,
2008W08,0,0,,
2008W09,0,0,,
2008W10,0,0,,
2008W11,0,0,,
2008W12,0,0,,
2008W13,0,0,,
2008W14,0,0,,
2008W15,0,0,,
2008W16,0,0,,
2008W17,0,0,,
2008W18,0,0,,
2008W19,0,0,,
2008W20,5131,5131,,
2008W21,20527,20527,,
2008W22,19127,19127,,
2008W23,18391,18391,,
2008W24,18690,18690,,
2008W25,17680,17680,,
2008W26,18587,18587,,
2008W27,17029,17029,,
2008W28,12094,12094,,
2008W29,10478,10478,,
2008W30,9393,9393,,
2008W31,8260,8260,,
2008W32,9276,9276,,
2008W33,10513,10513,,
2008W34,8871,8871,,
2008W35,10677,10677,,
2008W36,7393,7393,,
2008W37,7742,7742,,
2008W38,7870,7870,,
2008W39,7201,7201,,
2008W40,7624,7624,,
2008W41,8060,8060,,
2008W42,7645,7645,,
2008W43,6319,6319,,
2008W44,10068,10068,,
2008W45,8506,8506,,
2008W46,9218,9218,,
2008W47,9527,9527,,
2008W48,11300,11300,,
2008W49,9465,9465,,
2008W50,7816,7816,,
2008W51,11953,11953,,
2008W52,10045,10045,,
2009W01,10169,10169,,
2009W02,8525,8525,,
2009W03,8888,8888,,
2009W04,7855,7855,,
2009W05,7287,7287,,
2009W06,6546,6546,,
2009W07,6208,6208,,
2009W08,8368,8368,,
2009W09,7296,7296,,
2009W10,6700,6700,,
2009W11,8313,8313,,
2009W12,7178,7178,,
2009W13,8646,8646,,
2009W14,6784,6784,,
2009W15,6095,6095,,
2009W16,7125,7125,,
2009W17,4934,4934,,
2009W18,4997,4997,,
2009W19,5072,5072,,
2009W20,6511,6511,,
2009W21,6293,6293,,
2009W22,7953,7953,,
2009W23,7735,7735,,
2009W24,7901,7901,,
2009W25,7509,7509,,
2009W26,6908,6908,,
2009W27,4784,4784,,
2009W28,4487,4487,,
2009W29,6007,6007,,
2009W30,6154,6154,,
2009W31,5801,5801,,
2009W32,8491,8491,,
2009W33,7302,7302,,
2009W34,12156,12156,,
2009W35,8753,8753,,
2009W36,9330,9330,,
2009W37,7881,7881,,
2009W38,13779,13779,,
2009W39,17699,17699,,
2009W40,15612,15612,,
2009W41,18917,18917,,
2009W42,15468,15468,,
2009W43,15465,15465,,
2009W44,17273,17273,,
2009W45,16634,16634,,
2009W46,16507,16507,,
2009W47,12596,12596,,
2010W30,7192,7192,,
2010W31,6819,6819,,
2010W32,6525,6525,,
2010W33,6907,6907,,
2010W34,4732,4732,,
2010W35,4381,4381,,
2010W36,6518,6518,,
2010W37,6185,6185,,
2010W38,3880,3880,,
2010W39,4685,4685,,
2010W40,6563,6563,,
2010W41,4480,4480,,
2010W42,6192,6192,,
2010W43,5456,5456,,
2010W44,12974,12974,,
2010W45,6516,6516,,
2010W46,5642,5642,,
2010W47,6259,6259,,
2010W48,9162,9162,,
2010W49,12863,12863,,
2010W50,7147,7147,,
2010W51,7006,7006,,
2010W52,6372,6372,,
2011W01,6508,6508,,
2011W02,6090,6090,,
2011W03,7425,7425,,
2011W04,8367,8367,,
2011W05,9048,9048,,
2011W06,9368,9368,,
2011W07,8875,8875,,
2011W08,7675,7675,,
2011W09,6546,6546,,
2011W10,9259,9259,,
2011W11,8376,8376,,
2011W12,6355,6355,,
2011W13,7923,7923,,
2011W14,5682,5682,,
2011W15,7355,7355,,
2011W16,6150,6150,,
2011W17,9085,9085,,
2011W18,8628,8628,,
2011W19,6168,6168,,
2011W20,5556,5556,,
2011W21,6813,6813,,
2011W22,6197,6197,,
2011W23,7361,7361,,
2011W24,6647,6647,,
2011W25,7481,7481,,
2011W26,6952,6952,,
2011W27,7023,7023,,
2011W28,7733,7733,,
2011W29,7438,7438,,
2011W30,13295,13295,,
2011W31,9661,9661,,
2011W32,7619,7619,,
2011W33,18264,18264,,
2011W34,8004,8004,,
2011W35,7027,7027,,
2011W36,6943,6943,,
2011W37,8607,8607,,
2011W38,6341,6341,,
2011W39,9612,9612,,
2011W40,11871,11871,,
2011W41,12743,12743,,
2011W42,8995,8995,,
2011W43,10896,10896,,
2011W44,10696,10696,,
2011W45,7997,7997,,
2011W46,9294,9294,,
2011W47,7955,7955,,
2011W48,9861,9861,,
2011W49,8973,8973,,
2011W50,7851,7851,,
2011W51,8557,8557,,
2011W52,8261,8261,,
2012W01,8051,8051,,
2012W02,9123,9123,,
2012W03,8184,8184,,
2012W04,10289,10289,,
2012W05,8021,8021,,
2012W06,10756,10756,,
2012W07,6594,6594,,
2012W08,18696,18696,,
2012W09,8600,8600,,
2012W10,9938,9938,,
2012W11,8373,8373,,
2012W12,8455,8455,,
2012W13,28210,28210,,
2012W14,9759,9759,,
2012W15,9787,9787,,
2012W16,8837,8837,,
2012W17,19408,19408,,
2012W18,10643,10643,,
2012W19,9005,9005,,
2012W20,9335,9335,,
2012W21,9467,9467,,
2012W22,11763,11763,,
2012W23,10744,10744,,
2012W24,9842,9842,,
2012W25,8497,8497,,
2012W26,12147,12147,,
2012W27,12025,12025,,
2012W28,8321,8321,,
2012W29,8449,8449,,
2012W30,7829,7829,,
2012W31,7424,7424,,
2012W32,7503,7503,,
2012W33,12397,12397,,
2012W34,15223,15223,,
2012W35,16776,16776,,
2012W36,11342,11342,,
2012W37,15190,15190,,
2012W38,13138,13138,,
2012W39,9000,9000,,
2012W40,10386,10386,,
2012W41,9396,9396,,
2012W42,12445,12445,,
2012W43,12036,12036,,
2012W44,8545,8545,,
2012W45,10368,10368,,
2012W46,8885,8885,,
2012W47,8140,8140,,
2012W48,12008,12008,,
2012W49,13484,13484,,
2012W50,8320,8320,,
2012W51,8832,8832,,
2012W52,11015,11015,,
2013W01,10458,10458,,
2013W02,9908,9908,,
2013W03,13036,13036,,
2013W04,9936,9936,,
2013W05,9285,9285,,
2013W06,9732,9732,,
2013W07,10511,10511,,
2013W08,11136,11136,,
2013W09,10895,10895,,
2013W10,11689,11689,,
2013W11,11370,11370,,
2013W12,11481,11481,,
2013W13,14600,14600,,
2013W14,9196,9196,,
2013W15,6945,6945,,
2013W16,10608,10608,,
2013W17,10546,10546,,
2013W18,15576,15576,,
2013W19,10095,10095,,
2013W20,11569,11569,,
2013W21,12358,12358,,
2013W22,10526,10526,,
2013W23,11708,11708,,
2013W24,12033,12033,,
2013W25,12128,12128,,
2013W26,21866,21866,,
2013W27,16531,16531,,
2013W28,16612,16612,,
2013W29,16056,16056,,
2013W30,17101,17101,,
2013W31,14012,14012,,
2013W32,15298,15298,,
2013W33,19394,19394,,
2013W34,11174,11174,,
2013W35,11623,11623,,
2013W36,9078,9078,,
2013W37,12372,12372,,
2013W38,11610,11610,,
2013W39,11884,11884,,
2013W40,17280,17280,,
2013W41,10886,10886,,
2013W42,17215,17215,,
2013W43,14917,14917,,
2013W44,16047,16047,,
2013W45,16600,16600,,
2013W46,14251,14251,,
2013W47,11751,11751,,
2013W48,15491,15491,,
2013W49,16756,16756,,
2013W50,18647,18647,,
2013W51,14230,14230,,
2013W52,7792,7792,,
2014W01,8495,8495,,
2014W02,8349,8349,,
2014W03,14530,14530,,
2014W04,18201,18201,,
2014W05,13558,13558,,
2014W06,12513,12513,,
2014W07,16488,16488,,
2014W08,10245,10245,,
2014W09,8824,8824,,
2014W10,9366,9366,,
2014W11,11887,11887,,
2014W12,14608,14608,,
2014W13,13989,13989,,
2014W14,9865,9865,,
2014W15,8294,8294,,
2014W16,15043,15043,,
2014W17,8262,8262,,
2014W18,12986,12986,,
2014W19,12893,12893,,
2014W20,17560,17560,,
2014W21,14771,14771,,
2014W22,11495,11495,,
2014W23,9782,9782,,
2014W24,11231,11231,,
2014W25,11738,11738,,
2014W26,10205,10205,,
2014W27,11799,11799,,
2014W28,14745,14745,,
2014W29,12808,12808,,
2014W30,10511,10511,,
2014W31,11739,11739,,
2014W32,16193,16193,,
2014W33,11240,11240,,
2014W34,17472,17472,,
2014W35,11774,11774,,
2014W36,9250,9250,,
2014W37,7725,7725,,
2014W38,10019,10019,,
2014W39,13331,11153,2178,0
2014W40,10664,9290,1374,0
2014W41,10499,8430,2069,0
2014W42,13085,10448,2637,0
2014W43,8581,7489,1092,0
2014W44,6778,5442,1336,0
2014W45,8367,6875,1492,0
2014W46,27343,25143,2200,0
2014W47,12464,11005,1459,0
2014W48,11600,9597,2003,0
2014W49,15370,13152,2218,0
2014W50,13129,9928,3201,0
2014W51,14679,11245,3434,0
2014W52,11211,9168,2043,0
2015W01,17898,10823,7075,0
2015W02,15939,13449,2490,0
2015W03,16317,13325,2992,0
2015W04,21708,13020,8688,0
2015W05,21981,16733,5248,0
2015W06,19303,14860,4443,0
2015W07,13917,11440,2477,0
2015W08,11382,8933,2449,0
2015W09,13902,10904,2998,0
2015W10,20558,14465,6093,0
2015W11,14308,11185,3123,0
2015W12,26026,22658,3368,0
2015W13,13152,9456,3696,0
2015W14,13393,9229,4164,0
2015W15,17125,10631,6494,0
2015W16,23678,15023,8655,0
2015W17,18906,12093,6813,0
2015W18,19279,13880,5399,0
2015W19,28223,21626,6597,0
2015W20,18824,12226,6598,0
2015W21,15766,11450,4316,0
2015W22,12510,8886,3624,0
2015W23,14933,10416,4517,0
