Date,Total,Desktop site,Mobile site,Zero site
2008W01,0,0,,
2008W02,0,0,,
2008W03,0,0,,
2008W04,0,0,,
2008W05,0,0,,
2008W06,0,0,,
2008W07,0,0,,
2008W08,0,0,,
2008W09,0,0,,
2008W10,0,0,,
2008W11,0,0,,
2008W12,0,0,,
2008W13,0,0,,
2008W14,0,0,,
2008W15,0,0,,
2008W16,0,0,,
2008W17,0,0,,
2008W18,0,0,,
2008W19,0,0,,
2008W20,30100,30100,,
2008W21,125487,125487,,
2008W22,119122,119122,,
2008W23,134396,134396,,
2008W24,138098,138098,,
2008W25,137731,137731,,
2008W26,146612,146612,,
2008W27,127421,127421,,
2008W28,98309,98309,,
2008W29,101221,101221,,
2008W30,100635,100635,,
2008W31,91474,91474,,
2008W32,92812,92812,,
2008W33,91705,91705,,
2008W34,89238,89238,,
2008W35,95543,95543,,
2008W36,83263,83263,,
2008W37,82464,82464,,
2008W38,87365,87365,,
2008W39,90085,90085,,
2008W40,93675,93675,,
2008W41,93404,93404,,
2008W42,96632,96632,,
2008W43,74975,74975,,
2008W44,85063,85063,,
2008W45,89455,89455,,
2008W46,93998,93998,,
2008W47,88354,88354,,
2008W48,107845,107845,,
2008W49,95391,95391,,
2008W50,86033,86033,,
2008W51,97783,97783,,
2008W52,88600,88600,,
2009W01,77696,77696,,
2009W02,75525,75525,,
2009W03,79683,79683,,
2009W04,72935,72935,,
2009W05,101782,101782,,
2009W06,75777,75777,,
2009W07,70623,70623,,
2009W08,75133,75133,,
2009W09,79256,79256,,
2009W10,76098,76098,,
2009W11,77858,77858,,
2009W12,83131,83131,,
2009W13,84342,84342,,
2009W14,77301,77301,,
2009W15,67378,67378,,
2009W16,60537,60537,,
2009W17,59928,59928,,
2009W18,64115,64115,,
2009W19,58553,58553,,
2009W20,60196,60196,,
2009W21,60887,60887,,
2009W22,65729,65729,,
2009W23,65119,65119,,
2009W24,73874,73874,,
2009W25,64921,64921,,
2009W26,63860,63860,,
2009W27,56203,56203,,
2009W28,52842,52842,,
2009W29,58574,58574,,
2009W30,63436,63436,,
2009W31,55882,55882,,
2009W32,63234,63234,,
2009W33,62060,62060,,
2009W34,90898,90898,,
2009W35,73825,73825,,
2009W36,77452,77452,,
2009W37,76773,76773,,
2009W38,78377,78377,,
2009W39,102775,102775,,
2009W40,109968,109968,,
2009W41,114773,114773,,
2009W42,110166,110166,,
2009W43,117064,117064,,
2009W44,121262,121262,,
2009W45,108437,108437,,
2009W46,115486,115486,,
2009W47,94657,94657,,
2010W30,61803,61803,,
2010W31,67007,67007,,
2010W32,64128,64128,,
2010W33,61867,61867,,
2010W34,61542,61542,,
2010W35,70826,70826,,
2010W36,82039,82039,,
2010W37,77342,77342,,
2010W38,75887,75887,,
2010W39,77463,77463,,
2010W40,85238,85238,,
2010W41,87982,87982,,
2010W42,77920,77920,,
2010W43,79278,79278,,
2010W44,82613,82613,,
2010W45,85046,85046,,
2010W46,74150,74150,,
2010W47,80808,80808,,
2010W48,87178,87178,,
2010W49,83869,83869,,
2010W50,73765,73765,,
2010W51,62986,62986,,
2010W52,58476,58476,,
2011W01,79464,79464,,
2011W02,72626,72626,,
2011W03,79628,79628,,
2011W04,77688,77688,,
2011W05,75604,75604,,
2011W06,83367,83367,,
2011W07,86422,86422,,
2011W08,79418,79418,,
2011W09,78918,78918,,
2011W10,74347,74347,,
2011W11,78785,78785,,
2011W12,71274,71274,,
2011W13,79809,79809,,
2011W14,66289,66289,,
2011W15,67980,67980,,
2011W16,59093,59093,,
2011W17,65944,65944,,
2011W18,66138,66138,,
2011W19,63604,63604,,
2011W20,60882,60882,,
2011W21,62524,62524,,
2011W22,66863,66863,,
2011W23,63169,63169,,
2011W24,60606,60606,,
2011W25,53869,53869,,
2011W26,58482,58482,,
2011W27,58395,58395,,
2011W28,53234,53234,,
2011W29,56014,56014,,
2011W30,56264,56264,,
2011W31,56098,56098,,
2011W32,69651,69651,,
2011W33,79221,79221,,
2011W34,71441,71441,,
2011W35,63597,63597,,
2011W36,84494,84494,,
2011W37,69084,69084,,
2011W38,71361,71361,,
2011W39,74660,74660,,
2011W40,95767,95767,,
2011W41,82688,82688,,
2011W42,89650,89650,,
2011W43,84652,84652,,
2011W44,75606,75606,,
2011W45,74449,74449,,
2011W46,71749,71749,,
2011W47,79131,79131,,
2011W48,78991,78991,,
2011W49,77495,77495,,
2011W50,73639,73639,,
2011W51,72759,72759,,
2011W52,58755,58755,,
2012W01,69865,69865,,
2012W02,74789,74789,,
2012W03,75266,75266,,
2012W04,79077,79077,,
2012W05,75579,75579,,
2012W06,76900,76900,,
2012W07,71614,71614,,
2012W08,81048,81048,,
2012W09,111527,111527,,
2012W10,102630,102630,,
2012W11,79937,79937,,
2012W12,68011,68011,,
2012W13,97729,97729,,
2012W14,68821,68821,,
2012W15,73270,73270,,
2012W16,70511,70511,,
2012W17,94049,94049,,
2012W18,63071,63071,,
2012W19,75025,75025,,
2012W20,73090,73090,,
2012W21,76892,76892,,
2012W22,77038,77038,,
2012W23,77279,77279,,
2012W24,63116,63116,,
2012W25,60670,60670,,
2012W26,68131,68131,,
2012W27,53398,53398,,
2012W28,55020,55020,,
2012W29,52240,52240,,
2012W30,73279,73279,,
2012W31,69236,69236,,
2012W32,71824,71824,,
2012W33,71057,71057,,
2012W34,71973,71973,,
2012W35,81055,81055,,
2012W36,81465,81465,,
2012W37,81820,81820,,
2012W38,71199,71199,,
2012W39,90083,90083,,
2012W40,97089,97089,,
2012W41,98331,98331,,
2012W42,101462,101462,,
2012W43,94834,94834,,
2012W44,88118,88118,,
2012W45,89766,89766,,
2012W46,88803,88803,,
2012W47,80411,80411,,
2012W48,89630,89630,,
2012W49,85782,85782,,
2012W50,77499,77499,,
2012W51,86796,86796,,
2012W52,70098,70098,,
2013W01,69851,69851,,
2013W02,79701,79701,,
2013W03,80970,80970,,
2013W04,77659,77659,,
2013W05,82778,82778,,
2013W06,84126,84126,,
2013W07,99316,99316,,
2013W08,92616,92616,,
2013W09,91489,91489,,
2013W10,90742,90742,,
2013W11,96890,96890,,
2013W12,105943,105943,,
2013W13,93321,93321,,
2013W14,89525,89525,,
2013W15,80307,80307,,
2013W16,84649,84649,,
2013W17,75224,75224,,
2013W18,80918,80918,,
2013W19,79134,79134,,
2013W20,78017,78017,,
2013W21,72508,72508,,
2013W22,75959,75959,,
2013W23,70562,70562,,
2013W24,67174,67174,,
2013W25,66128,66128,,
2013W26,70832,70832,,
2013W27,69944,69944,,
2013W28,74146,74146,,
2013W29,67333,67333,,
2013W30,69447,69447,,
2013W31,62666,62666,,
2013W32,57729,57729,,
2013W33,77884,77884,,
2013W34,60121,60121,,
2013W35,58280,58280,,
2013W36,63780,63780,,
2013W37,59977,59977,,
2013W38,60738,60738,,
2013W39,73076,73076,,
2013W40,75515,75515,,
2013W41,71139,71139,,
2013W42,78024,78024,,
2013W43,66263,66263,,
2013W44,75173,75173,,
2013W45,82482,82482,,
2013W46,67943,67943,,
2013W47,61594,61594,,
2013W48,68142,68142,,
2013W49,72906,72906,,
2013W50,66671,66671,,
2013W51,54867,54867,,
2013W52,38657,38657,,
2014W01,41483,41483,,
2014W02,45354,45354,,
2014W03,51590,51590,,
2014W04,58835,58835,,
2014W05,60436,60436,,
2014W06,63723,63723,,
2014W07,69995,69995,,
2014W08,59803,59803,,
2014W09,58308,58308,,
2014W10,73440,73440,,
2014W11,55084,55084,,
2014W12,51137,51137,,
2014W13,65595,65595,,
2014W14,61682,61682,,
2014W15,60341,60341,,
2014W16,47618,47618,,
2014W17,54723,54723,,
2014W18,47998,47998,,
2014W19,55231,55231,,
2014W20,49424,49424,,
2014W21,54974,54974,,
2014W22,54355,54355,,
2014W23,60217,60217,,
2014W24,45367,45367,,
2014W25,46310,46310,,
2014W26,41764,41764,,
2014W27,37368,37368,,
2014W28,47358,47358,,
2014W29,62794,62794,,
2014W30,45703,45703,,
2014W31,46917,46917,,
2014W32,49471,49471,,
2014W33,56491,56491,,
2014W34,52708,52708,,
2014W35,60221,60221,,
2014W36,49120,49120,,
2014W37,52477,52477,,
2014W38,70753,70753,,
2014W39,78372,62276,16096,0
2014W40,70719,53181,17538,0
2014W41,69870,50992,18878,0
2014W42,63044,46276,16768,0
2014W43,70467,54189,16278,0
2014W44,62427,43756,18671,0
2014W45,57023,40145,16878,0
2014W46,88891,70067,18824,0
2014W47,75473,54498,20975,0
2014W48,67097,46748,20349,0
2014W49,66217,46293,19924,0
2014W50,68725,49483,19242,0
2014W51,66260,48399,17861,0
2014W52,57031,41224,15807,0
2015W01,63948,41737,22211,0
2015W02,72480,44281,28199,0
2015W03,68403,48592,19811,0
2015W04,80647,52661,27986,0
2015W05,76780,53820,22960,0
