Date,Total,Desktop site,Mobile site,Zero site
2008W01,5371,5371,,
2008W02,5572,5572,,
2008W03,8247,8247,,
2008W04,6600,6600,,
2008W05,6079,6079,,
2008W06,5459,5459,,
2008W07,5294,5294,,
2008W08,6624,6624,,
2008W09,8929,8929,,
2008W10,6955,6955,,
2008W11,7047,7047,,
2008W12,6857,6857,,
2008W13,8087,8087,,
2008W14,10219,10219,,
2008W15,15003,15003,,
2008W16,8519,8519,,
2008W17,7001,7001,,
2008W18,6826,6826,,
2008W19,7823,7823,,
2008W20,6989,6989,,
2008W21,6911,6911,,
2008W22,7004,7004,,
2008W23,9216,9216,,
2008W24,7184,7184,,
2008W25,8561,8561,,
2008W26,7954,7954,,
2008W27,7772,7772,,
2008W28,6091,6091,,
2008W29,5629,5629,,
2008W30,5770,5770,,
2008W31,6075,6075,,
2008W32,6941,6941,,
2008W33,6107,6107,,
2008W34,6373,6373,,
2008W35,6436,6436,,
2008W36,5538,5538,,
2008W37,6904,6904,,
2008W38,7453,7453,,
2008W39,6417,6417,,
2008W40,7106,7106,,
2008W41,7013,7013,,
2008W42,7219,7219,,
2008W43,6160,6160,,
2008W44,8655,8655,,
2008W45,6402,6402,,
2008W46,7110,7110,,
2008W47,9635,9635,,
2008W48,6937,6937,,
2008W49,7209,7209,,
2008W50,6670,6670,,
2008W51,8662,8662,,
2008W52,6294,6294,,
2009W01,7902,7902,,
2009W02,8234,8234,,
2009W03,9339,9339,,
2009W04,9353,9353,,
2009W05,8670,8670,,
2009W06,8195,8195,,
2009W07,7304,7304,,
2009W08,7108,7108,,
2009W09,7536,7536,,
2009W10,7439,7439,,
2009W11,8279,8279,,
2009W12,9738,9738,,
2009W13,7082,7082,,
2009W14,11513,11513,,
2009W15,6594,6594,,
2009W16,7443,7443,,
2009W17,5124,5124,,
2009W18,4769,4769,,
2009W19,5095,5095,,
2009W20,6189,6189,,
2009W21,5483,5483,,
2009W22,6161,6161,,
2009W23,6537,6537,,
2009W24,6616,6616,,
2009W25,7263,7263,,
2009W26,6533,6533,,
2009W27,5643,5643,,
2009W28,5985,5985,,
2009W29,6034,6034,,
2009W30,5436,5436,,
2009W31,6386,6386,,
2009W32,6642,6642,,
2009W33,7213,7213,,
2009W34,8279,8279,,
2009W35,6634,6634,,
2009W36,7240,7240,,
2009W37,7484,7484,,
2009W38,6957,6957,,
2009W39,6923,6923,,
2009W40,8370,8370,,
2009W41,8591,8591,,
2009W42,8573,8573,,
2009W43,11560,11560,,
2009W44,10454,10454,,
2009W45,12153,12153,,
2009W46,10095,10095,,
2009W47,10790,10790,,
2010W30,11244,11244,,
2010W31,9475,9475,,
2010W32,12788,12788,,
2010W33,8581,8581,,
2010W34,8497,8497,,
2010W35,9581,9581,,
2010W36,12120,12120,,
2010W37,9281,9281,,
2010W38,9149,9149,,
2010W39,9240,9240,,
2010W40,12219,12219,,
2010W41,9656,9656,,
2010W42,9130,9130,,
2010W43,11172,11172,,
2010W44,8917,8917,,
2010W45,9952,9952,,
2010W46,8500,8500,,
2010W47,11587,11587,,
2010W48,10277,10277,,
2010W49,11694,11694,,
2010W50,10447,10447,,
2010W51,9264,9264,,
2010W52,11026,11026,,
2011W01,9621,9621,,
2011W02,14503,14503,,
2011W03,9338,9338,,
2011W04,14730,14730,,
2011W05,25671,25671,,
2011W06,21307,21307,,
2011W07,22871,22871,,
2011W08,19503,19503,,
2011W09,19588,19588,,
2011W10,19821,19821,,
2011W11,17534,17534,,
2011W12,18145,18145,,
2011W13,18814,18814,,
2011W14,23279,23279,,
2011W15,17491,17491,,
2011W16,16864,16864,,
2011W17,20023,20023,,
2011W18,15384,15384,,
2011W19,14250,14250,,
2011W20,14776,14776,,
2011W21,17707,17707,,
2011W22,25795,25795,,
2011W23,21729,21729,,
2011W24,18651,18651,,
2011W25,18471,18471,,
2011W26,19450,19450,,
2011W27,26790,26790,,
2011W28,25475,25475,,
2011W29,20379,20379,,
2011W30,23333,23333,,
2011W31,22608,22608,,
2011W32,25043,25043,,
2011W33,25026,25026,,
2011W34,24324,24324,,
2011W35,27866,27866,,
2011W36,21541,21541,,
2011W37,15882,15882,,
2011W38,20085,20085,,
2011W39,23622,23622,,
2011W40,25738,25738,,
2011W41,31820,31820,,
2011W42,26069,26069,,
2011W43,22261,22261,,
2011W44,20054,20054,,
2011W45,20596,20596,,
2011W46,26051,26051,,
2011W47,24681,24681,,
2011W48,45299,45299,,
2011W49,36397,36397,,
2011W50,32410,32410,,
2011W51,46434,46434,,
2011W52,28672,28672,,
2012W01,29123,29123,,
2012W02,33821,33821,,
2012W03,33375,33375,,
2012W04,39211,39211,,
2012W05,38436,38436,,
2012W06,43667,43667,,
2012W07,35490,35490,,
2012W08,36158,36158,,
2012W09,47723,47723,,
2012W10,41526,41526,,
2012W11,36454,36454,,
2012W12,39077,39077,,
2012W13,42556,42556,,
2012W14,41201,41201,,
2012W15,37922,37922,,
2012W16,39950,39950,,
2012W17,40994,40994,,
2012W18,75293,75293,,
2012W19,55401,55401,,
2012W20,40716,40716,,
2012W21,53945,53945,,
2012W22,58160,58160,,
2012W23,57796,57796,,
2012W24,76636,76636,,
2012W25,59255,59255,,
2012W26,56434,56434,,
2012W27,66242,66242,,
2012W28,58107,58107,,
2012W29,57759,57759,,
2012W30,71110,71110,,
2012W31,71859,71859,,
2012W32,63445,63445,,
2012W33,70643,70643,,
2012W34,72709,72709,,
2012W35,57845,57845,,
2012W36,65080,65080,,
2012W37,80621,80621,,
2012W38,77885,77885,,
2012W39,83651,83651,,
2012W40,83768,83768,,
2012W41,92253,92253,,
2012W42,79573,79573,,
2012W43,91982,91982,,
2012W44,76583,76583,,
2012W45,80266,80266,,
2012W46,62321,62321,,
2012W47,65984,65984,,
2012W48,90142,90142,,
2012W49,57660,57660,,
2012W50,90618,90618,,
2012W51,66303,66303,,
2012W52,67343,67343,,
2013W01,67324,67324,,
2013W02,81506,81506,,
2013W03,74319,74319,,
2013W04,93855,93855,,
2013W05,114758,114758,,
2013W06,108443,108443,,
2013W07,124446,124446,,
2013W08,121972,121972,,
2013W09,109057,109057,,
2013W10,54113,54113,,
2013W11,61051,61051,,
2013W12,58126,58126,,
2013W13,98648,98648,,
2013W14,48938,48938,,
2013W15,54608,54608,,
2013W16,54736,54736,,
2013W17,58222,58222,,
2013W18,64042,64042,,
2013W19,68743,68743,,
2013W20,69734,69734,,
2013W21,98126,98126,,
2013W22,77433,77433,,
2013W23,105190,105190,,
2013W24,66691,66691,,
2013W25,67418,67418,,
2013W26,89997,89997,,
2013W27,77218,77218,,
2013W28,73415,73415,,
2013W29,68534,68534,,
2013W30,68476,68476,,
2013W31,84880,84880,,
2013W32,87975,87975,,
2013W33,67374,67374,,
2013W34,59059,59059,,
2013W35,48726,48726,,
2013W36,48385,48385,,
2013W37,56602,56602,,
2013W38,60852,60852,,
2013W39,64332,64332,,
2013W40,64232,64232,,
2013W41,73470,73470,,
2013W42,61922,61922,,
2013W43,71438,71438,,
2013W44,81470,81470,,
2013W45,74807,74807,,
2013W46,64042,64042,,
2013W47,67649,67649,,
2013W48,60232,60232,,
2013W49,69507,69507,,
2013W50,74802,74802,,
2013W51,82497,82497,,
2013W52,71543,71543,,
2014W01,88858,88858,,
2014W02,98662,98662,,
