Date,Total,Desktop site,Mobile site,Zero site
2008W01,140985,140985,,
2008W02,134858,134858,,
2008W03,104900,104900,,
2008W04,102291,102291,,
2008W05,87026,87026,,
2008W06,74949,74949,,
2008W07,79245,79245,,
2008W08,97620,97620,,
2008W09,90998,90998,,
2008W10,76791,76791,,
2008W11,80376,80376,,
2008W12,79223,79223,,
2008W13,77000,77000,,
2008W14,93771,93771,,
2008W15,112490,112490,,
2008W16,85358,85358,,
2008W17,77072,77072,,
2008W18,75538,75538,,
2008W19,84133,84133,,
2008W20,85406,85406,,
2008W21,88698,88698,,
2008W22,84526,84526,,
2008W23,72691,72691,,
2008W24,82427,82427,,
2008W25,78412,78412,,
2008W26,82669,82669,,
2008W27,80993,80993,,
2008W28,70712,70712,,
2008W29,63957,63957,,
2008W30,70073,70073,,
2008W31,52079,52079,,
2008W32,67744,67744,,
2008W33,59224,59224,,
2008W34,61548,61548,,
2008W35,69489,69489,,
2008W36,48676,48676,,
2008W37,51618,51618,,
2008W38,56097,56097,,
2008W39,61606,61606,,
2008W40,68274,68274,,
2008W41,84608,84608,,
2008W42,65631,65631,,
2008W43,54255,54255,,
2008W44,57048,57048,,
2008W45,58554,58554,,
2008W46,67500,67500,,
2008W47,77612,77612,,
2008W48,57419,57419,,
2008W49,49900,49900,,
2008W50,57803,57803,,
2008W51,78153,78153,,
2008W52,69105,69105,,
2009W01,65492,65492,,
2009W02,61554,61554,,
2009W03,74368,74368,,
2009W04,73089,73089,,
2009W05,65842,65842,,
2009W06,56979,56979,,
2009W07,59271,59271,,
2009W08,53714,53714,,
2009W09,55223,55223,,
2009W10,52271,52271,,
2009W11,70715,70715,,
2009W12,80682,80682,,
2009W13,69342,69342,,
2009W14,71910,71910,,
2009W15,66219,66219,,
2009W16,75954,75954,,
2009W17,37149,37149,,
2009W18,47534,47534,,
2009W19,39057,39057,,
2009W20,65260,65260,,
2009W21,45314,45314,,
2009W22,47533,47533,,
2009W23,50488,50488,,
2009W24,53625,53625,,
2009W25,64991,64991,,
2009W26,58664,58664,,
2009W27,56684,56684,,
2009W28,50430,50430,,
2009W29,55643,55643,,
2009W30,58850,58850,,
2009W31,56921,56921,,
2009W32,62007,62007,,
2009W33,70108,70108,,
2009W34,62560,62560,,
2009W35,56167,56167,,
2009W36,58592,58592,,
2009W37,58435,58435,,
2009W38,60499,60499,,
2009W39,100208,100208,,
2009W40,67856,67856,,
2009W41,60297,60297,,
2009W42,64379,64379,,
2009W43,62913,62913,,
2009W44,68999,68999,,
2009W45,64252,64252,,
2009W46,74621,74621,,
2009W47,68449,68449,,
2010W30,82840,82840,,
2010W31,81536,81536,,
2010W32,69268,69268,,
2010W33,72168,72168,,
2010W34,59533,59533,,
2010W35,72887,72887,,
2010W36,83526,83526,,
2010W37,66190,66190,,
2010W38,70435,70435,,
2010W39,73844,73844,,
2010W40,75495,75495,,
2010W41,84575,84575,,
2010W42,92589,92589,,
2010W43,102482,102482,,
2010W44,99564,99564,,
2010W45,62966,62966,,
2010W46,75518,75518,,
2010W47,94065,94065,,
2010W48,108666,108666,,
2010W49,111264,111264,,
2010W50,137023,137023,,
2010W51,94066,94066,,
2010W52,83915,83915,,
2011W01,95352,95352,,
2011W02,108353,108353,,
2011W03,89248,89248,,
2011W04,81575,81575,,
2011W05,92629,92629,,
2011W06,89891,89891,,
2011W07,103036,103036,,
2011W08,101848,101848,,
2011W09,142574,142574,,
2011W10,139942,139942,,
2011W11,130701,130701,,
2011W12,127657,127657,,
2011W13,102534,102534,,
2011W14,97966,97966,,
2011W15,90404,90404,,
2011W16,98914,98914,,
2011W17,101806,101806,,
2011W18,136017,136017,,
2011W19,116600,116600,,
2011W20,87930,87930,,
2011W21,86628,86628,,
2011W22,98049,98049,,
2011W23,110517,110517,,
2011W24,105430,105430,,
2011W25,106240,106240,,
2011W26,83601,83601,,
2011W27,83541,83541,,
2011W28,100273,100273,,
2011W29,85187,85187,,
2011W30,89921,89921,,
2011W31,95433,95433,,
2011W32,123638,123638,,
2011W33,110878,110878,,
2011W34,97241,97241,,
2011W35,108034,108034,,
2011W36,95543,95543,,
2011W37,100880,100880,,
2011W38,106520,106520,,
2011W39,101090,101090,,
2011W40,106644,106644,,
2011W41,101310,101310,,
2011W42,93739,93739,,
2011W43,99751,99751,,
2011W44,81230,81230,,
2011W45,89684,89684,,
2011W46,98994,98994,,
2011W47,122431,122431,,
2011W48,126333,126333,,
2011W49,106442,106442,,
2011W50,111793,111793,,
2011W51,129097,129097,,
2011W52,110077,110077,,
2012W01,142202,142202,,
2012W02,123380,123380,,
2012W03,108904,108904,,
2012W04,94958,94958,,
2012W05,112986,112986,,
2012W06,107430,107430,,
2012W07,106913,106913,,
2012W08,130766,130766,,
2012W09,151367,151367,,
2012W10,120507,120507,,
2012W11,125049,125049,,
2012W12,117588,117588,,
2012W13,123520,123520,,
2012W14,106667,106667,,
2012W15,114031,114031,,
2012W16,106966,106966,,
2012W17,96732,96732,,
2012W18,128485,128485,,
2012W19,127459,127459,,
2012W20,115601,115601,,
2012W21,122932,122932,,
2012W22,115770,115770,,
2012W23,114570,114570,,
2012W24,116296,116296,,
2012W25,107879,107879,,
2012W26,102292,102292,,
2012W27,113227,113227,,
2012W28,110880,110880,,
2012W29,98162,98162,,
2012W30,94918,94918,,
2012W31,99562,99562,,
2012W32,106901,106901,,
2012W33,96142,96142,,
2012W34,96185,96185,,
2012W35,100675,100675,,
2012W36,96651,96651,,
2012W37,114383,114383,,
2012W38,121343,121343,,
2012W39,121158,121158,,
2012W40,125752,125752,,
2012W41,120911,120911,,
2012W42,118687,118687,,
2012W43,117170,117170,,
2012W44,124869,124869,,
2012W45,119553,119553,,
2012W46,114041,114041,,
2012W47,132630,132630,,
2012W48,187935,187935,,
2012W49,110438,110438,,
2012W50,125894,125894,,
2012W51,135582,135582,,
2012W52,116734,116734,,
2013W01,120978,120978,,
2013W02,130455,130455,,
2013W03,108667,108667,,
2013W04,110539,110539,,
2013W05,117494,117494,,
2013W06,105699,105699,,
2013W07,98850,98850,,
2013W08,96937,96937,,
2013W09,101502,101502,,
2013W10,111231,111231,,
2013W11,101845,101845,,
2013W12,100336,100336,,
2013W13,71926,71926,,
2013W14,74480,74480,,
2013W15,75477,75477,,
2013W16,83024,83024,,
2013W17,94209,94209,,
2013W18,93571,93571,,
2013W19,79459,79459,,
2013W20,94419,94419,,
2013W21,97178,97178,,
2013W22,96548,96548,,
2013W23,118509,118509,,
2013W24,102296,102296,,
2013W25,94103,94103,,
2013W26,98294,98294,,
2013W27,87539,87539,,
2013W28,100110,100110,,
2013W29,106603,106603,,
2013W30,90624,90624,,
2013W31,109894,109894,,
2013W32,120423,120423,,
2013W33,121135,121135,,
2013W34,129573,129573,,
2013W35,113112,113112,,
2013W36,90047,90047,,
2013W37,111291,111291,,
2013W38,107545,107545,,
2013W39,113319,113319,,
2013W40,104269,104269,,
2013W41,115087,115087,,
2013W42,96888,96888,,
2013W43,111159,111159,,
2013W44,108972,108972,,
2013W45,103063,103063,,
2013W46,88730,88730,,
2013W47,109345,109345,,
2013W48,84955,84955,,
2013W49,91746,91746,,
2013W50,109551,109551,,
2013W51,101381,101381,,
2013W52,109593,109593,,
2014W01,129140,129140,,
2014W02,132972,132972,,
2014W03,154751,154751,,
2014W04,186357,186357,,
2014W05,187052,187052,,
2014W06,218107,218107,,
2014W07,163529,163529,,
2014W08,114763,114763,,
2014W09,124382,124382,,
2014W10,184769,184769,,
2014W11,193557,193557,,
2014W12,163568,163568,,
2014W13,185318,185318,,
2014W14,169098,169098,,
2014W15,149399,149399,,
2014W16,131113,131113,,
2014W17,159695,159695,,
2014W18,112582,112582,,
2014W19,116400,116400,,
2014W20,121428,121428,,
2014W21,113740,113740,,
2014W22,118589,118589,,
2014W23,131598,131598,,
2014W24,146115,146115,,
2014W25,134497,134497,,
2014W26,134787,134787,,
2014W27,129345,129345,,
2014W28,150041,150041,,
2014W29,163190,163190,,
2014W30,146191,146191,,
2014W31,125636,125636,,
2014W32,154331,154331,,
2014W33,147891,147891,,
2014W34,156412,156412,,
2014W35,188748,188748,,
2014W36,200633,200633,,
2014W37,159890,159890,,
2014W38,151485,151485,,
2014W39,175993,158928,16983,82
2014W40,270498,238568,31905,25
2014W41,265343,243037,22244,62
2014W42,198589,185620,12956,13
2014W43,181262,167676,13577,9
2014W44,135884,122811,13065,8
2014W45,132078,119151,12909,18
2014W46,166390,147954,18416,20
2014W47,176975,156727,20226,22
2014W48,164925,144685,20191,49
2014W49,172005,153147,18801,57
2014W50,176369,157189,19117,63
2014W51,166202,153576,12545,81
2014W52,154204,138904,15251,49
2015W01,141476,121802,19601,73
2015W02,128761,114094,14625,42
2015W03,146522,128854,17625,43
2015W04,225752,206994,18750,8
2015W05,197176,180713,16445,18
2015W06,157157,135460,21674,23
2015W07,157599,136178,21401,20
2015W08,138607,126194,12380,33
2015W09,172791,157974,14772,45
2015W10,231453,215745,15673,35
2015W11,222236,203801,18386,49
2015W12,194247,178608,15573,66
2015W13,135227,125400,9771,56
2015W14,145213,129895,15207,111
2015W16,151644,139080,12421,143
