Date,Total,Desktop site,Mobile site,Zero site
2008W01,0,0,,
2008W02,0,0,,
2008W03,0,0,,
2008W04,0,0,,
2008W05,0,0,,
2008W06,0,0,,
2008W07,0,0,,
2008W08,0,0,,
2008W09,0,0,,
2008W10,0,0,,
2008W11,0,0,,
2008W12,0,0,,
2008W13,0,0,,
2008W14,0,0,,
2008W15,0,0,,
2008W16,0,0,,
2008W17,0,0,,
2008W18,0,0,,
2008W19,0,0,,
2008W20,34747,34747,,
2008W21,158112,158112,,
2008W22,148216,148216,,
2008W23,143034,143034,,
2008W24,156586,156586,,
2008W25,161469,161469,,
2008W26,166257,166257,,
2008W27,148852,148852,,
2008W28,128391,128391,,
2008W29,129221,129221,,
2008W30,116956,116956,,
2008W31,107126,107126,,
2008W32,109311,109311,,
2008W33,117270,117270,,
2008W34,110560,110560,,
2008W35,127747,127747,,
2008W36,101709,101709,,
2008W37,123342,123342,,
2008W38,111410,111410,,
2008W39,121346,121346,,
2008W40,133414,133414,,
2008W41,144487,144487,,
2008W42,148498,148498,,
2008W43,146284,146284,,
2008W44,140131,140131,,
2008W45,144154,144154,,
2008W46,141997,141997,,
2008W47,127127,127127,,
2008W48,134893,134893,,
2008W49,131018,131018,,
2008W50,129228,129228,,
2008W51,198356,198356,,
2008W52,218052,218052,,
2009W01,219748,219748,,
2009W02,203716,203716,,
2009W03,193809,193809,,
2009W04,191747,191747,,
2009W05,209336,209336,,
2009W06,212897,212897,,
2009W07,167259,167259,,
2009W08,196064,196064,,
2009W09,207954,207954,,
2009W10,205965,205965,,
2009W11,204139,204139,,
2009W12,202867,202867,,
2009W13,190554,190554,,
2009W14,182578,182578,,
2009W15,224139,224139,,
2009W16,191316,191316,,
2009W17,159553,159553,,
2009W18,170868,170868,,
2009W19,153296,153296,,
2009W20,204102,204102,,
2009W21,232884,232884,,
2009W22,306221,306221,,
2009W23,313317,313317,,
2009W24,333427,333427,,
2009W25,275975,275975,,
2009W26,270434,270434,,
2009W27,250504,250504,,
2009W28,249779,249779,,
2009W29,286448,286448,,
2009W30,301844,301844,,
2009W31,284799,284799,,
2009W32,297877,297877,,
2009W33,335582,335582,,
2009W34,402254,402254,,
2009W35,367825,367825,,
2009W36,307572,307572,,
2009W37,331732,331732,,
2009W38,464625,464625,,
2009W39,439575,439575,,
2009W40,420978,420978,,
2009W41,466656,466656,,
2009W42,443978,443978,,
2009W43,402292,402292,,
2009W44,452397,452397,,
2009W45,404217,404217,,
2009W46,379117,379117,,
2009W47,371112,371112,,
2010W30,212214,212214,,
2010W31,215062,215062,,
2010W32,191371,191371,,
2010W33,164387,164387,,
2010W34,231948,231948,,
2010W35,235769,235769,,
2010W36,280052,280052,,
2010W37,258174,258174,,
2010W38,224121,224121,,
2010W39,250491,250491,,
2010W40,244617,244617,,
2010W41,257998,257998,,
2010W42,231214,231214,,
2010W43,217447,217447,,
2010W44,290669,290669,,
2010W45,215978,215978,,
2010W46,204476,204476,,
2010W47,278890,278890,,
2010W48,277723,277723,,
2010W49,269973,269973,,
2010W50,302619,302619,,
2010W51,249448,249448,,
2010W52,275700,275700,,
2011W01,265707,265707,,
2011W02,218269,218269,,
2011W03,250651,250651,,
2011W04,268554,268554,,
2011W05,298654,298654,,
2011W06,339498,339498,,
2011W07,310625,310625,,
2011W08,355593,355593,,
2011W09,538413,538413,,
2011W10,430836,430836,,
2011W11,347155,347155,,
2011W12,351958,351958,,
2011W13,366462,366462,,
2011W14,374232,374232,,
2011W15,177699,177699,,
2011W16,307882,307882,,
2011W17,364839,364839,,
2011W18,328241,328241,,
2011W19,344388,344388,,
2011W20,290655,290655,,
2011W21,303478,303478,,
2011W22,377778,377778,,
2011W23,480215,480215,,
2011W24,520465,520465,,
2011W25,377557,377557,,
2011W26,460718,460718,,
2011W27,506261,506261,,
2011W28,566415,566415,,
2011W29,563988,563988,,
2011W30,526559,526559,,
2011W31,396769,396769,,
2011W32,303354,303354,,
2011W33,363027,363027,,
2011W34,365052,365052,,
2011W35,339109,339109,,
2011W36,343903,343903,,
2011W37,416642,416642,,
2011W38,360099,360099,,
2011W39,401406,401406,,
2011W40,386760,386760,,
2011W41,565637,565637,,
2011W42,472214,472214,,
2011W43,688209,688209,,
2011W44,375783,375783,,
2011W45,438601,438601,,
2011W46,414222,414222,,
2011W47,409107,409107,,
2011W48,334799,334799,,
2011W49,339671,339671,,
2011W50,303034,303034,,
2011W51,380707,380707,,
2011W52,411532,411532,,
2012W01,404927,404927,,
2012W02,346382,346382,,
2012W03,366869,366869,,
2012W04,295627,295627,,
2012W05,314201,314201,,
2012W06,395941,395941,,
2012W07,348365,348365,,
2012W08,335081,335081,,
2012W09,334922,334922,,
2012W10,326032,326032,,
2012W11,364405,364405,,
2012W12,307957,307957,,
2012W13,365789,365789,,
2012W14,461433,461433,,
2012W15,515205,515205,,
2012W16,412364,412364,,
2012W17,228111,228111,,
2012W18,298831,298831,,
2012W19,271819,271819,,
2012W20,337669,337669,,
2012W21,317741,317741,,
2012W22,268944,268944,,
2012W23,246476,246476,,
2012W24,258573,258573,,
2012W25,255224,255224,,
2012W26,291188,291188,,
2012W27,231225,231225,,
2012W28,226459,226459,,
2012W29,279757,279757,,
2012W30,319538,319538,,
2012W31,258303,258303,,
2012W32,275255,275255,,
2012W33,351407,351407,,
2012W34,336826,336826,,
2012W35,230251,230251,,
2012W36,297349,297349,,
2012W37,469825,469825,,
2012W38,339384,339384,,
2012W39,230599,230599,,
2012W40,288250,288250,,
2012W41,280456,280456,,
2012W42,257475,257475,,
2012W43,224717,224717,,
2012W44,252609,252609,,
2012W45,254322,254322,,
2012W46,262011,262011,,
2012W47,309756,309756,,
2012W48,366650,366650,,
2012W49,331695,331695,,
2012W50,371470,371470,,
2012W51,409645,409645,,
2012W52,357684,357684,,
2013W01,297930,297930,,
2013W02,382547,382547,,
2013W03,343705,343705,,
2013W04,480489,480489,,
2013W05,302175,302175,,
2013W06,357215,357215,,
2013W07,311741,311741,,
2013W08,321132,321132,,
2013W09,335906,335906,,
2013W10,390969,390969,,
2013W11,410625,410625,,
2013W12,412154,412154,,
2013W13,200700,200700,,
2013W14,489577,489577,,
2013W15,313223,313223,,
2013W16,371197,371197,,
2013W17,272958,272958,,
2013W18,377815,377815,,
2013W19,347774,347774,,
2013W20,283998,283998,,
2013W21,306124,306124,,
2013W22,299654,299654,,
2013W23,355874,355874,,
2013W24,293252,293252,,
2013W25,333219,333219,,
2013W26,277900,277900,,
2013W27,327486,327486,,
2013W28,355010,355010,,
2013W29,303406,303406,,
2013W30,286227,286227,,
2013W31,268088,268088,,
2013W32,292908,292908,,
2013W33,338569,338569,,
2013W34,280079,280079,,
2013W35,284066,284066,,
2013W36,252133,252133,,
2013W37,251833,251833,,
2013W38,286792,286792,,
2013W39,292479,292479,,
2013W40,303494,303494,,
2013W41,299852,299852,,
2013W42,273358,273358,,
2013W43,500667,500667,,
2013W44,800162,800162,,
2013W45,718013,718013,,
2013W46,602116,602116,,
2013W47,648987,648987,,
2013W48,668965,668965,,
2013W49,397952,397952,,
2013W50,172877,172877,,
2013W51,199092,199092,,
2013W52,173447,173447,,
2014W01,172874,172874,,
2014W02,162253,162253,,
2014W03,188097,188097,,
2014W04,160672,160672,,
2014W05,188005,188005,,
2014W06,183252,183252,,
2014W07,218377,218377,,
2014W08,150806,150806,,
2014W09,149038,149038,,
2014W10,174963,174963,,
2014W11,184845,184845,,
2014W12,194838,194838,,
2014W13,231740,231740,,
2014W14,167061,167061,,
2014W15,168229,168229,,
2014W16,169606,169606,,
2014W17,187289,187289,,
2014W18,156016,156016,,
2014W19,211039,211039,,
2014W20,164028,164028,,
2014W21,229440,229440,,
2014W22,202252,202252,,
2014W23,223603,223603,,
2014W24,170259,170259,,
2014W25,246601,246601,,
2014W26,142310,142310,,
2014W27,153633,153633,,
2014W28,259731,259731,,
2014W29,212624,212624,,
2014W30,196895,196895,,
2014W31,185966,185966,,
2014W32,161860,161860,,
2014W33,161217,161217,,
2014W34,197944,197944,,
2014W35,279090,279090,,
2014W36,190394,190394,,
2014W37,233038,233038,,
2014W38,253341,253341,,
2014W39,445300,341564,103736,0
2014W40,342384,256413,85971,0
2014W41,312226,269371,42855,0
2014W42,274251,216665,57586,0
2014W43,327617,274641,52976,0
2014W44,254087,205728,48359,0
2014W45,418669,370814,47855,0
2014W46,270970,223262,47708,0
2014W47,323857,276145,47712,0
2014W48,276154,232729,43424,1
2014W49,374350,314752,59598,0
2014W50,271745,227993,43752,0
2014W51,347189,289670,57519,0
2014W52,316672,261274,55398,0
2015W01,345252,276282,68970,0
2015W02,344292,273769,70523,0
2015W03,316110,254556,61554,0
2015W04,322196,261244,60952,0
2015W05,329917,240708,89209,0
2015W06,348279,267213,81066,0
2015W07,299703,227476,72227,0
2015W08,351538,291712,59826,0
2015W09,316556,250037,66519,0
