Date,Total,Desktop site,Mobile site,Zero site
2008W01,0,0,,
2008W02,0,0,,
2008W03,0,0,,
2008W04,0,0,,
2008W05,0,0,,
2008W06,0,0,,
2008W07,0,0,,
2008W08,0,0,,
2008W09,0,0,,
2008W10,0,0,,
2008W11,0,0,,
2008W12,0,0,,
2008W13,0,0,,
2008W14,0,0,,
2008W15,0,0,,
2008W16,0,0,,
2008W17,0,0,,
2008W18,0,0,,
2008W19,0,0,,
2008W20,9239,9239,,
2008W21,41612,41612,,
2008W22,36234,36234,,
2008W23,36251,36251,,
2008W24,48084,48084,,
2008W25,44772,44772,,
2008W26,59633,59633,,
2008W27,51515,51515,,
2008W28,44578,44578,,
2008W29,41580,41580,,
2008W30,40948,40948,,
2008W31,40568,40568,,
2008W32,44924,44924,,
2008W33,38205,38205,,
2008W34,37611,37611,,
2008W35,49096,49096,,
2008W36,23967,23967,,
2008W37,32511,32511,,
2008W38,36115,36115,,
2008W39,34685,34685,,
2008W40,41876,41876,,
2008W41,47512,47512,,
2008W42,56313,56313,,
2008W43,18499,18499,,
2008W44,30535,30535,,
2008W45,24503,24503,,
2008W46,40162,40162,,
2008W47,28917,28917,,
2008W48,53334,53334,,
2008W49,41929,41929,,
2008W50,43107,43107,,
2008W51,70062,70062,,
2008W52,55149,55149,,
2009W01,58924,58924,,
2009W02,42981,42981,,
2009W03,47431,47431,,
2009W04,37254,37254,,
2009W05,32903,32903,,
2009W06,30260,30260,,
2009W07,23626,23626,,
2009W08,28747,28747,,
2009W09,28719,28719,,
2009W10,26447,26447,,
2009W11,37034,37034,,
2009W12,41480,41480,,
2009W13,48152,48152,,
2009W14,37132,37132,,
2009W15,40073,40073,,
2009W16,41477,41477,,
2009W17,31469,31469,,
2009W18,34521,34521,,
2009W19,48213,48213,,
2009W20,43418,43418,,
2009W21,33698,33698,,
2009W22,35597,35597,,
2009W23,32555,32555,,
2009W24,39098,39098,,
2009W25,32413,32413,,
2009W26,29178,29178,,
2009W27,15850,15850,,
2009W28,41180,41180,,
2009W29,32998,32998,,
2009W30,59181,59181,,
2009W31,70946,70946,,
2009W32,66922,66922,,
2009W33,49537,49537,,
2009W34,64553,64553,,
2009W35,42108,42108,,
2009W36,46368,46368,,
2009W37,42919,42919,,
2009W38,53303,53303,,
2009W39,55130,55130,,
2009W40,72542,72542,,
2009W41,73771,73771,,
2009W42,69109,69109,,
2009W43,76483,76483,,
2009W44,88891,88891,,
2009W45,76217,76217,,
2009W46,72251,72251,,
2009W47,64795,64795,,
2010W30,61632,61632,,
2010W31,60326,60326,,
2010W32,57136,57136,,
2010W33,55784,55784,,
2010W34,47044,47044,,
2010W35,31632,31632,,
2010W36,50091,50091,,
2010W37,46280,46280,,
2010W38,48370,48370,,
2010W39,45574,45574,,
2010W40,55771,55771,,
2010W41,34323,34323,,
2010W42,32798,32798,,
2010W43,53526,53526,,
2010W44,63029,63029,,
2010W45,65172,65172,,
2010W46,64125,64125,,
2010W47,79964,79964,,
2010W48,59919,59919,,
2010W49,90664,90664,,
2010W50,71046,71046,,
2010W51,77596,77596,,
2010W52,66397,66397,,
2011W01,57779,57779,,
2011W02,64332,64332,,
2011W03,77131,77131,,
2011W04,75838,75838,,
2011W05,77855,77855,,
2011W06,74637,74637,,
2011W07,103015,103015,,
2011W08,50603,50603,,
2011W09,73477,73477,,
2011W10,48769,48769,,
2011W11,55603,55603,,
2011W12,43921,43921,,
2011W13,53332,53332,,
2011W14,43201,43201,,
2011W15,39940,39940,,
2011W16,41577,41577,,
2011W17,36107,36107,,
2011W18,34131,34131,,
2011W19,17680,17680,,
2011W20,24656,24656,,
2011W21,37442,37442,,
2011W22,22602,22602,,
2011W23,46622,46622,,
2011W24,57250,57250,,
2011W25,45387,45387,,
2011W26,45570,45570,,
2011W27,35366,35366,,
2011W28,43111,43111,,
2011W29,34142,34142,,
2011W30,48444,48444,,
2011W31,51310,51310,,
2011W32,35401,35401,,
2011W33,51650,51650,,
2011W34,25115,25115,,
2011W35,34345,34345,,
2011W36,39167,39167,,
2011W37,34421,34421,,
2011W38,33274,33274,,
2011W39,35159,35159,,
2011W40,22638,22638,,
2011W41,30027,30027,,
2011W42,42326,42326,,
2011W43,37376,37376,,
2011W44,55039,55039,,
2011W45,67301,67301,,
2011W46,42095,42095,,
2011W47,29715,29715,,
2011W48,34208,34208,,
2011W49,40699,40699,,
2011W50,50813,50813,,
2011W51,225624,225624,,
2011W52,470401,470401,,
2012W01,953618,953618,,
2012W02,1735814,1735814,,
2012W03,1112756,1112756,,
2012W04,442859,442859,,
2012W05,67114,67114,,
2012W06,65398,65398,,
2012W07,62739,62739,,
2012W08,75764,75764,,
2012W09,79268,79268,,
2012W10,72915,72915,,
2012W11,87443,87443,,
2012W12,61883,61883,,
2012W13,76191,76191,,
2012W14,61214,61214,,
2012W15,53610,53610,,
2012W16,58726,58726,,
2012W17,64573,64573,,
2012W18,62403,62403,,
2012W19,75614,75614,,
2012W20,83005,83005,,
2012W21,63921,63921,,
2012W22,82395,82395,,
2012W23,96951,96951,,
2012W24,96038,96038,,
2012W25,90253,90253,,
2012W26,70458,70458,,
2012W27,83210,83210,,
2012W28,74177,74177,,
2012W29,74871,74871,,
2012W30,62295,62295,,
2012W31,76129,76129,,
2012W32,76441,76441,,
2012W33,82834,82834,,
2012W34,76051,76051,,
2012W35,70388,70388,,
2012W36,71561,71561,,
2012W37,44977,44977,,
2012W38,57419,57419,,
2012W39,78093,78093,,
2012W40,62099,62099,,
2012W41,50698,50698,,
2012W42,47642,47642,,
2012W43,53328,53328,,
2012W44,73269,73269,,
2012W45,67208,67208,,
2012W46,63520,63520,,
2012W47,66382,66382,,
2012W48,67869,67869,,
2012W49,58769,58769,,
2012W50,81648,81648,,
2012W51,80788,80788,,
2012W52,78556,78556,,
2013W01,61181,61181,,
2013W02,63481,63481,,
2013W03,59699,59699,,
2013W04,56247,56247,,
2013W05,72478,72478,,
2013W06,100537,100537,,
2013W07,66436,66436,,
2013W08,78857,78857,,
2013W09,62945,62945,,
2013W10,73545,73545,,
2013W11,55482,55482,,
2013W12,46340,46340,,
2013W13,55204,55204,,
2013W14,65963,65963,,
2013W15,52968,52968,,
2013W16,85714,85714,,
2013W17,89287,89287,,
2013W18,89205,89205,,
2013W19,51513,51513,,
2013W20,57572,57572,,
2013W21,70389,70389,,
2013W22,65899,65899,,
2013W23,64935,64935,,
2013W24,53456,53456,,
2013W25,52247,52247,,
2013W26,60633,60633,,
2013W27,68594,68594,,
2013W28,80193,80193,,
2013W29,58879,58879,,
2013W30,71860,71860,,
2013W31,80076,80076,,
2013W32,57341,57341,,
2013W33,58489,58489,,
2013W34,59944,59944,,
2013W35,46046,46046,,
2013W36,37260,37260,,
2013W37,48087,48087,,
2013W38,46827,46827,,
2013W39,58497,58497,,
2013W40,52729,52729,,
2013W41,45502,45502,,
2013W42,62260,62260,,
2013W43,61905,61905,,
2013W44,54610,54610,,
2013W45,56162,56162,,
2013W46,62583,62583,,
2013W47,53536,53536,,
2013W48,51936,51936,,
2013W49,75081,75081,,
2013W50,80959,80959,,
2013W51,63526,63526,,
2013W52,60916,60916,,
2014W01,56274,56274,,
2014W02,65452,65452,,
2014W03,69862,69862,,
2014W04,91084,91084,,
2014W05,68553,68553,,
2014W06,99620,99620,,
2014W07,102243,102243,,
2014W08,97459,97459,,
2014W09,89606,89606,,
2014W10,57888,57888,,
2014W11,66273,66273,,
2014W12,52535,52535,,
2014W13,51488,51488,,
2014W14,55753,55753,,
2014W15,42372,42372,,
2014W16,40230,40230,,
2014W17,44848,44848,,
2014W18,41980,41980,,
2014W19,50515,50515,,
2014W20,43843,43843,,
2014W21,52820,52820,,
2014W22,57367,57367,,
2014W23,52600,52600,,
2014W24,58334,58334,,
2014W25,47507,47507,,
2014W26,54537,54537,,
2014W27,55789,55789,,
2014W28,47432,47432,,
2014W29,54758,54758,,
2014W30,52715,52715,,
2014W31,46658,46658,,
2014W32,47344,47344,,
2014W33,45091,45091,,
2014W34,45911,45911,,
2014W35,48853,48853,,
2014W36,45240,45240,,
2014W37,45172,45172,,
2014W38,68692,68692,,
2014W39,86179,67918,18261,0
2014W40,69530,56543,12986,1
2014W41,34907,29034,5873,0
2014W42,55270,43618,11652,0
2014W43,131933,116192,15741,0
2014W44,138610,77791,60811,8
2014W45,52263,31006,21257,0
2014W46,43683,32753,10930,0
2014W47,80196,57467,22729,0
2014W48,76637,50979,25658,0
2014W49,76571,54749,21822,0
2014W50,70070,58063,11999,8
2014W51,122430,70868,51562,0
2014W52,206444,187654,18790,0
2015W01,74909,58114,16795,0
2015W02,83142,72659,10482,1
2015W03,81389,68569,12820,0
2015W04,88858,60046,28812,0
2015W05,86584,71535,15049,0
2015W06,119276,102762,16514,0
2015W07,119207,73567,45640,0
2015W08,89840,61920,27920,0
2015W09,101737,70806,30931,0
