Date,Total,Desktop site,Mobile site,Zero site
2008W01,0,0,,
2008W02,0,0,,
2008W03,0,0,,
2008W04,0,0,,
2008W05,0,0,,
2008W06,0,0,,
2008W07,0,0,,
2008W08,0,0,,
2008W09,0,0,,
2008W10,0,0,,
2008W11,0,0,,
2008W12,0,0,,
2008W13,0,0,,
2008W14,0,0,,
2008W15,0,0,,
2008W16,0,0,,
2008W17,0,0,,
2008W18,0,0,,
2008W19,0,0,,
2008W20,9219,9219,,
2008W21,48157,48157,,
2008W22,42223,42223,,
2008W23,49952,49952,,
2008W24,57268,57268,,
2008W25,57941,57941,,
2008W26,73531,73531,,
2008W27,72282,72282,,
2008W28,54994,54994,,
2008W29,54448,54448,,
2008W30,57435,57435,,
2008W31,56192,56192,,
2008W32,67476,67476,,
2008W33,52922,52922,,
2008W34,56125,56125,,
2008W35,66131,66131,,
2008W36,50181,50181,,
2008W37,58134,58134,,
2008W38,60590,60590,,
2008W39,60560,60560,,
2008W40,79010,79010,,
2008W41,83943,83943,,
2008W42,80126,80126,,
2008W43,48643,48643,,
2008W44,43382,43382,,
2008W45,37194,37194,,
2008W46,59924,59924,,
2008W47,37396,37396,,
2008W48,57117,57117,,
2008W49,44728,44728,,
2008W50,40238,40238,,
2008W51,55887,55887,,
2008W52,46236,46236,,
2009W01,52482,52482,,
2009W02,41562,41562,,
2009W03,49871,49871,,
2009W04,41294,41294,,
2009W05,39028,39028,,
2009W06,44687,44687,,
2009W07,50987,50987,,
2009W08,52068,52068,,
2009W09,52073,52073,,
2009W10,48980,48980,,
2009W11,51830,51830,,
2009W12,51160,51160,,
2009W13,55109,55109,,
2009W14,52964,52964,,
2009W15,47072,47072,,
2009W16,53810,53810,,
2009W17,49100,49100,,
2009W18,50158,50158,,
2009W19,61231,61231,,
2009W20,78215,78215,,
2009W21,66547,66547,,
2009W22,73466,73466,,
2009W23,77919,77919,,
2009W24,173332,173332,,
2009W25,136105,136105,,
2009W26,120569,120569,,
2009W27,82861,82861,,
2009W28,114082,114082,,
2009W29,121928,121928,,
2009W30,168156,168156,,
2009W31,155221,155221,,
2009W32,170819,170819,,
2009W33,179522,179522,,
2009W34,251463,251463,,
2009W35,151424,151424,,
2009W36,161049,161049,,
2009W37,143478,143478,,
2009W38,194334,194334,,
2009W39,202310,202310,,
2009W40,143958,143958,,
2009W41,138955,138955,,
2009W42,139683,139683,,
2009W43,157515,157515,,
2009W44,153306,153306,,
2009W45,142395,142395,,
2009W46,151683,151683,,
2009W47,152491,152491,,
2010W30,93007,93007,,
2010W31,95940,95940,,
2010W32,92675,92675,,
2010W33,83005,83005,,
2010W34,127763,127763,,
2010W35,67753,67753,,
2010W36,76761,76761,,
2010W37,80872,80872,,
2010W38,73167,73167,,
2010W39,86338,86338,,
2010W40,83055,83055,,
2010W41,71345,71345,,
2010W42,75168,75168,,
2010W43,100890,100890,,
2010W44,116621,116621,,
2010W45,165886,165886,,
2010W46,124062,124062,,
2010W47,147423,147423,,
2010W48,139163,139163,,
2010W49,189778,189778,,
2010W50,176472,176472,,
2010W51,191543,191543,,
2010W52,115313,115313,,
2011W01,139394,139394,,
2011W02,178742,178742,,
2011W03,160744,160744,,
2011W04,133572,133572,,
2011W05,167043,167043,,
2011W06,163767,163767,,
2011W07,175897,175897,,
2011W08,124000,124000,,
2011W09,157923,157923,,
2011W10,122820,122820,,
2011W11,171442,171442,,
2011W12,143849,143849,,
2011W13,134885,134885,,
2011W14,121131,121131,,
2011W15,120981,120981,,
2011W16,125286,125286,,
2011W17,140349,140349,,
2011W18,124975,124975,,
2011W19,107714,107714,,
2011W20,133695,133695,,
2011W21,137876,137876,,
2011W22,170636,170636,,
2011W23,144864,144864,,
2011W24,164670,164670,,
2011W25,160233,160233,,
2011W26,170285,170285,,
2011W27,163772,163772,,
2011W28,160058,160058,,
2011W29,164602,164602,,
2011W30,129817,129817,,
2011W31,167572,167572,,
2011W32,125626,125626,,
2011W33,173214,173214,,
2011W34,131538,131538,,
2011W35,153430,153430,,
2011W36,145034,145034,,
2011W37,154685,154685,,
2011W38,134343,134343,,
2011W39,146319,146319,,
2011W40,137960,137960,,
2011W41,147931,147931,,
2011W42,131323,131323,,
2011W43,124563,124563,,
2011W44,4844123,4844123,,
2011W45,167311,167311,,
2011W46,159264,159264,,
2011W47,117310,117310,,
2011W48,124944,124944,,
2011W49,123482,123482,,
2011W50,167177,167177,,
2011W51,301822,301822,,
2011W52,675666,675666,,
2012W01,1237612,1237612,,
2012W02,2045029,2045029,,
2012W03,1062798,1062798,,
2012W04,533481,533481,,
2012W05,158762,158762,,
2012W06,174137,174137,,
2012W07,156129,156129,,
2012W08,169813,169813,,
2012W09,184636,184636,,
2012W10,170697,170697,,
2012W11,180050,180050,,
2012W12,154348,154348,,
2012W13,161707,161707,,
2012W14,134789,134789,,
2012W15,189536,189536,,
2012W16,182195,182195,,
2012W17,158245,158245,,
2012W18,148846,148846,,
2012W19,167276,167276,,
2012W20,173019,173019,,
2012W21,221110,221110,,
2012W22,203233,203233,,
2012W23,225185,225185,,
2012W24,209378,209378,,
2012W25,168231,168231,,
2012W26,160269,160269,,
2012W27,207740,207740,,
2012W28,210439,210439,,
2012W29,168763,168763,,
2012W30,176249,176249,,
2012W31,177740,177740,,
2012W32,206609,206609,,
2012W33,181059,181059,,
2012W34,181604,181604,,
2012W35,195674,195674,,
2012W36,195056,195056,,
2012W37,235383,235383,,
2012W38,256620,256620,,
2012W39,224313,224313,,
2012W40,231105,231105,,
2012W41,210974,210974,,
2012W42,206065,206065,,
2012W43,214362,214362,,
2012W44,200817,200817,,
2012W45,253024,253024,,
2012W46,186392,186392,,
2012W47,216690,216690,,
2012W48,229237,229237,,
2012W49,193922,193922,,
2012W50,217952,217952,,
2012W51,213341,213341,,
2012W52,214788,214788,,
2013W01,205637,205637,,
2013W02,229217,229217,,
2013W03,224549,224549,,
2013W04,204690,204690,,
2013W05,209553,209553,,
2013W06,210011,210011,,
2013W07,190969,190969,,
2013W08,171113,171113,,
2013W09,200332,200332,,
2013W10,211540,211540,,
2013W11,225257,225257,,
2013W12,192375,192375,,
2013W13,195549,195549,,
2013W14,213528,213528,,
2013W15,212301,212301,,
2013W16,222792,222792,,
2013W17,217568,217568,,
2013W18,211432,211432,,
2013W19,167229,167229,,
2013W20,199948,199948,,
2013W21,234004,234004,,
2013W22,244690,244690,,
2013W23,253016,253016,,
2013W24,210520,210520,,
2013W25,178570,178570,,
2013W26,198396,198396,,
2013W27,205545,205545,,
2013W28,219863,219863,,
2013W29,188947,188947,,
2013W30,190285,190285,,
2013W31,223024,223024,,
2013W32,235912,235912,,
2013W33,218387,218387,,
2013W34,214429,214429,,
2013W35,184523,184523,,
2013W36,175517,175517,,
2013W37,196047,196047,,
2013W38,196545,196545,,
2013W39,215097,215097,,
2013W40,224584,224584,,
2013W41,223098,223098,,
2013W42,231482,231482,,
2013W43,232964,232964,,
2013W44,216552,216552,,
2013W45,228942,228942,,
2013W46,202030,202030,,
2013W47,189233,189233,,
2013W48,231726,231726,,
2013W49,275743,275743,,
2013W50,303549,303549,,
2013W51,204608,204608,,
2013W52,160456,160456,,
2014W01,161974,161974,,
2014W02,155768,155768,,
2014W03,187096,187096,,
2014W04,225991,225991,,
2014W05,210427,210427,,
2014W06,437936,437936,,
2014W07,219483,219483,,
2014W08,223690,223690,,
2014W09,244486,244486,,
2014W10,239596,239596,,
2014W11,258969,258969,,
2014W12,205035,205035,,
2014W13,237965,237965,,
2014W14,229302,229302,,
2014W15,183268,183268,,
2014W16,189384,189384,,
2014W17,199788,199788,,
2014W18,207383,207383,,
2014W19,257678,257678,,
2014W20,236774,236774,,
2014W21,219477,219477,,
2014W22,281811,281811,,
2014W23,325590,325590,,
2014W24,287084,287084,,
2014W25,249688,249688,,
2014W26,196683,196683,,
2014W27,276716,276716,,
2014W28,194436,194436,,
2014W29,174623,174623,,
2014W30,187684,187684,,
2014W31,156725,156725,,
2014W32,187977,187977,,
2014W33,195165,195165,,
2014W34,192193,192193,,
2014W35,410942,410942,,
2014W36,443483,443483,,
2014W37,266151,266151,,
2014W38,244010,244010,,
2014W39,307261,253165,54093,3
2014W40,286849,242767,44082,0
2014W41,294534,244442,50092,0
2014W42,304398,251383,53013,2
2014W43,355856,297099,58756,1
2014W44,228447,129226,99210,11
2014W45,347906,276863,71043,0
2014W46,271986,222818,49166,2
2014W47,307111,246526,60585,0
2014W48,306097,243470,62627,0
2014W49,297088,241001,56079,8
2014W50,276223,232898,43325,0
2014W51,269422,228983,40439,0
2014W52,260814,224696,36116,2
2015W01,380387,343327,37060,0
2015W02,302829,260726,42103,0
2015W03,299978,255096,44882,0
2015W04,283243,234991,48249,3
2015W05,300174,248081,52091,2
2015W06,493216,435079,58136,1
2015W07,319154,258733,60420,1
2015W08,301859,245086,56772,1
2015W09,331134,268013,63121,0
2015W10,455650,399191,56459,0
2015W11,277934,235734,42200,0
2015W12,254287,213862,40425,0
2015W13,261641,220322,41319,0
2015W14,275091,224050,51041,0
2015W15,352893,304941,47952,0
2015W16,300806,258124,42682,0
2015W17,346387,284214,62171,2
2015W18,309307,257700,51607,0
2015W19,362820,308363,54457,0
2015W20,348793,288392,60394,7
