Date,Total,Desktop site,Mobile site,Zero site
2008W01,24665,24665,,
2008W02,26581,26581,,
2008W03,25570,25570,,
2008W04,24953,24953,,
2008W05,24192,24192,,
2008W06,24008,24008,,
2008W07,21503,21503,,
2008W08,25464,25464,,
2008W09,23227,23227,,
2008W10,23234,23234,,
2008W11,28411,28411,,
2008W12,26371,26371,,
2008W13,25783,25783,,
2008W14,30857,30857,,
2008W15,31415,31415,,
2008W16,28470,28470,,
2008W17,25837,25837,,
2008W18,28045,28045,,
2008W19,27225,27225,,
2008W20,28171,28171,,
2008W21,26708,26708,,
2008W22,30306,30306,,
2008W23,23450,23450,,
2008W24,26383,26383,,
2008W25,23317,23317,,
2008W26,27195,27195,,
2008W27,26897,26897,,
2008W28,22119,22119,,
2008W29,22294,22294,,
2008W30,23074,23074,,
2008W31,21726,21726,,
2008W32,20316,20316,,
2008W33,22435,22435,,
2008W34,24253,24253,,
2008W35,23017,23017,,
2008W36,18449,18449,,
2008W37,19841,19841,,
2008W38,22695,22695,,
2008W39,19881,19881,,
2008W40,21372,21372,,
2008W41,22855,22855,,
2008W42,22947,22947,,
2008W43,21124,21124,,
2008W44,21639,21639,,
2008W45,22471,22471,,
2008W46,27524,27524,,
2008W47,25342,25342,,
2008W48,25757,25757,,
2008W49,25650,25650,,
2008W50,21209,21209,,
2008W51,40228,40228,,
2008W52,24227,24227,,
2009W01,29805,29805,,
2009W02,22904,22904,,
2009W03,23649,23649,,
2009W04,24612,24612,,
2009W05,25040,25040,,
2009W06,19467,19467,,
2009W07,18489,18489,,
2009W08,19362,19362,,
2009W09,20854,20854,,
2009W10,19409,19409,,
2009W11,24158,24158,,
2009W12,27552,27552,,
2009W13,24729,24729,,
2009W14,29362,29362,,
2009W15,21416,21416,,
2009W16,21485,21485,,
2009W17,13087,13087,,
2009W18,13490,13490,,
2009W19,17292,17292,,
2009W20,14825,14825,,
2009W21,15803,15803,,
2009W22,24429,24429,,
2009W23,18828,18828,,
2009W24,27265,27265,,
2009W25,22746,22746,,
2009W26,15870,15870,,
2009W27,17016,17016,,
2009W28,12992,12992,,
2009W29,15918,15918,,
2009W30,14169,14169,,
2009W31,15376,15376,,
2009W32,19640,19640,,
2009W33,21682,21682,,
2009W34,23805,23805,,
2009W35,17162,17162,,
2009W36,20336,20336,,
