Date,Total,Desktop site,Mobile site,Zero site
2008W01,893894,893894,,
2008W02,1057541,1057541,,
2008W03,1172653,1172653,,
2008W04,1185568,1185568,,
2008W05,1133005,1133005,,
2008W06,1027422,1027422,,
2008W07,1047907,1047907,,
2008W08,1130630,1130630,,
2008W09,1161121,1161121,,
2008W10,1057534,1057534,,
2008W11,1090531,1090531,,
2008W12,973385,973385,,
2008W13,1186211,1186211,,
2008W14,1152570,1152570,,
2008W15,1353816,1353816,,
2008W16,1157517,1157517,,
2008W17,1175422,1175422,,
2008W18,1197454,1197454,,
2008W19,1323139,1323139,,
2008W20,1450357,1450357,,
2008W21,1470005,1470005,,
2008W22,1554493,1554493,,
2008W23,1600992,1600992,,
2008W24,1491618,1491618,,
2008W25,1453855,1453855,,
2008W26,1325850,1325850,,
2008W27,1339431,1339431,,
2008W28,1053564,1053564,,
2008W29,971648,971648,,
2008W30,982779,982779,,
2008W31,982692,982692,,
2008W32,974470,974470,,
2008W33,1000454,1000454,,
2008W34,1010974,1010974,,
2008W35,1177290,1177290,,
2008W36,1112558,1112558,,
2008W37,1303111,1303111,,
2008W38,1496367,1496367,,
2008W39,1336437,1336437,,
2008W40,1328808,1328808,,
2008W41,1551676,1551676,,
2008W42,1414721,1414721,,
2008W43,1293576,1293576,,
2008W44,1319972,1319972,,
2008W45,1303102,1303102,,
2008W46,1398588,1398588,,
2008W47,1378681,1378681,,
2008W48,1276744,1276744,,
2008W49,1381389,1381389,,
2008W50,1164720,1164720,,
2008W51,1162334,1162334,,
2008W52,1120865,1120865,,
2009W01,1223552,1223552,,
2009W02,1266146,1266146,,
2009W03,1503854,1503854,,
2009W04,1493388,1493388,,
2009W05,1457539,1457539,,
2009W06,1313207,1313207,,
2009W07,1257818,1257818,,
2009W08,1314117,1314117,,
2009W09,3020105,3020105,,
2009W10,1570729,1570729,,
2009W11,1619529,1619529,,
2009W12,1500707,1500707,,
2009W13,1356458,1356458,,
2009W14,1284433,1284433,,
2009W15,1161230,1161230,,
2009W16,1257350,1257350,,
2009W17,1176439,1176439,,
2009W18,1213694,1213694,,
2009W19,1131480,1131480,,
2009W20,1264056,1264056,,
2009W21,1195159,1195159,,
2009W22,1286556,1286556,,
2009W23,1195810,1195810,,
2009W24,1218756,1218756,,
2009W25,1158452,1158452,,
2009W26,1112887,1112887,,
2009W27,1076820,1076820,,
2009W28,1087369,1087369,,
2009W29,1250929,1250929,,
2009W30,1143712,1143712,,
2009W31,1099630,1099630,,
2009W32,1057855,1057855,,
2009W33,1187854,1187854,,
2009W34,1301461,1301461,,
2009W35,1304113,1304113,,
2009W36,1324335,1324335,,
2009W37,1554646,1554646,,
2009W38,1707232,1707232,,
2009W39,1452538,1452538,,
2009W40,1502944,1502944,,
2009W41,1461999,1461999,,
2009W42,1442085,1442085,,
2009W43,1517043,1517043,,
2009W44,1516768,1516768,,
2009W45,1570334,1570334,,
2009W46,1631077,1631077,,
2009W47,1779022,1779022,,
2010W30,1162558,1162558,,
2010W31,1287062,1287062,,
2010W32,1310365,1310365,,
2010W33,1258408,1258408,,
2010W34,1174097,1174097,,
2010W35,1404658,1404658,,
2010W36,1917974,1917974,,
2010W37,1447585,1447585,,
2010W38,1357500,1357500,,
2010W39,1522215,1522215,,
2010W40,1668458,1668458,,
2010W41,1824165,1824165,,
2010W42,1618930,1618930,,
2010W43,1482587,1482587,,
2010W44,1508066,1508066,,
2010W45,1498850,1498850,,
2010W46,1518047,1518047,,
2010W47,1646818,1646818,,
2010W48,1586545,1586545,,
2010W49,1694851,1694851,,
2010W50,1413827,1413827,,
2010W51,1150429,1150429,,
2010W52,1523814,1523814,,
2011W01,1427724,1427724,,
2011W02,1527087,1527087,,
2011W03,1517828,1517828,,
2011W04,1593801,1593801,,
2011W05,1608509,1608509,,
2011W06,1746830,1746830,,
2011W07,1930978,1930978,,
2011W08,1823781,1823781,,
2011W09,1895654,1895654,,
2011W10,1999709,1999709,,
2011W11,1973188,1973188,,
2011W12,2233883,2233883,,
2011W13,3043923,3043923,,
2011W14,2311835,2311835,,
2011W15,2152917,2152917,,
2011W16,1914125,1914125,,
2011W17,2165670,2165670,,
2011W18,2379464,2379464,,
2011W19,1846097,1846097,,
2011W20,2200657,2200657,,
2011W21,2050933,2050933,,
2011W22,2051142,2051142,,
2011W23,1859371,1859371,,
2011W24,1718227,1718227,,
2011W25,1613590,1613590,,
2011W26,1676323,1676323,,
2011W27,1590971,1590971,,
2011W28,1539593,1539593,,
2011W29,1614885,1614885,,
2011W30,1631301,1631301,,
2011W31,1933803,1933803,,
2011W32,2002387,2002387,,
2011W33,1851528,1851528,,
2011W34,1618738,1618738,,
2011W35,1586522,1586522,,
2011W36,1802558,1802558,,
2011W37,2154240,2154240,,
2011W38,2032675,2032675,,
2011W39,2085875,2085875,,
2011W40,2299643,2299643,,
2011W41,2210677,2210677,,
2011W42,2056135,2056135,,
2011W43,2109259,2109259,,
2011W44,2228238,2228238,,
2011W45,2198766,2198766,,
2011W46,2179576,2179576,,
2011W47,2030622,2030622,,
2011W48,2164597,2164597,,
2011W49,2135195,2135195,,
2011W50,2046243,2046243,,
2011W51,1882427,1882427,,
2011W52,1777760,1777760,,
2012W01,2615586,2615586,,
2012W02,2471691,2471691,,
2012W03,2487628,2487628,,
2012W04,2240464,2240464,,
2012W05,2546625,2546625,,
2012W06,2428363,2428363,,
2012W07,2216685,2216685,,
2012W08,2637358,2637358,,
2012W09,2453980,2453980,,
2012W10,2541392,2541392,,
2012W11,2357352,2357352,,
2012W12,2297836,2297836,,
2012W13,2425495,2425495,,
2012W14,2239758,2239758,,
2012W15,2990289,2990289,,
2012W16,2720479,2720479,,
2012W17,4364997,4364997,,
2012W18,4073024,4073024,,
2012W19,3776928,3776928,,
2012W20,2583218,2583218,,
2012W21,2639009,2639009,,
2012W22,3278144,3278144,,
2012W23,2810498,2810498,,
2012W24,2464234,2464234,,
2012W25,2369072,2369072,,
2012W26,2204716,2204716,,
2012W27,2364837,2364837,,
2012W28,2267772,2267772,,
2012W29,2417060,2417060,,
2012W30,2274912,2274912,,
2012W31,2240926,2240926,,
2012W32,2219283,2219283,,
2012W33,2315537,2315537,,
2012W34,2943804,2943804,,
2012W35,3024030,3024030,,
2012W36,3210008,3210008,,
2012W37,2609304,2609304,,
2012W38,2808054,2808054,,
2012W39,2754146,2754146,,
2012W40,2651644,2651644,,
2012W41,2934990,2934990,,
2012W42,2852011,2852011,,
2012W43,2796050,2796050,,
2012W44,3029693,3029693,,
2012W45,3168313,3168313,,
2012W46,3017353,3017353,,
2012W47,2779403,2779403,,
2012W48,2799811,2799811,,
2012W49,2732559,2732559,,
2012W50,2785632,2785632,,
2012W51,2849093,2849093,,
2012W52,2435427,2435427,,
2013W01,2553834,2553834,,
2013W02,3027913,3027913,,
2013W03,3411557,3411557,,
2013W04,3392353,3392353,,
2013W05,3377407,3377407,,
2013W06,3221876,3221876,,
2013W07,2952949,2952949,,
2013W08,2766815,2766815,,
2013W09,2962136,2962136,,
2013W10,2956382,2956382,,
2013W11,3070647,3070647,,
2013W12,3802026,3802026,,
2013W13,3864786,3864786,,
2013W14,19985254,19985254,,
2013W15,8565291,8565291,,
2013W16,3287814,3287814,,
2013W17,3033852,3033852,,
2013W18,5443915,5443915,,
2013W19,4766790,4766790,,
2013W20,4172589,4172589,,
2013W21,4544525,4544525,,
2013W22,2993716,2993716,,
2013W23,3017950,3017950,,
2013W24,2747392,2747392,,
2013W25,2890093,2890093,,
2013W26,3353563,3353563,,
2013W27,2725599,2725599,,
2013W28,3102037,3102037,,
2013W29,3053108,3053108,,
2013W30,2488280,2488280,,
2013W31,2654282,2654282,,
2013W32,2930808,2930808,,
2013W33,2840826,2840826,,
2013W34,2346968,2346968,,
2013W35,2301343,2301343,,
2013W36,2682414,2682414,,
2013W37,2651279,2651279,,
2013W38,2722063,2722063,,
2013W39,2658616,2658616,,
2013W40,2882530,2882530,,
2013W41,3111214,3111214,,
