Date,Total,Desktop site,Mobile site,Zero site
2008W01,0,0,,
2008W02,0,0,,
2008W03,0,0,,
2008W04,0,0,,
2008W05,0,0,,
2008W06,0,0,,
2008W07,0,0,,
2008W08,0,0,,
2008W09,0,0,,
2008W10,0,0,,
2008W11,0,0,,
2008W12,0,0,,
2008W13,0,0,,
2008W14,0,0,,
2008W15,0,0,,
2008W16,0,0,,
2008W17,0,0,,
2008W18,0,0,,
2008W19,0,0,,
2008W20,0,0,,
2008W21,0,0,,
2008W22,7893,7893,,
2008W23,16775,16775,,
2008W24,14566,14566,,
2008W25,11314,11314,,
2008W26,15683,15683,,
2008W27,19343,19343,,
2008W28,13703,13703,,
2008W29,8827,8827,,
2008W30,5217,5217,,
2008W31,4559,4559,,
2008W32,4813,4813,,
2008W33,5108,5108,,
2008W34,5016,5016,,
2008W35,5220,5220,,
2008W36,4917,4917,,
2008W37,4459,4459,,
2008W38,4817,4817,,
2008W39,5602,5602,,
2008W40,6357,6357,,
2008W41,6557,6557,,
2008W42,6609,6609,,
2008W43,5955,5955,,
2008W44,5822,5822,,
2008W45,5821,5821,,
2008W46,8905,8905,,
2008W47,7128,7128,,
2008W48,6233,6233,,
2008W49,7079,7079,,
2008W50,7345,7345,,
2008W51,13280,13280,,
2008W52,10915,10915,,
2009W01,15550,15550,,
2009W02,11038,11038,,
2009W03,12354,12354,,
2009W04,10709,10709,,
2009W05,10626,10626,,
2009W06,10672,10672,,
2009W07,9135,9135,,
2009W08,10017,10017,,
2009W09,9799,9799,,
2009W10,10734,10734,,
2009W11,11040,11040,,
2009W12,12994,12994,,
2009W13,12537,12537,,
2009W14,12523,12523,,
2009W15,11476,11476,,
2009W16,14217,14217,,
2009W17,6213,6213,,
2009W18,6779,6779,,
2009W19,8335,8335,,
2009W20,7655,7655,,
2009W21,6792,6792,,
2009W22,9345,9345,,
2009W23,12003,12003,,
2009W24,15092,15092,,
2009W25,26222,26222,,
2009W26,20328,20328,,
2009W27,17392,17392,,
2009W28,11886,11886,,
2009W29,20304,20304,,
2009W30,20979,20979,,
2009W31,24857,24857,,
2009W32,34977,34977,,
2009W33,22218,22218,,
2009W34,18073,18073,,
2009W35,9745,9745,,
2009W36,12302,12302,,
2009W37,10101,10101,,
2009W38,12227,12227,,
2009W39,11170,11170,,
2009W40,11946,11946,,
2009W41,15452,15452,,
2009W42,16665,16665,,
2009W43,17086,17086,,
2009W44,17398,17398,,
2009W45,19428,19428,,
2009W46,16959,16959,,
2009W47,16649,16649,,
2010W30,13744,13744,,
2010W31,11192,11192,,
2010W32,11138,11138,,
2010W33,9788,9788,,
2010W34,10773,10773,,
2010W35,12846,12846,,
2010W36,12420,12420,,
2010W37,10870,10870,,
2010W38,13733,13733,,
2010W39,10289,10289,,
2010W40,13922,13922,,
2010W41,11756,11756,,
2010W42,12384,12384,,
2010W43,12970,12970,,
2010W44,14210,14210,,
2010W45,18559,18559,,
2010W46,11621,11621,,
2010W47,15893,15893,,
2010W48,14432,14432,,
2010W49,17176,17176,,
2010W50,14622,14622,,
2010W51,14769,14769,,
2010W52,15161,15161,,
2011W01,12429,12429,,
2011W02,19989,19989,,
2011W03,14388,14388,,
2011W04,14559,14559,,
2011W05,16947,16947,,
2011W06,14555,14555,,
2011W07,16298,16298,,
2011W08,16548,16548,,
2011W09,15229,15229,,
2011W10,17577,17577,,
2011W11,16817,16817,,
2011W12,15666,15666,,
2011W13,17863,17863,,
2011W14,19871,19871,,
2011W15,17547,17547,,
2011W16,14605,14605,,
2011W17,17055,17055,,
2011W18,15856,15856,,
2011W19,13470,13470,,
2011W20,12354,12354,,
2011W21,13106,13106,,
2011W22,16018,16018,,
2011W23,14902,14902,,
2011W24,14851,14851,,
2011W25,14766,14766,,
2011W26,15703,15703,,
2011W27,16376,16376,,
2011W28,18732,18732,,
2011W29,16459,16459,,
2011W30,16381,16381,,
2011W31,17139,17139,,
2011W32,18191,18191,,
2011W33,24232,24232,,
2011W34,16657,16657,,
2011W35,20125,20125,,
2011W36,15731,15731,,
2011W37,17109,17109,,
2011W38,21786,21786,,
2011W39,20417,20417,,
2011W40,22836,22836,,
2011W41,22044,22044,,
2011W42,22295,22295,,
2011W43,15562,15562,,
2011W44,15404,15404,,
2011W45,13795,13795,,
2011W46,18095,18095,,
2011W47,15884,15884,,
2011W48,16956,16956,,
2011W49,15908,15908,,
2011W50,19447,19447,,
2011W51,20030,20030,,
2011W52,17455,17455,,
2012W01,14278,14278,,
2012W02,15626,15626,,
2012W03,13411,13411,,
2012W04,15779,15779,,
2012W05,16591,16591,,
2012W06,16220,16220,,
2012W07,14867,14867,,
2012W08,17213,17213,,
2012W09,23976,23976,,
2012W10,22770,22770,,
2012W11,17200,17200,,
2012W12,15893,15893,,
2012W13,19755,19755,,
2012W14,17600,17600,,
2012W15,16318,16318,,
2012W16,16886,16886,,
2012W17,14881,14881,,
2012W18,23787,23787,,
2012W19,19275,19275,,
2012W20,17801,17801,,
2012W21,24174,24174,,
2012W22,18433,18433,,
2012W23,20044,20044,,
2012W24,23769,23769,,
2012W25,18143,18143,,
2012W26,16252,16252,,
2012W27,19003,19003,,
2012W28,21885,21885,,
2012W29,16847,16847,,
2012W30,18238,18238,,
2012W31,18758,18758,,
2012W32,18326,18326,,
2012W33,18219,18219,,
2012W34,19114,19114,,
2012W35,18345,18345,,
2012W36,21525,21525,,
2012W37,17949,17949,,
2012W38,20304,20304,,
2012W39,20326,20326,,
2012W40,23380,23380,,
2012W41,20045,20045,,
2012W42,28969,28969,,
2012W43,22264,22264,,
2012W44,21687,21687,,
2012W45,20676,20676,,
2012W46,19610,19610,,
2012W47,18810,18810,,
2012W48,23762,23762,,
2012W49,17744,17744,,
2012W50,22715,22715,,
2012W51,39152,39152,,
2012W52,20044,20044,,
2013W01,19099,19099,,
2013W02,23915,23915,,
2013W03,23156,23156,,
2013W04,24016,24016,,
2013W05,26352,26352,,
2013W06,22528,22528,,
2013W07,21405,21405,,
2013W08,17484,17484,,
2013W09,17741,17741,,
2013W10,21514,21514,,
2013W11,21732,21732,,
2013W12,19152,19152,,
2013W13,18710,18710,,
2013W14,16329,16329,,
2013W15,16746,16746,,
2013W16,20191,20191,,
2013W17,17085,17085,,
2013W18,18826,18826,,
2013W19,14977,14977,,
2013W20,19397,19397,,
2013W21,24144,24144,,
2013W22,16569,16569,,
2013W23,21393,21393,,
2013W24,20622,20622,,
2013W25,20881,20881,,
2013W26,19639,19639,,
2013W27,19947,19947,,
2013W28,17860,17860,,
2013W29,19481,19481,,
2013W30,22303,22303,,
2013W31,31660,31660,,
2013W32,38651,38651,,
2013W33,24027,24027,,
2013W34,19896,19896,,
2013W35,17622,17622,,
2013W36,16738,16738,,
2013W37,21653,21653,,
2013W38,18946,18946,,
2013W39,17614,17614,,
2013W40,17038,17038,,
2013W41,17874,17874,,
2013W42,18226,18226,,
2013W43,23701,23701,,
2013W44,20611,20611,,
2013W45,16866,16866,,
2013W46,14904,14904,,
2013W47,15988,15988,,
2013W48,16454,16454,,
2013W49,13865,13865,,
2013W50,19133,19133,,
2013W51,19322,19322,,
2013W52,13371,13371,,
2014W01,17962,17962,,
2014W02,16370,16370,,
2014W03,17451,17451,,
2014W04,20163,20163,,
2014W05,16376,16376,,
2014W06,19155,19155,,
2014W07,21579,21579,,
2014W08,16896,16896,,
2014W09,20064,20064,,
2014W10,16146,16146,,
2014W11,21140,21140,,
2014W12,21969,21969,,
2014W13,24275,24275,,
2014W14,22668,22668,,
2014W15,18980,18980,,
2014W16,18298,18298,,
2014W17,25355,25355,,
2014W18,19703,19703,,
2014W19,20186,20186,,
2014W20,19144,19144,,
2014W21,18169,18169,,
2014W22,20652,20652,,
2014W23,22974,22974,,
2014W24,32776,32776,,
2014W25,23970,23970,,
2014W26,26847,26847,,
2014W27,24533,24533,,
2014W28,23001,23001,,
2014W29,29099,29099,,
2014W30,23607,23607,,
2014W31,21694,21694,,
2014W32,26280,26280,,
2014W33,24605,24605,,
2014W34,21472,21472,,
2014W35,23076,23076,,
2014W36,25701,25701,,
2014W37,20285,20285,,
2014W38,16469,16469,,
2014W39,31015,26916,4084,15
2014W40,25361,21082,4271,8
2014W41,26351,24233,2116,2
2014W42,38460,36230,2227,3
2014W43,29218,26662,2554,2
2014W44,19229,16969,2259,1
2014W45,19368,17839,1528,1
2014W46,29933,28101,1825,7
2014W47,24927,21642,3276,9
2014W48,20736,17733,2992,11
2014W49,25459,21050,4397,12
2014W50,25471,21289,4169,13
2014W51,23888,18780,5083,25
2014W52,22430,18556,3865,9
2015W01,21704,18557,3139,8
2015W02,20683,18382,2294,7
2015W03,23111,20679,2422,10
2015W04,31080,28363,2716,1
2015W05,32828,30087,2740,1
2015W06,23543,21033,2506,4
2015W07,25307,23289,2014,4
2015W08,30284,27775,2505,4
2015W09,36179,33680,2492,7
2015W10,35879,33151,2722,6
2015W11,31120,26027,5088,5
2015W12,35936,33200,2729,7
2015W13,26445,24558,1886,1
2015W14,35199,31871,3314,14
2015W15,33259,29457,3790,12
2015W16,33568,30914,2649,5
2015W17,32171,28821,3335,15
2015W18,32624,29210,3388,26
2015W19,35256,31224,4015,17
2015W20,30184,24895,5280,9
2015W21,34255,31219,3030,6
