Date,Total,Desktop site,Mobile site,Zero site
2008W01,0,0,,
2008W02,0,0,,
2008W03,0,0,,
2008W04,0,0,,
2008W05,0,0,,
2008W06,0,0,,
2008W07,0,0,,
2008W08,0,0,,
2008W09,0,0,,
2008W10,0,0,,
2008W11,0,0,,
2008W12,0,0,,
2008W13,0,0,,
2008W14,0,0,,
2008W15,0,0,,
2008W16,0,0,,
2008W17,0,0,,
2008W18,0,0,,
2008W19,0,0,,
2008W20,12741,12741,,
2008W21,66703,66703,,
2008W22,59032,59032,,
2008W23,52345,52345,,
2008W24,61198,61198,,
2008W25,75058,75058,,
2008W26,68274,68274,,
2008W27,59818,59818,,
2008W28,44457,44457,,
2008W29,43142,43142,,
2008W30,36960,36960,,
2008W31,37754,37754,,
2008W32,41007,41007,,
2008W33,38837,38837,,
2008W34,33091,33091,,
2008W35,37733,37733,,
2008W36,24814,24814,,
2008W37,35797,35797,,
2008W38,27418,27418,,
2008W39,28682,28682,,
2008W40,37355,37355,,
2008W41,36965,36965,,
2008W42,35742,35742,,
2008W43,31844,31844,,
2008W44,39650,39650,,
2008W45,35248,35248,,
2008W46,33264,33264,,
2008W47,27552,27552,,
2008W48,34216,34216,,
2008W49,31960,31960,,
2008W50,28630,28630,,
2008W51,49201,49201,,
2008W52,36976,36976,,
2009W01,43172,43172,,
2009W02,35648,35648,,
2009W03,42310,42310,,
2009W04,35289,35289,,
2009W05,34584,34584,,
2009W06,32151,32151,,
2009W07,29577,29577,,
2009W08,34621,34621,,
2009W09,37630,37630,,
2009W10,37858,37858,,
2009W11,43394,43394,,
2009W12,43360,43360,,
2009W13,47197,47197,,
2009W14,38027,38027,,
2009W15,42665,42665,,
2009W16,38271,38271,,
2009W17,25583,25583,,
2009W18,29641,29641,,
2009W19,27317,27317,,
2009W20,32810,32810,,
2009W21,30565,30565,,
2009W22,35070,35070,,
2009W23,30080,30080,,
2009W24,37170,37170,,
2009W25,33392,33392,,
2009W26,27224,27224,,
2009W27,21674,21674,,
2009W28,24403,24403,,
2009W29,28926,28926,,
2009W30,33470,33470,,
2009W31,31215,31215,,
2009W32,27819,27819,,
2009W33,36385,36385,,
2009W34,53589,53589,,
2009W35,37195,37195,,
2009W36,40144,40144,,
2009W37,33981,33981,,
2009W38,49584,49584,,
2009W39,59529,59529,,
2009W40,77045,77045,,
2009W41,80679,80679,,
2009W42,66181,66181,,
2009W43,73447,73447,,
2009W44,77893,77893,,
2009W45,66484,66484,,
2009W46,68911,68911,,
2009W47,59892,59892,,
2010W30,21095,21095,,
2010W31,20954,20954,,
2010W32,17439,17439,,
2010W33,18857,18857,,
2010W34,15913,15913,,
2010W35,17399,17399,,
2010W36,24587,24587,,
2010W37,18759,18759,,
2010W38,18622,18622,,
2010W39,17359,17359,,
2010W40,14840,14840,,
2010W41,14895,14895,,
2010W42,24444,24444,,
2010W43,25540,25540,,
2010W44,24820,24820,,
2010W45,18278,18278,,
2010W46,16792,16792,,
2010W47,21481,21481,,
2010W48,25585,25585,,
2010W49,26476,26476,,
2010W50,22323,22323,,
2010W51,16247,16247,,
2010W52,15892,15892,,
2011W01,15832,15832,,
2011W02,18989,18989,,
2011W03,19587,19587,,
2011W04,17003,17003,,
2011W05,19191,19191,,
2011W06,22167,22167,,
2011W07,30311,30311,,
2011W08,15110,15110,,
2011W09,16463,16463,,
2011W10,20173,20173,,
2011W11,20780,20780,,
2011W12,16228,16228,,
2011W13,15242,15242,,
2011W14,15250,15250,,
2011W15,14305,14305,,
2011W16,14857,14857,,
2011W17,18263,18263,,
2011W18,17092,17092,,
2011W19,14792,14792,,
2011W20,14716,14716,,
2011W21,13305,13305,,
2011W22,36041,36041,,
2011W23,19851,19851,,
2011W24,15062,15062,,
2011W25,13501,13501,,
2011W26,14607,14607,,
2011W27,20591,20591,,
2011W28,18751,18751,,
2011W29,20042,20042,,
2011W30,14967,14967,,
2011W31,14492,14492,,
2011W32,15822,15822,,
2011W33,19680,19680,,
2011W34,16508,16508,,
2011W35,15953,15953,,
2011W36,16967,16967,,
2011W37,18051,18051,,
2011W38,16025,16025,,
2011W39,17591,17591,,
2011W40,33477,33477,,
2011W41,49892,49892,,
2011W42,37758,37758,,
2011W43,30369,30369,,
2011W44,32324,32324,,
2011W45,28146,28146,,
2011W46,19841,19841,,
2011W47,18609,18609,,
2011W48,16822,16822,,
2011W49,16878,16878,,
2011W50,23393,23393,,
2011W51,18193,18193,,
2011W52,26586,26586,,
2012W01,15993,15993,,
2012W02,23128,23128,,
2012W03,18971,18971,,
2012W04,23488,23488,,
2012W05,22160,22160,,
2012W06,17153,17153,,
2012W07,16311,16311,,
2012W08,19236,19236,,
2012W09,17866,17866,,
2012W10,18733,18733,,
2012W11,18050,18050,,
2012W12,14710,14710,,
2012W13,27734,27734,,
2012W14,21080,21080,,
2012W15,23771,23771,,
2012W16,15903,15903,,
2012W17,17660,17660,,
2012W18,16474,16474,,
2012W19,20529,20529,,
2012W20,20180,20180,,
2012W21,21094,21094,,
2012W22,21036,21036,,
2012W23,25025,25025,,
2012W24,20739,20739,,
2012W25,19841,19841,,
2012W26,23860,23860,,
2012W27,16734,16734,,
2012W28,17911,17911,,
2012W29,17688,17688,,
2012W30,19500,19500,,
2012W31,17962,17962,,
2012W32,17508,17508,,
2012W33,19757,19757,,
2012W34,35232,35232,,
2012W35,35142,35142,,
2012W36,26859,26859,,
2012W37,28973,28973,,
2012W38,18504,18504,,
2012W39,15619,15619,,
2012W40,17751,17751,,
2012W41,12251,12251,,
2012W42,22468,22468,,
2012W43,20374,20374,,
2012W44,35214,35214,,
2012W45,22480,22480,,
2012W46,21303,21303,,
2012W47,21769,21769,,
2012W48,24024,24024,,
2012W49,24145,24145,,
2012W50,20511,20511,,
2012W51,28914,28914,,
2012W52,26565,26565,,
2013W01,25359,25359,,
2013W02,31033,31033,,
2013W03,33956,33956,,
2013W04,23224,23224,,
2013W05,23337,23337,,
2013W06,25484,25484,,
2013W07,22309,22309,,
2013W08,23144,23144,,
2013W09,26743,26743,,
2013W10,24664,24664,,
2013W11,26509,26509,,
2013W12,23150,23150,,
2013W13,30072,30072,,
2013W14,24992,24992,,
2013W15,24146,24146,,
2013W16,30365,30365,,
2013W17,26015,26015,,
2013W18,30888,30888,,
2013W19,29139,29139,,
2013W20,31057,31057,,
2013W21,26869,26869,,
2013W22,28426,28426,,
2013W23,26332,26332,,
2013W24,24330,24330,,
2013W25,26142,26142,,
2013W26,31307,31307,,
2013W27,31499,31499,,
2013W28,35326,35326,,
2013W29,33604,33604,,
2013W30,36369,36369,,
2013W31,33031,33031,,
2013W32,31455,31455,,
2013W33,42778,42778,,
2013W34,32020,32020,,
2013W35,30220,30220,,
2013W36,28108,28108,,
2013W37,26307,26307,,
2013W38,28854,28854,,
2013W39,30643,30643,,
2013W40,32597,32597,,
2013W41,28763,28763,,
2013W42,37735,37735,,
2013W43,35350,35350,,
2013W44,31815,31815,,
2013W45,35810,35810,,
2013W46,33481,33481,,
2013W47,28549,28549,,
2013W48,28092,28092,,
2013W49,37451,37451,,
2013W50,41461,41461,,
2013W51,29741,29741,,
2013W52,26583,26583,,
2014W01,21285,21285,,
2014W02,17543,17543,,
2014W03,25713,25713,,
2014W04,29978,29978,,
2014W05,22490,22490,,
2014W06,24210,24210,,
2014W07,33992,33992,,
2014W08,24582,24582,,
2014W09,23674,23674,,
2014W10,22707,22707,,
2014W11,23313,23313,,
2014W12,28401,28401,,
2014W13,20514,20514,,
2014W14,21045,21045,,
2014W15,16315,16315,,
2014W16,19785,19785,,
2014W17,13097,13097,,
2014W18,21173,21173,,
2014W19,18040,18040,,
2014W20,20905,20905,,
2014W21,25250,25250,,
2014W22,20132,20132,,
2014W23,19808,19808,,
2014W24,19573,19573,,
2014W25,19869,19869,,
2014W26,19288,19288,,
2014W27,22654,22654,,
2014W28,23560,23560,,
2014W29,25951,25951,,
2014W30,19114,19114,,
2014W31,17614,17614,,
2014W32,26627,26627,,
2014W33,23750,23750,,
2014W34,20146,20146,,
2014W35,28595,28595,,
2014W36,22754,22754,,
2014W37,16656,16656,,
2014W38,21153,21153,,
2014W39,28235,25006,3229,0
2014W40,25679,21061,4618,0
2014W41,23923,22112,1811,0
2014W42,28631,25807,2824,0
2014W43,23021,21031,1990,0
2014W44,16084,13993,2091,0
2014W45,39543,37512,2031,0
2014W46,36107,27896,8211,0
2014W47,28504,25563,2941,0
2014W48,29290,24187,5103,0
2014W49,27618,21815,5803,0
2014W50,27142,22320,4822,0
2014W51,27652,23407,4245,0
2014W52,20836,18092,2744,0
2015W01,25423,18398,7025,0
2015W02,33913,21817,12096,0
2015W03,31158,21782,9376,0
2015W04,33297,22860,10437,0
2015W05,37702,22004,15698,0
2015W06,48932,39143,9789,0
2015W07,29214,23797,5417,0
2015W08,20523,17184,3339,0
2015W09,27208,19983,7225,0
2015W10,40121,37396,2725,0
2015W11,24810,23495,1315,0
