Date,Total,Desktop site,Mobile site,Zero site
2008W01,0,0,,
2008W02,0,0,,
2008W03,0,0,,
2008W04,0,0,,
2008W05,0,0,,
2008W06,0,0,,
2008W07,0,0,,
2008W08,0,0,,
2008W09,0,0,,
2008W10,0,0,,
2008W11,0,0,,
2008W12,0,0,,
2008W13,0,0,,
2008W14,0,0,,
2008W15,0,0,,
2008W16,0,0,,
2008W17,0,0,,
2008W18,0,0,,
2008W19,0,0,,
2008W20,18,18,,
2008W21,68,68,,
2008W22,59,59,,
2008W23,85,85,,
2008W24,75,75,,
2008W25,63,63,,
2008W26,67,67,,
2008W27,87,87,,
2008W28,103,103,,
2008W29,67,67,,
2008W30,56,56,,
2008W31,71,71,,
2008W32,58,58,,
2008W33,75,75,,
2008W34,50,50,,
2008W35,77,77,,
2008W36,57,57,,
2008W37,68,68,,
2008W38,84,84,,
2008W39,89,89,,
2008W40,88,88,,
2008W41,106,106,,
2008W42,87,87,,
2008W43,82,82,,
2008W44,81,81,,
2008W45,145,145,,
2008W46,112,112,,
2008W47,61,61,,
2008W48,58,58,,
2008W49,32,32,,
2008W50,42,42,,
2008W51,51,51,,
2008W52,63,63,,
2009W01,67,67,,
2009W02,80,80,,
2009W03,85,85,,
2009W04,102,102,,
2009W05,45,45,,
2009W06,47,47,,
2009W07,38,38,,
2009W08,44,44,,
2009W09,62,62,,
2009W10,60,60,,
2009W11,48,48,,
2009W12,117,117,,
2009W13,129,129,,
2009W14,92,92,,
2009W15,95,95,,
2009W16,123,123,,
2009W17,58,58,,
2009W18,51,51,,
2009W19,63,63,,
2009W20,78,78,,
2009W21,97,97,,
2009W22,85,85,,
2009W23,94,94,,
2009W24,179,179,,
2009W25,187,187,,
2009W26,71,71,,
2009W27,84,84,,
2009W28,57,57,,
2009W29,84,84,,
2009W30,86,86,,
2009W31,79,79,,
2009W32,109,109,,
2009W33,9067,9067,,
2009W34,14441,14441,,
2009W35,11594,11594,,
2009W36,13114,13114,,
2009W37,13620,13620,,
2009W38,17270,17270,,
2009W39,21151,21151,,
2009W40,21128,21128,,
2009W41,23798,23798,,
2009W42,23451,23451,,
2009W43,19896,19896,,
2009W44,23510,23510,,
2009W45,25145,25145,,
2009W46,21670,21670,,
2009W47,17304,17304,,
2010W30,10007,10007,,
2010W31,12096,12096,,
2010W32,13579,13579,,
2010W33,11813,11813,,
2010W34,13243,13243,,
2010W35,14065,14065,,
2010W36,21763,21763,,
2010W37,10577,10577,,
2010W38,9909,9909,,
2010W39,8648,8648,,
2010W40,7243,7243,,
2010W41,13887,13887,,
2010W42,9041,9041,,
2010W43,11639,11639,,
2010W44,11481,11481,,
2010W45,9600,9600,,
2010W46,10855,10855,,
2010W47,18433,18433,,
2010W48,15291,15291,,
2010W49,17275,17275,,
2010W50,17794,17794,,
2010W51,10925,10925,,
2010W52,9637,9637,,
2011W01,10251,10251,,
2011W02,16339,16339,,
2011W03,11149,11149,,
2011W04,12287,12287,,
2011W05,12410,12410,,
2011W06,11571,11571,,
2011W07,19320,19320,,
2011W08,12535,12535,,
2011W09,11500,11500,,
2011W10,13550,13550,,
2011W11,11641,11641,,
2011W12,12752,12752,,
2011W13,17367,17367,,
2011W14,16301,16301,,
2011W15,14209,14209,,
2011W16,10683,10683,,
2011W17,12858,12858,,
2011W18,13893,13893,,
2011W19,9481,9481,,
2011W20,10195,10195,,
2011W21,8602,8602,,
2011W22,9787,9787,,
2011W23,15411,15411,,
2011W24,13885,13885,,
2011W25,13091,13091,,
2011W26,19556,19556,,
2011W27,15192,15192,,
2011W28,16647,16647,,
2011W29,16622,16622,,
2011W30,16049,16049,,
2011W31,16165,16165,,
2011W32,15382,15382,,
2011W33,28993,28993,,
2011W34,19555,19555,,
2011W35,16116,16116,,
2011W36,15615,15615,,
2011W37,16381,16381,,
2011W38,13236,13236,,
2011W39,12828,12828,,
2011W40,23310,23310,,
2011W41,28899,28899,,
2011W42,28987,28987,,
2011W43,25622,25622,,
2011W44,25652,25652,,
2011W45,18830,18830,,
2011W46,16626,16626,,
2011W47,13894,13894,,
2011W48,14347,14347,,
2011W49,17845,17845,,
2011W50,17031,17031,,
2011W51,20674,20674,,
2011W52,19814,19814,,
2012W01,21643,21643,,
2012W02,18945,18945,,
2012W03,14697,14697,,
2012W04,19131,19131,,
2012W05,18368,18368,,
2012W06,15728,15728,,
2012W07,13467,13467,,
2012W08,16630,16630,,
2012W09,15856,15856,,
2012W10,19027,19027,,
2012W11,16553,16553,,
2012W12,15922,15922,,
2012W13,24361,24361,,
2012W14,19370,19370,,
2012W15,19421,19421,,
2012W16,14259,14259,,
2012W17,13083,13083,,
2012W18,13509,13509,,
2012W19,15026,15026,,
2012W20,17451,17451,,
2012W21,19734,19734,,
2012W22,18276,18276,,
2012W23,17897,17897,,
2012W24,15769,15769,,
2012W25,14313,14313,,
2012W26,20867,20867,,
2012W27,17725,17725,,
2012W28,18079,18079,,
2012W29,16587,16587,,
2012W30,16718,16718,,
2012W31,18391,18391,,
2012W32,18781,18781,,
2012W33,23372,23372,,
2012W34,36659,36659,,
2012W35,30495,30495,,
2012W36,24120,24120,,
2012W37,28666,28666,,
2012W38,24023,24023,,
2012W39,20182,20182,,
2012W40,21819,21819,,
2012W41,19640,19640,,
2012W42,19532,19532,,
2012W43,19101,19101,,
2012W44,18116,18116,,
2012W45,20160,20160,,
2012W46,17278,17278,,
2012W47,21346,21346,,
2012W48,21193,21193,,
2012W49,30286,30286,,
2012W50,28521,28521,,
2012W51,25044,25044,,
2012W52,17683,17683,,
2013W01,21794,21794,,
2013W02,26655,26655,,
2013W03,22218,22218,,
2013W04,19291,19291,,
2013W05,18659,18659,,
2013W06,18952,18952,,
2013W07,15845,15845,,
2013W08,15936,15936,,
2013W09,18530,18530,,
2013W10,18133,18133,,
2013W11,20118,20118,,
2013W12,19131,19131,,
2013W13,14835,14835,,
2013W14,17462,17462,,
2013W15,16852,16852,,
2013W16,19480,19480,,
2013W17,17504,17504,,
2013W18,17831,17831,,
2013W19,16939,16939,,
2013W20,20099,20099,,
2013W21,20141,20141,,
2013W22,17909,17909,,
2013W23,24692,24692,,
2013W24,20196,20196,,
2013W25,32046,32046,,
2013W26,21319,21319,,
2013W27,21788,21788,,
2013W28,24872,24872,,
2013W29,25777,25777,,
2013W30,18387,18387,,
2013W31,17207,17207,,
2013W32,15440,15440,,
2013W33,22278,22278,,
2013W34,15581,15581,,
2013W35,17042,17042,,
2013W36,17014,17014,,
2013W37,13267,13267,,
2013W38,16652,16652,,
2013W39,14553,14553,,
2013W40,17974,17974,,
2013W41,16907,16907,,
2013W42,20227,20227,,
2013W43,22156,22156,,
2013W44,18717,18717,,
2013W45,16890,16890,,
2013W46,19921,19921,,
2013W47,17664,17664,,
2013W48,17489,17489,,
2013W49,23771,23771,,
2013W50,28325,28325,,
2013W51,19392,19392,,
2013W52,15562,15562,,
2014W01,16700,16700,,
2014W02,13959,13959,,
2014W03,20069,20069,,
2014W04,23136,23136,,
2014W05,17497,17497,,
2014W06,16082,16082,,
2014W07,22377,22377,,
2014W08,18874,18874,,
2014W09,15225,15225,,
2014W10,17466,17466,,
2014W11,18972,18972,,
2014W12,22404,22404,,
2014W13,20214,20214,,
2014W14,18331,18331,,
2014W15,15339,15339,,
2014W16,11546,11546,,
2014W17,14882,14882,,
2014W18,18524,18524,,
2014W19,19066,19066,,
2014W20,18500,18500,,
2014W21,23707,23707,,
2014W22,16327,16327,,
2014W23,15718,15718,,
2014W24,23549,23549,,
2014W25,16722,16722,,
2014W26,17360,17360,,
2014W27,17227,17227,,
2014W28,12166,12166,,
2014W29,23924,23924,,
2014W30,14614,14614,,
2014W31,14974,14974,,
2014W32,22702,22702,,
2014W33,17098,17098,,
2014W34,25705,25705,,
2014W35,25956,25956,,
2014W36,15897,15897,,
2014W37,12919,12919,,
2014W38,17126,17126,,
2014W39,24681,18978,5703,0
2014W40,19996,12192,7804,0
2014W41,16974,13551,3423,0
2014W42,20675,15057,5618,0
2014W43,17921,15077,2844,0
2014W44,16266,12350,3916,0
2014W45,45632,39618,6014,0
2014W46,23397,19204,4193,0
2014W47,24315,20170,4145,0
2014W48,26394,21468,4926,0
2014W49,22016,16376,5640,0
2014W50,22433,18041,4392,0
2014W51,26550,19895,6655,0
2014W52,19464,15421,4043,0
2015W01,29838,19061,10777,0
2015W02,32866,19974,12892,0
2015W03,28831,18804,10027,0
2015W04,35692,24364,11328,0
