Date,Total,Desktop site,Mobile site,Zero site
2008W01,0,0,,
2008W02,0,0,,
2008W03,0,0,,
2008W04,0,0,,
2008W05,0,0,,
2008W06,0,0,,
2008W07,0,0,,
2008W08,0,0,,
2008W09,0,0,,
2008W10,0,0,,
2008W11,0,0,,
2008W12,0,0,,
2008W13,0,0,,
2008W14,0,0,,
2008W15,0,0,,
2008W16,0,0,,
2008W17,0,0,,
2008W18,0,0,,
2008W19,0,0,,
2008W20,1176,1176,,
2008W21,5157,5157,,
2008W22,4979,4979,,
2008W23,3512,3512,,
2008W24,4984,4984,,
2008W25,4095,4095,,
2008W26,6049,6049,,
2008W27,5603,5603,,
2008W28,4489,4489,,
2008W29,4251,4251,,
2008W30,4129,4129,,
2008W31,4072,4072,,
2008W32,4887,4887,,
2008W33,3879,3879,,
2008W34,4355,4355,,
2008W35,4485,4485,,
2008W36,3144,3144,,
2008W37,3738,3738,,
2008W38,3995,3995,,
2008W39,4214,4214,,
2008W40,4236,4236,,
2008W41,4634,4634,,
2008W42,5039,5039,,
2008W43,2608,2608,,
2008W44,888,888,,
2008W45,770,770,,
2008W46,971,971,,
2008W47,1796,1796,,
2008W48,3162,3162,,
2008W49,1904,1904,,
2008W50,1238,1238,,
2008W51,1855,1855,,
2008W52,1854,1854,,
2009W01,2099,2099,,
2009W02,1574,1574,,
2009W03,1459,1459,,
2009W04,1926,1926,,
2009W05,2106,2106,,
2009W06,2633,2633,,
2009W07,2266,2266,,
2009W08,2169,2169,,
2009W09,2401,2401,,
2009W10,2799,2799,,
2009W11,2719,2719,,
2009W12,3330,3330,,
2009W13,4261,4261,,
2009W14,2561,2561,,
2009W15,3332,3332,,
2009W16,3457,3457,,
2009W17,2610,2610,,
2009W18,2500,2500,,
2009W19,3052,3052,,
2009W20,3101,3101,,
2009W21,3192,3192,,
2009W22,5340,5340,,
2009W23,4656,4656,,
2009W24,3882,3882,,
2009W25,3403,3403,,
2009W26,20009,20009,,
2009W27,5658,5658,,
2009W28,15225,15225,,
2009W29,13212,13212,,
2009W30,22860,22860,,
2009W31,23273,23273,,
2009W32,30368,30368,,
2009W33,30516,30516,,
2009W34,34295,34295,,
2009W35,22379,22379,,
2009W36,28923,28923,,
2009W37,32220,32220,,
2009W38,33192,33192,,
2009W39,26421,26421,,
2009W40,32857,32857,,
2009W41,27528,27528,,
2009W42,29246,29246,,
2009W43,27905,27905,,
2009W44,37512,37512,,
2009W45,30144,30144,,
2009W46,32850,32850,,
2009W47,33768,33768,,
2010W30,13318,13318,,
2010W31,17629,17629,,
2010W32,14719,14719,,
2010W33,14909,14909,,
2010W34,14550,14550,,
2010W35,10285,10285,,
2010W36,15051,15051,,
2010W37,18735,18735,,
2010W38,15909,15909,,
2010W39,16313,16313,,
2010W40,12373,12373,,
2010W41,19551,19551,,
2010W42,10977,10977,,
2010W43,15080,15080,,
2010W44,26171,26171,,
2010W45,17648,17648,,
2010W46,29615,29615,,
2010W47,19581,19581,,
2010W48,32932,32932,,
2010W49,24257,24257,,
2010W50,23154,23154,,
2010W51,25217,25217,,
2010W52,16669,16669,,
2011W01,14500,14500,,
2011W02,17207,17207,,
2011W03,22585,22585,,
2011W04,31969,31969,,
2011W05,18831,18831,,
2011W06,23754,23754,,
2011W07,23827,23827,,
2011W08,22259,22259,,
2011W09,15897,15897,,
2011W10,13981,13981,,
2011W11,14345,14345,,
2011W12,11869,11869,,
2011W13,15103,15103,,
2011W14,11512,11512,,
2011W15,9994,9994,,
2011W16,9826,9826,,
2011W17,14243,14243,,
2011W18,14490,14490,,
2011W19,9129,9129,,
2011W20,10963,10963,,
2011W21,12639,12639,,
2011W22,15723,15723,,
2011W23,19122,19122,,
2011W24,21023,21023,,
2011W25,16554,16554,,
2011W26,16644,16644,,
2011W27,11883,11883,,
2011W28,62116,62116,,
2011W29,11135,11135,,
2011W30,19103,19103,,
2011W31,13558,13558,,
2011W32,12412,12412,,
2011W33,13879,13879,,
2011W34,12100,12100,,
2011W35,11909,11909,,
2011W36,17760,17760,,
2011W37,17247,17247,,
2011W38,13524,13524,,
2011W39,17505,17505,,
2011W40,20110,20110,,
2011W41,17310,17310,,
2011W42,22267,22267,,
2011W43,30653,30653,,
2011W44,23390,23390,,
2011W45,27073,27073,,
2011W46,16127,16127,,
2011W47,17045,17045,,
2011W48,17396,17396,,
2011W49,19660,19660,,
2011W50,24366,24366,,
2011W51,25922,25922,,
2011W52,27116,27116,,
2012W01,24391,24391,,
2012W02,27908,27908,,
2012W03,18987,18987,,
2012W04,145480,145480,,
2012W05,31487,31487,,
2012W06,18784,18784,,
2012W07,20048,20048,,
2012W08,32179,32179,,
2012W09,19738,19738,,
2012W10,28298,28298,,
2012W11,18854,18854,,
2012W12,16712,16712,,
2012W13,26676,26676,,
2012W14,20425,20425,,
2012W15,18948,18948,,
2012W16,22946,22946,,
2012W17,20530,20530,,
2012W18,19501,19501,,
2012W19,26730,26730,,
2012W20,23889,23889,,
2012W21,34337,34337,,
2012W22,28399,28399,,
2012W23,39853,39853,,
2012W24,28965,28965,,
2012W25,28380,28380,,
2012W26,29699,29699,,
2012W27,32112,32112,,
2012W28,35867,35867,,
2012W29,33282,33282,,
2012W30,27000,27000,,
2012W31,27961,27961,,
2012W32,26733,26733,,
2012W33,28926,28926,,
2012W34,28356,28356,,
2012W35,23514,23514,,
2012W36,24232,24232,,
2012W37,22040,22040,,
2012W38,19274,19274,,
2012W39,20143,20143,,
2012W40,20353,20353,,
2012W41,16029,16029,,
2012W42,21067,21067,,
2012W43,33284,33284,,
2012W44,35690,35690,,
2012W45,22383,22383,,
2012W46,28225,28225,,
2012W47,39473,39473,,
2012W48,24480,24480,,
2012W49,22981,22981,,
2012W50,26084,26084,,
2012W51,27531,27531,,
2012W52,34096,34096,,
2013W01,30844,30844,,
2013W02,24943,24943,,
2013W03,32706,32706,,
2013W04,29521,29521,,
2013W05,26974,26974,,
2013W06,28662,28662,,
2013W07,24952,24952,,
2013W08,22855,22855,,
2013W09,22205,22205,,
2013W10,27223,27223,,
2013W11,24233,24233,,
2013W12,29090,29090,,
2013W13,23769,23769,,
2013W14,40281,40281,,
2013W15,25903,25903,,
2013W16,25337,25337,,
2013W17,22186,22186,,
2013W18,31178,31178,,
2013W19,21329,21329,,
2013W20,23734,23734,,
2013W21,30709,30709,,
2013W22,32227,32227,,
2013W23,44181,44181,,
2013W24,23892,23892,,
2013W25,33101,33101,,
2013W26,38574,38574,,
2013W27,30202,30202,,
2013W28,35228,35228,,
2013W29,28371,28371,,
2013W30,30773,30773,,
2013W31,33193,33193,,
2013W32,27638,27638,,
2013W33,27020,27020,,
2013W34,15680,15680,,
2013W35,20245,20245,,
2013W36,17725,17725,,
2013W37,17534,17534,,
2013W38,18621,18621,,
2013W39,20498,20498,,
2013W40,26531,26531,,
2013W41,22627,22627,,
2013W42,29670,29670,,
2013W43,25872,25872,,
2013W44,26430,26430,,
2013W45,27897,27897,,
2013W46,20217,20217,,
2013W47,17959,17959,,
2013W48,17446,17446,,
2013W49,23038,23038,,
2013W50,26226,26226,,
2013W51,22395,22395,,
2013W52,15909,15909,,
2014W01,17180,17180,,
2014W02,16999,16999,,
2014W03,23852,23852,,
2014W04,31997,31997,,
2014W05,25238,25238,,
2014W06,29077,29077,,
2014W07,36017,36017,,
2014W08,23608,23608,,
2014W09,37688,37688,,
2014W10,24805,24805,,
2014W11,24485,24485,,
2014W12,24797,24797,,
2014W13,24028,24028,,
2014W14,23193,23193,,
2014W15,16012,16012,,
2014W16,14611,14611,,
2014W17,17354,17354,,
2014W18,27578,27578,,
2014W19,30962,30962,,
2014W20,21681,21681,,
2014W21,20940,20940,,
2014W22,22315,22315,,
2014W23,19741,19741,,
2014W24,22982,22982,,
2014W25,24594,24594,,
2014W26,23225,23225,,
2014W27,23438,23438,,
2014W28,18824,18824,,
2014W29,18307,18307,,
2014W30,21749,21749,,
2014W31,16807,16807,,
2014W32,21987,21987,,
2014W33,28033,28033,,
2014W34,20158,20158,,
2014W35,32174,32174,,
2014W36,30961,30961,,
2014W37,24470,24470,,
2014W38,28904,28904,,
2014W39,47335,38601,10189,0
2014W40,34846,21783,13061,2
2014W41,30343,23846,6497,0
2014W42,28706,20472,8233,1
2014W43,40715,33541,7173,1
2014W44,28866,21266,7595,5
2014W45,47703,22454,25248,1
2014W46,22768,17374,5394,0
2014W47,29804,24772,5032,0
2014W48,33043,21193,11850,0
2014W49,33685,22507,11178,0
2014W50,38091,29912,8171,8
2014W51,38804,30939,7865,0
2014W52,39104,29887,9216,1
